Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotgl01.shtml"">Glenn Abbott</a>",OAK,25,62&‌#8531;,2,4,0,87,41,38,6,16,27,5.487,3.650,1.652,1.69,.00
"<a href=""https://www.baseball-reference.com/players/a/alburvi01.shtml"">Vic Albury</a>",MIN,29,50&‌#8531;,3,1,0,51,22,20,0,24,23,3.576,3.024,1.490,.96,.27
"<a href=""https://www.baseball-reference.com/players/a/alcalsa01.shtml"">Santo Alcala</a>",CIN,23,132,11,4,0,131,72,69,12,67,67,4.705,4.255,1.500,1.00,-.53
"<a href=""https://www.baseball-reference.com/players/a/alexado01.shtml"">Doyle Alexander</a>",2,25,201,13,9,0,172,81,75,12,63,58,3.358,3.790,1.169,.92,.00
"<a href=""https://www.baseball-reference.com/players/a/andujjo01.shtml"">Joaquin Andujar</a>",HOU,23,172&‌#8531;,9,10,0,163,74,69,8,75,59,3.603,3.874,1.381,.79,1.25
"<a href=""https://www.baseball-reference.com/players/a/apodabo01.shtml"">Bob Apodaca</a>",NYN,26,89&‌#8532;,3,7,5,71,34,28,4,29,45,2.810,3.096,1.115,1.55,.61
"<a href=""https://www.baseball-reference.com/players/a/atkinbi01.shtml"">Bill Atkinson</a>",MON,21,5,0,0,0,3,0,0,0,1,4,.000,1.550,.800,4.00,.24
"<a href=""https://www.baseball-reference.com/players/a/augusje01.shtml"">Jerry Augustine</a>",ML4,23,171&‌#8532;,9,12,0,167,69,63,9,56,59,3.303,3.555,1.299,1.05,2.77
"<a href=""https://www.baseball-reference.com/players/a/austiri01.shtml"">Rick Austin</a>",ML4,29,5&‌#8531;,0,0,0,10,3,3,1,0,3,5.062,3.268,1.875,&infin;,-.01
"<a href=""https://www.baseball-reference.com/players/a/autryal01.shtml"">Al Autry</a>",ATL,24,5,1,0,0,4,3,3,2,3,3,5.400,9.403,1.400,1.00,.05
"<a href=""https://www.baseball-reference.com/players/b/bacsimi01.shtml"">Mike Bacsik</a>",TEX,24,55,3,2,0,66,31,26,3,26,21,4.255,3.838,1.673,.81,-.50
"<a href=""https://www.baseball-reference.com/players/b/bahnsst01.shtml"">Stan Bahnsen</a>",OAK,31,143,8,7,0,124,55,53,13,43,82,3.336,3.543,1.168,1.91,.00
"<a href=""https://www.baseball-reference.com/players/b/bairdo01.shtml"">Doug Bair</a>",PIT,26,6&‌#8531;,0,0,0,4,4,4,0,5,4,5.684,3.775,1.421,.80,.00
"<a href=""https://www.baseball-reference.com/players/b/baldwri01.shtml"">Rick Baldwin</a>",NYN,23,22&‌#8532;,0,0,0,14,6,6,0,10,9,2.382,2.930,1.059,.90,.35
"<a href=""https://www.baseball-reference.com/players/b/baneed01.shtml"">Eddie Bane</a>",MIN,24,79&‌#8531;,4,7,0,92,52,45,6,39,24,5.105,4.442,1.651,.62,-.87
"<a href=""https://www.baseball-reference.com/players/b/barera01.shtml"">Ray Bare</a>",DET,27,134,7,8,0,157,85,69,13,51,59,4.634,4.105,1.552,1.16,-.95
"<a href=""https://www.baseball-reference.com/players/b/barkele01.shtml"">Len Barker</a>",TEX,20,15,1,0,0,7,4,4,0,6,7,2.400,2.475,.867,1.17,.00
"<a href=""https://www.baseball-reference.com/players/b/barlomi01.shtml"">Mike Barlow</a>",HOU,28,22,2,2,0,27,13,11,0,17,11,4.500,3.861,2.000,.65,-.32
"<a href=""https://www.baseball-reference.com/players/b/barrifr01.shtml"">Francisco Barrios</a>",CHA,23,141&‌#8532;,5,9,3,136,72,68,13,46,81,4.320,3.575,1.285,1.76,.88
"<a href=""https://www.baseball-reference.com/players/b/barrji01.shtml"">Jim Barr</a>",SFN,28,252&‌#8531;,15,12,0,260,104,81,9,60,75,2.889,3.186,1.268,1.25,5.55
"<a href=""https://www.baseball-reference.com/players/b/barrst01.shtml"">Steve Barr</a>",TEX,24,67&‌#8532;,2,6,0,70,51,42,10,44,27,5.586,5.757,1.685,.61,-1.26
"<a href=""https://www.baseball-reference.com/players/b/battoch01.shtml"">Chris Batton</a>",OAK,21,4,0,0,0,5,4,4,1,3,4,9.000,6.038,2.000,1.33,-.16
"<a href=""https://www.baseball-reference.com/players/b/beardmi01.shtml"">Mike Beard</a>",ATL,26,33&‌#8532;,0,2,1,38,18,16,1,14,8,4.277,3.756,1.545,.57,.32
"<a href=""https://www.baseball-reference.com/players/b/bearega01.shtml"">Gary Beare</a>",ML4,23,41,2,3,0,43,16,15,4,15,32,3.293,3.429,1.415,2.13,.66
