Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotpa01.shtml"">Paul Abbott</a>",SEA,33,163,17,4,0,145,79,77,21,87,118,4.252,4.811,1.423,1.36,0.00
"<a href=""https://www.baseball-reference.com/players/a/acevejo01.shtml"">Jose Acevedo</a>",CIN,23,96,5,7,0,101,61,58,17,34,68,5.438,4.911,1.406,2.00,0.24
"<a href=""https://www.baseball-reference.com/players/a/aceveju01.shtml"">Juan Acevedo</a>",2,31,60&frac13;,2,5,0,68,35,28,6,35,47,4.177,4.364,1.707,1.34,0.09
"<a href=""https://www.baseball-reference.com/players/a/adamste01.shtml"">Terry Adams</a>",LAN,28,166&frac13;,12,8,0,172,84,80,9,54,141,4.329,2.979,1.359,2.61,0.00
"<a href=""https://www.baseball-reference.com/players/a/ainswku01.shtml"">K. Ainsworth</a>",SFN,22,2,0,0,0,3,3,3,1,2,3,13.500,7.521,2.500,1.50,0.00
"<a href=""https://www.baseball-reference.com/players/a/alfonan01.shtml"">A. Alfonseca</a>",FLO,29,61&frac23;,4,4,28,68,24,21,6,15,40,3.065,3.492,1.346,2.67,0.90
"<a href=""https://www.baseball-reference.com/players/a/almanar01.shtml"">A. Almanza</a>",FLO,28,41,2,2,0,34,24,22,8,26,45,4.829,5.380,1.463,1.73,-0.19
"<a href=""https://www.baseball-reference.com/players/a/almanca01.shtml"">C. Almanzar</a>",NYA,27,10&frac23;,0,1,0,14,4,4,2,2,6,3.375,4.884,1.500,3.00,0.25
"<a href=""https://www.baseball-reference.com/players/a/anderbr02.shtml"">B. Anderson</a>",ARI,29,133&frac13;,4,9,0,156,93,77,25,30,55,5.198,5.336,1.395,1.83,-0.86
"<a href=""https://www.baseball-reference.com/players/a/anderji02.shtml"">J. Anderson</a>",PIT,25,206&frac13;,9,17,0,232,123,117,15,83,89,5.103,4.166,1.527,1.07,0.00
"<a href=""https://www.baseball-reference.com/players/a/anderma01.shtml"">M. Anderson</a>",DET,24,56,3,1,22,56,33,30,2,18,52,4.821,2.640,1.321,2.89,-0.04
"<a href=""https://www.baseball-reference.com/players/a/ankieri01.shtml"">Rick Ankiel</a>",SLN,21,24,1,2,0,25,21,19,7,25,27,7.125,7.283,2.083,1.08,-0.60
"<a href=""https://www.baseball-reference.com/players/a/appieke01.shtml"">Kevin Appier</a>",NYN,33,206&frac23;,11,10,0,181,89,82,22,64,172,3.571,3.491,1.185,2.69,3.49
"<a href=""https://www.baseball-reference.com/players/a/armasto02.shtml"">Tony Armas</a>",MON,23,196&frac23;,9,14,0,180,101,88,18,91,176,4.027,3.686,1.378,1.93,3.07
