Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abernte02.shtml"">T. Abernathy</a>",CLE,31,218,2,6,11,66,40,35,5,46,57,4.335,3.760,1.541,1.24,0.00
"<a href=""https://www.baseball-reference.com/players/a/acklefr01.shtml"">Fritz Ackley</a>",CHA,27,19,0,0,0,10,6,6,2,4,6,8.526,6.185,2.211,1.50,-0.28
"<a href=""https://www.baseball-reference.com/players/a/aguirha01.shtml"">Hank Aguirre</a>",DET,33,485,5,10,1,134,76,68,15,59,88,3.786,3.703,1.194,1.49,0.54
"<a href=""https://www.baseball-reference.com/players/a/akerja01.shtml"">Jack Aker</a>",KC1,23,49,0,1,0,17,18,16,6,10,7,8.816,7.633,1.653,0.70,0.00
"<a href=""https://www.baseball-reference.com/players/a/andercr01.shtml"">C. Anderson</a>",NYN,25,39,0,1,0,21,9,8,0,3,5,5.538,2.538,1.846,1.67,-0.24
"<a href=""https://www.baseball-reference.com/players/a/arrigge01.shtml"">Gerry Arrigo</a>",MIN,23,316,7,4,1,97,48,45,11,45,96,3.845,3.351,1.348,2.13,0.54
"<a href=""https://www.baseball-reference.com/players/b/bakenda01.shtml"">D. Bakenhaster</a>",SLN,19,9,0,0,0,9,6,2,1,1,0,6.000,6.151,3.333,0.00,-0.18
"<a href=""https://www.baseball-reference.com/players/b/baldsja01.shtml"">J. Baldschun</a>",PHI,27,355,6,9,21,111,50,41,8,40,96,3.118,2.793,1.276,2.40,0.97
"<a href=""https://www.baseball-reference.com/players/b/barbest01.shtml"">Steve Barber</a>",BAL,26,471,9,13,1,144,72,67,15,81,118,3.841,3.779,1.433,1.46,0.00
"<a href=""https://www.baseball-reference.com/players/b/baumafr01.shtml"">F. Baumann</a>",CHA,30,96,0,3,1,40,22,22,4,16,19,6.188,4.461,1.750,1.19,-0.89
