Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/b/battijo01.shtml"">Joe Battin</a>",SL3,23,11,0,0,0,3,2,2,0,1,1,4.909,3.118,1.091,1.00,0.05
"<a href=""https://www.baseball-reference.com/players/b/blongjo01.shtml"">Joe Blong</a>",SL3,23,562,10,9,0,203,121,57,0,38,51,2.738,2.904,1.286,1.34,0.62
"<a href=""https://www.baseball-reference.com/players/b/bondto01.shtml"">Tommy Bond</a>",BSN,21,1563,40,17,0,530,248,122,5,36,170,2.107,2.512,1.086,4.72,11.73
"<a href=""https://www.baseball-reference.com/players/b/bootham01.shtml"">Amos Booth</a>",CN1,28,258,1,7,0,114,75,34,1,13,18,3.558,3.015,1.477,1.38,-0.45
"<a href=""https://www.baseball-reference.com/players/b/bradlge01.shtml"">G. Bradley</a>",CHN,24,1182,18,23,0,452,266,145,4,39,59,3.312,2.968,1.246,1.51,0.00
"<a href=""https://www.baseball-reference.com/players/c/cassijo01.shtml"">John Cassidy</a>",HAR,?,54,1,1,0,24,11,10,0,1,2,5.000,2.782,1.389,2.00,-0.01
"<a href=""https://www.baseball-reference.com/players/c/cummica01.shtml"">C. Cummings</a>",CN1,28,467,5,14,0,219,144,75,2,13,11,4.336,3.104,1.490,0.85,-1.37
"<a href=""https://www.baseball-reference.com/players/d/devliji01.shtml"">Jim Devlin</a>",LS1,28,1677,35,25,0,617,288,140,4,41,141,2.254,2.642,1.177,3.44,13.16
"<a href=""https://www.baseball-reference.com/players/f/fergubo01.shtml"">Bob Ferguson</a>",HAR,32,75,1,1,0,38,15,11,0,2,1,3.960,2.998,1.600,0.50,0.01
"<a href=""https://www.baseball-reference.com/players/l/larkite01.shtml"">Terry Larkin</a>",HAR,?,1503,29,25,0,510,285,119,2,53,96,2.138,2.825,1.124,1.81,1.66
"<a href=""https://www.baseball-reference.com/players/m/mannija01.shtml"">Jack Manning</a>",CN1,23,132,0,4,1,83,65,34,1,7,6,6.955,3.268,2.045,0.86,-1.98
"<a href=""https://www.baseball-reference.com/players/m/mathebo01.shtml"">B. Mathews</a>",CN1,25,388,3,12,0,208,132,58,0,17,9,4.036,3.069,1.740,0.53,0.00
"<a href=""https://www.baseball-reference.com/players/m/mcveyca01.shtml"">Cal McVey</a>",CHN,27,276,4,8,2,129,87,46,2,11,20,4.500,3.027,1.522,1.82,-1.35
"<a href=""https://www.baseball-reference.com/players/m/mitchbo01.shtml"">B. Mitchell</a>",CN1,21,300,6,5,0,123,69,39,0,11,41,3.510,2.375,1.340,3.73,0.96
"<a href=""https://www.baseball-reference.com/players/n/nichotr01.shtml"">T. Nichols</a>",SL3,26,1050,18,23,0,376,195,101,2,53,80,2.597,2.913,1.226,1.51,3.96
"<a href=""https://www.baseball-reference.com/players/r/reisla01.shtml"">Laurie Reis</a>",CHN,18,108,3,1,0,29,8,3,1,6,11,.750,3.116,.972,1.83,1.94
"<a href=""https://www.baseball-reference.com/players/r/roweda01.shtml"">Dave Rowe</a>",CHN,22,3,0,1,0,3,2,2,0,2,0,18.000,8.006,5.000,0.00,-0.10
"<a href=""https://www.baseball-reference.com/players/s/spaldal01.shtml"">Al Spalding</a>",CHN,26,33,1,0,1,17,12,4,0,0,2,3.273,2.519,1.545,&infin;,-0.30
"<a href=""https://www.baseball-reference.com/players/w/whitewi01.shtml"">Will White</a>",BSN,22,81,2,1,0,27,15,9,0,2,7,3.000,2.537,1.074,3.50,0.39
