Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abernte02.shtml"">T. Abernathy</a>",KCA,38,243,4,6,23,60,28,23,3,50,55,2.556,3.236,1.358,1.10,1.52
"<a href=""https://www.baseball-reference.com/players/a/acosted01.shtml"">Ed Acosta</a>",SDN,27,138,3,3,0,43,18,14,4,7,16,2.739,3.359,1.087,2.29,0.65
"<a href=""https://www.baseball-reference.com/players/a/akerja01.shtml"">Jack Aker</a>",NYA,30,167,4,4,4,48,20,16,3,26,24,2.587,3.713,1.329,0.92,0.00
"<a href=""https://www.baseball-reference.com/players/a/alexado01.shtml"">D. Alexander</a>",LAN,20,277,6,6,0,105,45,39,6,18,30,3.801,3.168,1.332,1.67,0.00
"<a href=""https://www.baseball-reference.com/players/a/allenll01.shtml"">Lloyd Allen</a>",CAL,21,282,4,6,15,75,29,26,4,40,72,2.489,2.753,1.223,1.80,0.00
"<a href=""https://www.baseball-reference.com/players/a/arlinst01.shtml"">Steve Arlin</a>",SDN,25,683,9,19,0,211,114,88,8,103,156,3.479,2.807,1.379,1.51,0.00
"<a href=""https://www.baseball-reference.com/players/a/arroyru01.shtml"">Rudy Arroyo</a>",SLN,21,35,0,1,0,18,8,7,2,5,5,5.400,4.916,1.971,1.00,-0.15
"<a href=""https://www.baseball-reference.com/players/a/austiri01.shtml"">Rick Austin</a>",CLE,24,69,0,0,1,25,15,13,3,20,20,5.087,4.520,1.957,1.00,-0.28
"<a href=""https://www.baseball-reference.com/players/b/bahnsst01.shtml"">Stan Bahnsen</a>",NYA,26,726,14,12,0,221,99,90,20,72,110,3.347,3.472,1.211,1.53,0.00
"<a href=""https://www.baseball-reference.com/players/b/ballima01.shtml"">M. Ballinger</a>",CLE,22,104,1,2,0,30,21,18,3,13,25,4.673,3.156,1.240,1.92,-0.15
"<a href=""https://www.baseball-reference.com/players/b/barbest01.shtml"">Steve Barber</a>",ATL,33,225,3,1,2,92,42,40,6,25,40,4.800,3.285,1.560,1.60,0.18
"<a href=""https://www.baseball-reference.com/players/b/barbest02.shtml"">Steve Barber</a>",MIN,23,35,1,0,0,8,9,8,2,13,4,6.171,7.769,1.800,0.31,-0.32
"<a href=""https://www.baseball-reference.com/players/b/barrji01.shtml"">Jim Barr</a>",SFN,23,106,1,1,0,33,15,14,3,5,16,3.566,2.994,1.075,3.20,0.33
"<a href=""https://www.baseball-reference.com/players/b/bearnla01.shtml"">L. Bearnarth</a>",ML4,29,9,0,0,0,10,6,6,1,2,2,18.000,5.806,4.000,1.00,-0.27
