Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotpa01.shtml"">Paul Abbott</a>",SEA,32,179,9,7,0,164,89,84,23,80,100,4.223,5.034,1.363,1.25,0.00
"<a href=""https://www.baseball-reference.com/players/a/aceveju01.shtml"">Juan Acevedo</a>",MIL,30,82&frac23;,3,7,0,77,38,35,11,31,51,3.810,4.788,1.306,1.65,0.86
"<a href=""https://www.baseball-reference.com/players/a/adamste01.shtml"">Terry Adams</a>",LAN,27,84&frac13;,6,9,2,80,42,33,6,39,56,3.522,4.116,1.411,1.44,0.00
"<a href=""https://www.baseball-reference.com/players/a/aguilri01.shtml"">R. Aguilera</a>",CHN,38,47&frac23;,1,2,29,47,28,26,11,18,38,4.909,5.461,1.364,2.11,-0.16
"<a href=""https://www.baseball-reference.com/players/a/aldresc01.shtml"">Scott Aldred</a>",PHI,32,20&frac13;,1,3,0,23,14,13,3,10,21,5.754,4.238,1.623,2.10,-0.14
"<a href=""https://www.baseball-reference.com/players/a/alfonan01.shtml"">A. Alfonseca</a>",FLO,28,70,5,6,45,82,35,33,7,24,47,4.243,4.042,1.514,1.96,0.47
"<a href=""https://www.baseball-reference.com/players/a/almanar01.shtml"">A. Almanza</a>",FLO,27,46&frac13;,4,2,0,38,27,25,3,43,46,4.856,4.678,1.748,1.07,-0.04
"<a href=""https://www.baseball-reference.com/players/a/almanca01.shtml"">C. Almanzar</a>",SDN,26,69&frac23;,4,5,0,73,35,34,12,25,56,4.392,4.651,1.407,2.24,0.42
"<a href=""https://www.baseball-reference.com/players/a/alvarju01.shtml"">Juan Alvarez</a>",ANA,26,6,0,0,0,14,9,9,3,7,2,13.500,11.068,3.500,0.29,-0.29
"<a href=""https://www.baseball-reference.com/players/a/anderbr02.shtml"">B. Anderson</a>",ARI,28,213&frac13;,11,7,0,226,101,96,38,39,104,4.050,5.058,1.242,2.67,4.10
"<a href=""https://www.baseball-reference.com/players/a/anderji02.shtml"">J. Anderson</a>",PIT,24,144,5,11,0,169,94,84,13,58,73,5.250,4.335,1.576,1.26,0.00
"<a href=""https://www.baseball-reference.com/players/a/anderma01.shtml"">M. Anderson</a>",DET,23,74&frac13;,3,2,1,61,44,39,8,45,71,4.722,4.355,1.426,1.58,0.18
"<a href=""https://www.baseball-reference.com/players/a/andrecl01.shtml"">C. Andrews</a>",TOR,22,20&frac23;,1,2,0,34,23,23,6,9,12,10.016,6.744,2.081,1.33,-0.64
"<a href=""https://www.baseball-reference.com/players/a/ankieri01.shtml"">Rick Ankiel</a>",SLN,20,175,11,7,0,137,80,68,21,90,194,3.497,3.945,1.297,2.16,3.33
"<a href=""https://www.baseball-reference.com/players/a/appieke01.shtml"">Kevin Appier</a>",OAK,32,195&frac13;,15,11,0,200,109,98,23,102,129,4.515,4.770,1.546,1.26,2.83
"<a href=""https://www.baseball-reference.com/players/a/armasto02.shtml"">Tony Armas</a>",MON,22,95,7,9,0,74,49,46,10,50,59,4.358,4.858,1.305,1.18,1.77
"<a href=""https://www.baseball-reference.com/players/a/arnolja01.shtml"">Jamie Arnold</a>",2,26,39&frac13;,0,3,1,38,31,27,1,24,16,6.178,4.192,1.576,0.67,0.08
"<a href=""https://www.baseball-reference.com/players/a/arrojro01.shtml"">R. Arrojo</a>",2,34,172&frac23;,10,11,0,187,118,108,24,68,124,5.629,4.400,1.477,1.82,0.13
"<a href=""https://www.baseball-reference.com/players/a/arroybr01.shtml"">B. Arroyo</a>",PIT,23,71&frac23;,2,6,0,88,61,51,10,36,50,6.405,4.810,1.730,1.39,-1.00
"<a href=""https://www.baseball-reference.com/players/a/ashbyan01.shtml"">Andy Ashby</a>",2,32,199&frac13;,12,13,0,216,124,109,29,61,106,4.921,4.794,1.390,1.74,-0.77
"<a href=""https://www.baseball-reference.com/players/a/astacpe01.shtml"">P. Astacio</a>",COL,31,196&frac13;,12,9,0,217,119,115,32,77,193,5.272,4.206,1.497,2.51,0.00
"<a href=""https://www.baseball-reference.com/players/a/aybarma01.shtml"">Manny Aybar</a>",3,28,79&frac13;,2,2,0,74,42,38,11,35,45,4.311,5.084,1.374,1.29,0.41
"<a href=""https://www.baseball-reference.com/players/b/baldwja01.shtml"">J. Baldwin</a>",CHA,28,178,14,7,0,185,96,92,34,59,116,4.652,5.249,1.371,1.97,2.77
"<a href=""https://www.baseball-reference.com/players/b/balejo01.shtml"">John Bale</a>",TOR,26,3&frac23;,0,0,0,5,7,6,1,3,6,14.727,4.031,2.182,2.00,-0.19
