Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abernte02.shtml"">Ted Abernathy</a>",WS1,27,3,0,0,0,4,4,4,0,4,1,12.000,5.498,2.667,.25,.00
"<a href=""https://www.baseball-reference.com/players/a/aguirha01.shtml"">Hank Aguirre</a>",DET,29,94&‌#8532;,5,3,10,75,31,30,7,30,80,2.852,2.655,1.109,2.67,2.85
"<a href=""https://www.baseball-reference.com/players/a/anderbo01.shtml"">Bob Anderson</a>",CHN,24,203&‌#8532;,9,11,1,201,105,93,26,68,115,4.110,3.960,1.321,1.69,1.10
"<a href=""https://www.baseball-reference.com/players/a/anderjo02.shtml"">John Anderson</a>",BAL,30,4&‌#8532;,0,0,0,8,7,7,0,4,1,13.500,4.300,2.571,.25,.00
"<a href=""https://www.baseball-reference.com/players/a/antonjo02.shtml"">Johnny Antonelli</a>",SFN,30,112&‌#8531;,6,7,11,106,51,47,7,47,57,3.766,3.529,1.362,1.21,.64
"<a href=""https://www.baseball-reference.com/players/a/arroylu01.shtml"">Luis Arroyo</a>",NYA,33,40&‌#8532;,5,1,7,30,14,13,2,22,29,2.877,3.394,1.279,1.32,.64
"<a href=""https://www.baseball-reference.com/players/b/barbest01.shtml"">Steve Barber</a>",BAL,22,181&‌#8532;,10,7,2,148,78,65,10,113,112,3.220,3.873,1.437,.99,.00
"<a href=""https://www.baseball-reference.com/players/b/barnefr02.shtml"">Frank Barnes</a>",SLN,33,7&‌#8532;,0,1,1,8,5,3,1,9,8,3.522,5.080,2.217,.89,-.05
"<a href=""https://www.baseball-reference.com/players/b/baumafr01.shtml"">Frank Baumann</a>",CHA,26,185&‌#8531;,13,6,3,169,67,55,11,53,71,2.671,3.407,1.198,1.34,3.41
"<a href=""https://www.baseball-reference.com/players/b/bautaed01.shtml"">Ed Bauta</a>",SLN,25,15&‌#8532;,0,0,1,14,11,11,4,11,6,6.319,7.310,1.596,.55,.00
"<a href=""https://www.baseball-reference.com/players/b/becquju01.shtml"">Julio Becquer</a>",WS1,28,1,0,0,0,1,1,1,1,0,0,9.000,19.675,1.000,&infin;,.00
"<a href=""https://www.baseball-reference.com/players/b/bellga01.shtml"">Gary Bell</a>",CLE,23,154&‌#8532;,9,10,1,139,78,71,15,82,109,4.131,3.849,1.429,1.33,.00
"<a href=""https://www.baseball-reference.com/players/b/blemkra01.shtml"">Ray Blemker</a>",KC1,22,1&‌#8532;,0,0,0,3,5,5,1,2,0,27.000,11.572,3.000,.00,-.15
