Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/adamsba01.shtml"">Babe Adams</a>",PIT,42,39&‌#8532;,3,1,0,31,5,5,1,3,5,1.134,3.361,.857,1.67,1.15
"<a href=""https://www.baseball-reference.com/players/a/aldrivi01.shtml"">Vic Aldridge</a>",CHN,30,244&‌#8531;,15,12,0,261,110,95,10,80,74,3.499,3.873,1.396,.92,2.87
"<a href=""https://www.baseball-reference.com/players/a/alexape01.shtml"">Pete Alexander</a>",CHN,37,169&‌#8531;,12,5,0,183,82,57,9,25,33,3.030,3.770,1.228,1.32,1.97
"<a href=""https://www.baseball-reference.com/players/a/altroni01.shtml"">Nick Altrock</a>",WS1,47,2,0,0,0,4,1,0,0,0,0,.000,3.039,2.000,&infin;,.02
"<a href=""https://www.baseball-reference.com/players/b/baldwha01.shtml"">Harry Baldwin</a>",NY1,24,33&‌#8532;,3,1,0,42,18,16,5,11,5,4.277,5.676,1.574,.45,.04
"<a href=""https://www.baseball-reference.com/players/b/barnebo01.shtml"">Bob Barnes</a>",CHA,22,4&‌#8532;,0,0,0,14,11,10,1,0,1,19.286,4.617,3.000,&infin;,-.33
"<a href=""https://www.baseball-reference.com/players/b/barneje01.shtml"">Jesse Barnes</a>",BSN,31,267&‌#8532;,15,20,0,292,115,96,7,53,49,3.228,3.619,1.289,.92,5.39
"<a href=""https://www.baseball-reference.com/players/b/barnevi01.shtml"">Virgil Barnes</a>",NY1,27,229&‌#8531;,16,10,3,239,87,78,10,57,59,3.061,3.855,1.291,1.04,.00
"<a href=""https://www.baseball-reference.com/players/b/barnhed01.shtml"">Edgar Barnhart</a>",SLA,19,1,0,0,0,0,0,0,0,2,0,.000,11.175,2.000,.00,.04
"<a href=""https://www.baseball-reference.com/players/b/batchjo01.shtml"">Joe Batchelder</a>",BSN,25,4&‌#8532;,0,0,0,4,2,2,0,2,2,3.857,3.498,1.286,1.00,.06
