Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/b/bechtge01.shtml"">G. Bechtel</a>",PH2,25,39,1,3,0,57,42,7,0,1,0,1.615,2.880,1.487,0.00,0.00
"<a href=""https://www.baseball-reference.com/players/b/bondto01.shtml"">Tommy Bond</a>",BR2,18,497,22,32,0,606,440,112,15,8,42,2.028,3.081,1.235,5.25,0.35
"<a href=""https://www.baseball-reference.com/players/b/brainas01.shtml"">Asa Brainard</a>",BL1,?,240,5,22,0,405,329,99,1,27,8,3.713,3.098,1.800,0.30,-4.36
"<a href=""https://www.baseball-reference.com/players/c/collida01.shtml"">Dan Collins</a>",CH2,20,11,1,1,0,22,17,6,0,2,0,4.909,3.294,2.182,0.00,-0.36
"<a href=""https://www.baseball-reference.com/players/c/cummica01.shtml"">C. Cummings</a>",PH2,25,483,28,26,0,616,386,105,4,18,61,1.957,2.775,1.313,3.39,6.67
"<a href=""https://www.baseball-reference.com/players/f/fergubo01.shtml"">Bob Ferguson</a>",BR2,29,9,0,1,0,12,10,4,0,3,0,4.000,3.753,1.667,0.00,-0.11
"<a href=""https://www.baseball-reference.com/players/f/fishech01.shtml"">C. Fisher</a>",HR1,29,322&frac13;,13,23,0,416,277,83,1,13,25,2.317,2.814,1.331,1.92,5.01
"<a href=""https://www.baseball-reference.com/players/f/forceda01.shtml"">Davy Force</a>",CH2,24,7,0,0,0,22,24,12,4,0,0,15.429,7.918,3.143,&infin;,-0.41
"<a href=""https://www.baseball-reference.com/players/h/hatfijo01.shtml"">J. Hatfield</a>",NY2,26,8,0,1,0,11,6,2,0,0,0,2.250,2.808,1.375,&infin;,0.12
"<a href=""https://www.baseball-reference.com/players/m/mannija01.shtml"">Jack Manning</a>",BL1,20,176&frac23;,4,16,0,222,168,41,2,12,12,2.089,3.017,1.325,1.00,1.11
"<a href=""https://www.baseball-reference.com/players/m/mathebo01.shtml"">B. Mathews</a>",NY2,22,578,42,22,0,652,371,122,3,41,101,1.900,2.736,1.199,2.46,0.00
"<a href=""https://www.baseball-reference.com/players/m/mcbridi01.shtml"">Dick McBride</a>",PH1,27,487,33,22,0,514,344,89,6,32,37,1.645,3.023,1.121,1.16,6.82
"<a href=""https://www.baseball-reference.com/players/r/ryanjo01.shtml"">Johnny Ryan</a>",BL1,20,3&frac13;,0,0,0,13,8,6,0,0,0,16.200,2.808,3.900,&infin;,-0.24
"<a href=""https://www.baseball-reference.com/players/s/spaldal01.shtml"">Al Spalding</a>",BS1,23,617&frac13;,52,16,0,755,402,132,1,19,31,1.924,2.821,1.254,1.63,8.86
"<a href=""https://www.baseball-reference.com/players/s/stearbi01.shtml"">Bill Stearns</a>",HR1,21,158&frac23;,3,14,0,237,194,52,0,15,14,2.950,2.905,1.588,0.93,-1.41
"<a href=""https://www.baseball-reference.com/players/w/wrighha01.shtml"">Harry Wright</a>",BS1,39,16&frac23;,0,2,3,24,13,4,0,4,0,2.160,3.557,1.680,0.00,0.09
"<a href=""https://www.baseball-reference.com/players/z/zettlge01.shtml"">G. Zettlein</a>",CH2,29,515&frac23;,27,30,0,640,439,139,3,43,26,2.426,3.036,1.324,0.60,3.66
