Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotji01.shtml"">Jim Abbott</a>",NYA,26,160&frac13;,9,8,0,167,88,81,24,64,90,4.547,5.170,1.441,1.41,0.00
"<a href=""https://www.baseball-reference.com/players/a/acrema01.shtml"">Mark Acre</a>",OAK,25,34&frac13;,5,1,0,24,13,13,4,23,21,3.408,5.574,1.369,0.91,0.65
"<a href=""https://www.baseball-reference.com/players/a/aguilri01.shtml"">R. Aguilera</a>",MIN,32,44&frac23;,1,4,23,57,23,18,7,10,46,3.627,3.719,1.500,4.60,0.00
"<a href=""https://www.baseball-reference.com/players/a/alvarwi01.shtml"">W. Alvarez</a>",CHA,24,161&frac23;,12,8,0,147,72,62,16,62,108,3.452,4.257,1.293,1.74,3.66
"<a href=""https://www.baseball-reference.com/players/a/anderbr02.shtml"">B. Anderson</a>",CAL,22,101&frac23;,7,5,0,120,63,59,13,27,47,5.223,4.520,1.446,1.74,0.84
"<a href=""https://www.baseball-reference.com/players/a/anderla02.shtml"">L. Andersen</a>",PHI,41,32&frac23;,1,2,0,33,20,16,2,15,27,4.408,3.626,1.469,1.80,-0.12
"<a href=""https://www.baseball-reference.com/players/a/appieke01.shtml"">Kevin Appier</a>",KCA,26,155,7,6,0,137,68,66,11,63,145,3.832,3.326,1.290,2.30,4.51
"<a href=""https://www.baseball-reference.com/players/a/aquinlu01.shtml"">Luis Aquino</a>",FLO,30,50&frac23;,2,1,0,39,22,21,3,22,22,3.730,4.221,1.204,1.00,0.64
"<a href=""https://www.baseball-reference.com/players/a/armstja01.shtml"">J. Armstrong</a>",TEX,29,10,0,1,0,9,4,4,3,2,7,3.600,6.405,1.100,3.50,0.35
"<a href=""https://www.baseball-reference.com/players/a/arochre01.shtml"">Rene Arocha</a>",SLN,30,83,4,4,11,94,42,37,9,21,62,4.012,3.645,1.386,2.95,0.18
"<a href=""https://www.baseball-reference.com/players/a/ashbyan01.shtml"">Andy Ashby</a>",SDN,26,164&frac13;,6,11,0,145,75,62,16,43,121,3.396,3.658,1.144,2.81,0.00
"<a href=""https://www.baseball-reference.com/players/a/assenpa01.shtml"">P. Assenmacher</a>",CHA,33,33,1,2,1,26,13,13,2,13,29,3.545,3.258,1.182,2.23,0.85
"<a href=""https://www.baseball-reference.com/players/a/astacpe01.shtml"">P. Astacio</a>",LAN,25,149,6,8,0,142,77,71,18,47,108,4.289,4.136,1.268,2.30,0.00
"<a href=""https://www.baseball-reference.com/players/a/ausanjo01.shtml"">Joe Ausanio</a>",NYA,28,15&frac23;,2,1,0,16,9,9,3,6,15,5.170,4.811,1.404,2.50,0.04
"<a href=""https://www.baseball-reference.com/players/a/averyst01.shtml"">Steve Avery</a>",ATL,24,151&frac23;,8,3,0,127,71,68,15,55,122,4.035,3.839,1.200,2.22,1.57
"<a href=""https://www.baseball-reference.com/players/a/ayalabo01.shtml"">Bobby Ayala</a>",SEA,24,56&frac23;,4,3,18,42,25,18,2,26,76,2.859,2.301,1.200,2.92,0.00
"<a href=""https://www.baseball-reference.com/players/b/baileco01.shtml"">Cory Bailey</a>",BOS,23,4&frac13;,0,1,0,10,6,6,2,3,4,12.462,8.505,3.000,1.33,-0.21
"<a href=""https://www.baseball-reference.com/players/b/ballaje01.shtml"">Jeff Ballard</a>",PIT,30,24&frac13;,1,1,2,32,19,18,5,10,11,6.658,5.979,1.726,1.10,-0.75
"<a href=""https://www.baseball-reference.com/players/b/bankhsc01.shtml"">S. Bankhead</a>",BOS,30,37&frac23;,3,2,0,34,21,19,5,12,25,4.540,4.533,1.221,2.08,0.31
"<a href=""https://www.baseball-reference.com/players/b/bankswi01.shtml"">Willie Banks</a>",CHN,25,138&frac13;,8,12,0,139,88,83,16,56,91,5.400,4.505,1.410,1.62,0.00
"<a href=""https://www.baseball-reference.com/players/b/barnebr01.shtml"">Brian Barnes</a>",2,27,18&frac13;,0,1,0,22,14,12,3,19,10,5.891,7.114,2.236,0.53,-0.24
"<a href=""https://www.baseball-reference.com/players/b/bautijo01.shtml"">J. Bautista</a>",CHN,29,69&frac13;,4,5,1,75,30,30,10,17,45,3.894,4.326,1.327,2.65,0.68
"<a href=""https://www.baseball-reference.com/players/b/beckro01.shtml"">Rod Beck</a>",SFN,25,48&frac23;,2,4,28,49,17,15,10,13,39,2.774,5.000,1.274,3.00,0.00
"<a href=""https://www.baseball-reference.com/players/b/bedrost01.shtml"">S. Bedrosian</a>",ATL,36,46,0,2,0,41,20,17,4,18,43,3.326,3.435,1.283,2.39,0.42
"<a href=""https://www.baseball-reference.com/players/b/belchti01.shtml"">Tim Belcher</a>",DET,32,162,7,15,0,192,124,106,21,78,76,5.889,5.199,1.667,0.97,-0.10
"<a href=""https://www.baseball-reference.com/players/b/belinst01.shtml"">Stan Belinda</a>",KCA,27,49,2,2,1,47,36,28,6,24,37,5.143,4.382,1.449,1.54,0.00
"<a href=""https://www.baseball-reference.com/players/b/benesan01.shtml"">Andy Benes</a>",SDN,26,172&frac13;,6,14,0,155,82,74,20,51,189,3.865,3.314,1.195,3.71,3.70
"<a href=""https://www.baseball-reference.com/players/b/benitar01.shtml"">A. Benitez</a>",BAL,21,10,0,0,0,8,1,1,0,4,14,.900,1.291,1.200,3.50,0.00
"<a href=""https://www.baseball-reference.com/players/b/bereja01.shtml"">Jason Bere</a>",CHA,23,141&frac23;,12,2,0,119,65,60,17,80,127,3.812,4.625,1.405,1.59,0.00
"<a href=""https://www.baseball-reference.com/players/b/bergmse01.shtml"">Sean Bergman</a>",DET,24,17&frac23;,2,1,0,22,11,11,2,7,12,5.604,4.197,1.642,1.71,0.00
"<a href=""https://www.baseball-reference.com/players/b/bielemi01.shtml"">M. Bielecki</a>",ATL,34,27,2,0,0,28,12,12,2,12,18,4.000,4.010,1.481,1.50,0.25
"<a href=""https://www.baseball-reference.com/players/b/blackbu02.shtml"">Buddy Black</a>",SFN,37,54&frac13;,4,2,0,50,31,27,9,16,28,4.472,5.076,1.215,1.75,-0.10
"<a href=""https://www.baseball-reference.com/players/b/blairwi01.shtml"">Willie Blair</a>",COL,28,77&frac23;,0,5,3,98,57,50,9,39,68,5.794,4.168,1.764,1.74,-0.31
"<a href=""https://www.baseball-reference.com/players/b/boevejo01.shtml"">Joe Boever</a>",DET,33,81&frac13;,9,2,3,80,40,36,12,37,49,3.984,5.232,1.439,1.32,1.41
"<a href=""https://www.baseball-reference.com/players/b/bohanbr01.shtml"">B. Bohanon</a>",TEX,25,37&frac13;,2,2,0,51,31,30,7,8,26,7.232,4.634,1.580,3.25,0.00
"<a href=""https://www.baseball-reference.com/players/b/boltoto01.shtml"">Tom Bolton</a>",BAL,32,23&frac13;,1,2,0,29,15,14,3,13,12,5.400,5.388,1.800,0.92,-0.04
"<a href=""https://www.baseball-reference.com/players/b/bonesri01.shtml"">Ricky Bones</a>",ML4,25,170&frac23;,10,9,0,166,76,65,17,45,57,3.428,4.559,1.236,1.27,3.95
"<a href=""https://www.baseball-reference.com/players/b/borlato02.shtml"">Toby Borland</a>",PHI,25,34&frac13;,1,0,1,31,10,9,1,14,26,2.359,2.858,1.311,1.86,0.00
