Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abernte01.shtml"">T. Abernathy</a>",PHA,20,8,0,0,0,2,3,3,0,3,1,10.125,5.388,1.875,0.33,-0.19
"<a href=""https://www.baseball-reference.com/players/a/adamsac01.shtml"">Ace Adams</a>",NY1,32,264,7,4,11,69,23,18,1,31,33,1.841,2.898,1.136,1.06,2.48
"<a href=""https://www.baseball-reference.com/players/a/adkinde01.shtml"">Dewey Adkins</a>",WS1,24,19,0,0,0,7,8,7,0,6,3,9.947,4.115,2.053,0.50,-0.28
"<a href=""https://www.baseball-reference.com/players/a/allenjo02.shtml"">Johnny Allen</a>",BRO,37,354,10,6,3,106,53,42,11,39,50,3.203,3.748,1.229,1.28,-0.31
"<a href=""https://www.baseball-reference.com/players/a/applepe01.shtml"">P. Appleton</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteapplepe01"" style=""display:none;""></input><label for=""footnoteapplepe01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivapplepe01"">CHA, SLA</div></span>",38,96,1,1,2,27,11,11,1,14,14,3.094,3.290,1.281,1.00,0.71
"<a href=""https://www.baseball-reference.com/players/a/aukerel01.shtml"">Elden Auker</a>",SLA,31,747,14,13,0,273,132,113,16,86,62,4.084,3.724,1.442,0.72,0.87
"<a href=""https://www.baseball-reference.com/players/b/bagbyji02.shtml"">Jim Bagby</a>",CLE,25,812,17,9,1,267,105,89,19,64,54,2.959,3.660,1.223,0.84,2.78
"<a href=""https://www.baseball-reference.com/players/b/beazljo01.shtml"">J. Beazley</a>",SLN,24,646,21,6,3,181,67,51,4,73,91,2.132,2.795,1.180,1.25,4.33
"<a href=""https://www.baseball-reference.com/players/b/beckbo01.shtml"">B. Beck</a>",PHI,37,159,0,1,0,69,30,28,4,17,10,4.755,3.874,1.623,0.59,-0.02
"<a href=""https://www.baseball-reference.com/players/b/beckmbi01.shtml"">B. Beckmann</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebeckmbi01"" style=""display:none;""></input><label for=""footnotebeckmbi01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbeckmbi01"">PHA, SLN</div></span>",34,82,1,1,0,28,17,16,1,10,13,5.268,3.045,1.390,1.30,-0.09
"<a href=""https://www.baseball-reference.com/players/b/beggsjo01.shtml"">Joe Beggs</a>",CIN,31,266,6,5,8,65,28,21,4,33,24,2.132,3.614,1.105,0.73,1.90
"<a href=""https://www.baseball-reference.com/players/b/bentoal01.shtml"">Al Benton</a>",DET,31,680,7,13,2,210,87,73,9,84,110,2.899,3.075,1.297,1.31,5.61
"<a href=""https://www.baseball-reference.com/players/b/berryjo03.shtml"">Joe Berry</a>",CHN,37,6,0,0,0,7,4,4,0,2,1,18.000,3.522,4.500,0.50,0.00
"<a href=""https://www.baseball-reference.com/players/b/bessehe01.shtml"">Herman Besse</a>",PHA,30,399,2,9,1,163,99,91,7,69,78,6.158,3.314,1.744,1.13,-1.45
"<a href=""https://www.baseball-reference.com/players/b/bevillo01.shtml"">Lou Bevil</a>",WS1,19,29,0,1,0,9,7,7,0,11,2,6.517,5.302,2.069,0.18,-0.02
