Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abernbi01.shtml"">B. Abernathie</a>",CLE,23,6,0,0,1,4,3,3,1,1,0,13.500,10.229,2.500,0.00,-0.09
"<a href=""https://www.baseball-reference.com/players/a/alomalu01.shtml"">Luis Aloma</a>",CHA,29,120,3,1,6,42,20,19,5,11,18,4.275,3.878,1.325,1.64,0.13
"<a href=""https://www.baseball-reference.com/players/a/atkinja01.shtml"">James Atkins</a>",BOS,31,31,0,1,0,11,6,4,0,7,2,3.484,3.992,1.742,0.29,-0.03
"<a href=""https://www.baseball-reference.com/players/b/bambege01.shtml"">G. Bamberger</a>",NY1,28,12,0,0,0,6,4,4,1,6,0,9.000,9.984,3.000,0.00,-0.18
"<a href=""https://www.baseball-reference.com/players/b/beardge01.shtml"">Gene Bearden</a>",SLA,31,452,7,8,0,158,89,72,13,78,45,4.301,4.423,1.566,0.58,-0.29
"<a href=""https://www.baseball-reference.com/players/b/bellbi01.shtml"">Bill Bell</a>",PIT,18,47,0,1,0,16,11,8,3,13,4,4.596,6.799,1.851,0.31,-0.15
"<a href=""https://www.baseball-reference.com/players/b/bentoal01.shtml"">Al Benton</a>",BOS,41,113,4,3,6,37,11,10,1,17,20,2.389,3.035,1.434,1.18,1.70
"<a href=""https://www.baseball-reference.com/players/b/bickfve01.shtml"">V. Bickford</a>",BSN,31,484,7,12,0,165,73,67,7,64,62,3.738,3.334,1.419,0.97,1.83
"<a href=""https://www.baseball-reference.com/players/b/bishoch01.shtml"">C. Bishop</a>",PHA,28,92,2,2,0,29,24,22,2,24,17,6.457,4.363,1.728,0.71,-0.62
"<a href=""https://www.baseball-reference.com/players/b/blackbu01.shtml"">Bud Black</a>",DET,19,24,0,1,0,14,11,9,0,5,0,10.125,3.980,2.375,0.00,-0.50
"<a href=""https://www.baseball-reference.com/players/b/blackew01.shtml"">E. Blackwell</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteblackew01"" style=""display:none;""></input><label for=""footnoteblackew01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivblackew01"">CIN, NYA</div></span>",29,354,4,12,1,119,68,62,6,72,55,4.729,3.810,1.619,0.76,0.07
"<a href=""https://www.baseball-reference.com/players/b/blackjo02.shtml"">Joe Black</a>",BRO,28,427,15,4,15,102,40,34,9,41,85,2.150,2.882,1.005,2.07,4.31
"<a href=""https://www.baseball-reference.com/players/b/blakeed01.shtml"">Ed Blake</a>",CIN,26,9,0,0,0,3,0,0,0,0,0,.000,2.391,1.000,&infin;,0.12
"<a href=""https://www.baseball-reference.com/players/b/bokeldi01.shtml"">D. Bokelmann</a>",SLN,25,38,0,1,0,20,17,13,0,7,5,9.237,3.115,2.132,0.71,-0.86
"<a href=""https://www.baseball-reference.com/players/b/bowmaro01.shtml"">Roger Bowman</a>",NY1,24,9,0,0,0,6,4,4,0,3,3,12.000,2.391,3.000,1.00,-0.21
"<a href=""https://www.baseball-reference.com/players/b/boyercl01.shtml"">Cloyd Boyer</a>",SLN,24,331,6,6,0,108,56,52,11,47,44,4.242,4.078,1.405,0.94,0.37
"<a href=""https://www.baseball-reference.com/players/b/brancra01.shtml"">Ralph Branca</a>",BRO,26,183,4,2,0,52,29,26,8,21,26,3.836,4.177,1.197,1.24,0.27
"<a href=""https://www.baseball-reference.com/players/b/brazlal01.shtml"">Al Brazle</a>",SLN,38,328,12,5,16,75,38,33,7,42,55,2.716,3.410,1.070,1.31,2.07
"<a href=""https://www.baseball-reference.com/players/b/brechha01.shtml"">H. Brecheen</a>",SLN,37,301,7,5,2,82,39,37,12,28,54,3.319,3.654,1.096,1.93,1.40
"<a href=""https://www.baseball-reference.com/players/b/brickra01.shtml"">R. Brickner</a>",BOS,27,99,3,1,1,32,8,8,1,11,9,2.182,3.264,1.303,0.82,1.16
"<a href=""https://www.baseball-reference.com/players/b/brisslo01.shtml"">Lou Brissie</a>",CLE,28,248,3,2,2,68,41,32,5,34,28,3.484,3.739,1.234,0.82,-0.11
"<a href=""https://www.baseball-reference.com/players/b/brododi01.shtml"">D. Brodowski</a>",BOS,19,344,5,5,0,111,66,56,12,50,42,4.395,4.255,1.404,0.84,-0.20
"<a href=""https://www.baseball-reference.com/players/b/brownha01.shtml"">Hal Brown</a>",CHA,27,217,2,3,0,82,39,34,8,21,31,4.230,3.788,1.424,1.48,0.00
"<a href=""https://www.baseball-reference.com/players/b/burdele01.shtml"">Lew Burdette</a>",BSN,25,411,6,11,7,138,58,55,8,47,47,3.613,3.450,1.350,1.00,0.00
"<a href=""https://www.baseball-reference.com/players/b/byerlbu01.shtml"">Bud Byerly</a>",CIN,32,74,0,1,1,29,15,14,0,7,14,5.108,2.117,1.459,2.00,0.00
