Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/ackerto01.shtml"">Tom Acker</a>",CIN,28,374,4,3,1,126,64,63,10,43,90,4.548,3.028,1.356,2.09,1.04
"<a href=""https://www.baseball-reference.com/players/a/aguirha01.shtml"">Hank Aguirre</a>",DET,27,209,3,4,5,67,31,29,5,27,38,3.746,3.428,1.349,1.41,0.70
"<a href=""https://www.baseball-reference.com/players/a/albanjo01.shtml"">Joe Albanese</a>",WS1,25,18,0,0,0,8,3,3,1,2,3,4.500,4.535,1.667,1.50,0.05
"<a href=""https://www.baseball-reference.com/players/a/anderbo01.shtml"">Bob Anderson</a>",CHN,22,197,3,3,0,61,29,29,3,29,51,3.975,2.797,1.371,1.76,0.87
"<a href=""https://www.baseball-reference.com/players/a/anderjo02.shtml"">J. Anderson</a>",PHI,28,48,0,0,0,26,17,14,5,4,9,7.875,5.599,1.875,2.25,0.00
"<a href=""https://www.baseball-reference.com/players/a/antonjo02.shtml"">J. Antonelli</a>",SFN,28,725,16,13,3,216,101,88,31,87,143,3.277,4.029,1.254,1.64,3.82
"<a href=""https://www.baseball-reference.com/players/b/barclcu01.shtml"">Curt Barclay</a>",SFN,26,48,1,0,0,16,5,5,3,5,6,2.812,4.617,1.312,1.20,0.42
"<a href=""https://www.baseball-reference.com/players/b/barnefr02.shtml"">Frank Barnes</a>",SLN,31,57,1,1,0,19,16,16,3,16,17,7.579,4.876,1.842,1.06,-0.38
"<a href=""https://www.baseball-reference.com/players/b/baumafr01.shtml"">F. Baumann</a>",BOS,24,157,2,2,0,56,27,26,4,27,31,4.471,3.581,1.586,1.15,0.26
"<a href=""https://www.baseball-reference.com/players/b/beamoch01.shtml"">C. Beamon</a>",BAL,23,149,1,3,0,47,27,24,3,21,26,4.349,3.151,1.369,1.24,0.06
"<a href=""https://www.baseball-reference.com/players/b/bellga01.shtml"">Gary Bell</a>",CLE,21,546,12,10,1,141,70,67,17,73,110,3.313,3.650,1.176,1.51,0.00
"<a href=""https://www.baseball-reference.com/players/b/bessedo01.shtml"">Don Bessent</a>",LAN,27,73,1,0,0,24,14,9,3,17,13,3.329,5.151,1.685,0.76,0.21
"<a href=""https://www.baseball-reference.com/players/b/birreba01.shtml"">Babe Birrer</a>",LAN,28,102,0,0,1,43,20,17,4,7,16,4.500,3.532,1.471,2.29,0.13
