Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/arundha01.shtml"">H. Arundel</a>",BR2,20,7,0,1,0,6,6,2,0,0,0,7.714,2.370,2.571,&infin;,-0.25
"<a href=""https://www.baseball-reference.com/players/b/bechtge01.shtml"">G. Bechtel</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebechtge01"" style=""display:none;""></input><label for=""footnotebechtge01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbechtge01"">PH3, PH1</div></span>",26,486,5,13,0,210,157,48,0,8,9,2.667,2.404,1.346,1.12,-1.48
"<a href=""https://www.baseball-reference.com/players/b/blongjo01.shtml"">Joe Blong</a>",SL1,21,387,3,12,0,169,121,44,0,2,14,3.070,2.210,1.326,7.00,-0.91
"<a href=""https://www.baseball-reference.com/players/b/bondto01.shtml"">Tommy Bond</a>",HR1,19,1056,19,16,0,302,152,55,3,7,70,1.406,2.125,.878,10.00,10.86
"<a href=""https://www.baseball-reference.com/players/b/bordejo01.shtml"">Joe Borden</a>",PH2,21,198,2,4,0,47,30,11,0,7,9,1.500,2.420,.818,1.29,2.02
"<a href=""https://www.baseball-reference.com/players/b/boydbi01.shtml"">Bill Boyd</a>",BR2,22,5,0,0,0,4,3,0,0,0,0,.000,2.370,2.400,&infin;,-0.12
"<a href=""https://www.baseball-reference.com/players/b/bradlge01.shtml"">G. Bradley</a>",SL2,22,1607,33,26,0,540,304,127,3,17,60,2.134,2.312,1.040,3.53,0.00
"<a href=""https://www.baseball-reference.com/players/c/cassijo01.shtml"">John Cassidy</a>",BR2,?,641,1,21,0,284,242,72,3,11,9,3.033,2.601,1.381,0.82,-3.95
"<a href=""https://www.baseball-reference.com/players/c/clintji01.shtml"">Jim Clinton</a>",BR2,24,369,1,13,0,141,104,33,0,5,7,2.415,2.378,1.187,1.40,0.12
"<a href=""https://www.baseball-reference.com/players/c/cummica01.shtml"">C. Cummings</a>",HR1,26,1248,35,12,0,397,184,74,0,4,82,1.601,1.985,.964,20.50,12.33
"<a href=""https://www.baseball-reference.com/players/d/devliji01.shtml"">Jim Devlin</a>",CH2,26,672,7,16,0,254,179,48,0,12,23,1.929,2.326,1.188,1.92,-0.65
"<a href=""https://www.baseball-reference.com/players/e/edwar01.shtml""> Edwards</a>",BR2,?,6,0,1,0,4,6,1,0,0,0,4.500,2.370,2.000,&infin;,-0.26
"<a href=""https://www.baseball-reference.com/players/f/fergubo01.shtml"">Bob Ferguson</a>",HR1,30,6,0,0,0,9,7,5,1,0,0,22.500,6.436,4.500,&infin;,-0.31
"<a href=""https://www.baseball-reference.com/players/f/fishech01.shtml"">C. Fisher</a>",PH2,30,1074,22,19,0,345,189,79,6,9,18,1.986,2.570,.989,2.00,8.23
"<a href=""https://www.baseball-reference.com/players/f/fleetfr01.shtml"">Frank Fleet</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotefleetfr01"" style=""display:none;""></input><label for=""footnotefleetfr01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivfleetfr01"">SL2, BR2</div></span>",?,127,2,2,0,59,37,18,0,3,3,3.827,2.436,1.465,1.00,0.01
"<a href=""https://www.baseball-reference.com/players/g/galvipu01.shtml"">Pud Galvin</a>",SL2,18,186,4,2,1,53,37,8,0,1,8,1.161,2.149,.871,8.00,0.22
"<a href=""https://www.baseball-reference.com/players/g/gedneco01.shtml"">Count Gedney</a>",NY2,26,33,1,0,0,7,4,1,0,1,2,.818,2.268,.727,2.00,0.48
"<a href=""https://www.baseball-reference.com/players/g/goldemi01.shtml"">Mike Golden</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotegoldemi01"" style=""display:none;""></input><label for=""footnotegoldemi01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivgoldemi01"">KEO, CH2</div></span>",23,696,7,19,0,240,183,48,0,20,34,1.862,2.336,1.121,1.70,0.72
"<a href=""https://www.baseball-reference.com/players/h/heifefr01.shtml"">Frank Heifer</a>",BS1,21,7,0,0,1,6,4,4,0,0,0,15.429,2.370,2.571,&infin;,-0.19
"<a href=""https://www.baseball-reference.com/players/k/knighge01.shtml"">G. Knight</a>",NH1,19,27,1,0,0,12,6,3,0,0,0,3.000,2.370,1.333,&infin;,0.10
"<a href=""https://www.baseball-reference.com/players/k/knighlo01.shtml"">Lon Knight</a>",PH1,22,321,6,5,0,114,73,27,0,12,15,2.271,2.429,1.178,1.25,0.59
