Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/aberal01.shtml"">Al Aber</a>",DET,28,189,4,4,7,65,30,24,1,25,21,3.429,2.976,1.429,0.84,0.98
"<a href=""https://www.baseball-reference.com/players/a/abernte02.shtml"">T. Abernathy</a>",WS1,23,91,1,3,0,35,16,14,2,10,18,4.154,2.906,1.484,1.80,0.00
"<a href=""https://www.baseball-reference.com/players/a/ackerto01.shtml"">Tom Acker</a>",CIN,26,251,4,3,1,60,23,22,7,29,54,2.367,3.165,1.064,1.86,2.85
"<a href=""https://www.baseball-reference.com/players/a/aguirha01.shtml"">Hank Aguirre</a>",CLE,25,196,3,5,1,63,35,27,7,27,31,3.719,4.011,1.378,1.15,0.26
"<a href=""https://www.baseball-reference.com/players/a/antonjo02.shtml"">J. Antonelli</a>",NY1,26,775,20,13,1,225,93,82,20,75,145,2.857,3.096,1.161,1.93,6.42
"<a href=""https://www.baseball-reference.com/players/a/arroylu01.shtml"">Luis Arroyo</a>",PIT,29,86,3,3,0,36,17,15,5,12,17,4.709,4.527,1.674,1.42,-0.03
"<a href=""https://www.baseball-reference.com/players/b/baumafr01.shtml"">F. Baumann</a>",BOS,22,74,2,1,0,22,11,9,3,14,18,3.284,4.204,1.459,1.29,0.37
"<a href=""https://www.baseball-reference.com/players/b/beamoch01.shtml"">C. Beamon</a>",BAL,21,39,2,0,0,9,2,2,0,8,14,1.385,2.062,1.308,1.75,0.69
"<a href=""https://www.baseball-reference.com/players/b/besanfr01.shtml"">Fred Besana</a>",BAL,26,53,1,0,0,22,12,11,0,14,7,5.604,3.464,2.038,0.50,-0.16
"<a href=""https://www.baseball-reference.com/players/b/bessedo01.shtml"">Don Bessent</a>",BRO,25,238,4,3,9,63,23,22,5,31,52,2.496,3.068,1.185,1.68,2.66
"<a href=""https://www.baseball-reference.com/players/b/birreba01.shtml"">Babe Birrer</a>",BAL,26,16,0,0,0,9,5,4,0,1,1,6.750,2.525,1.875,1.00,-0.09
"<a href=""https://www.baseball-reference.com/players/b/blackbu01.shtml"">Bud Black</a>",DET,23,30,1,1,0,10,4,4,2,5,7,3.600,5.016,1.500,1.40,0.18
"<a href=""https://www.baseball-reference.com/players/b/blackjo02.shtml"">Joe Black</a>",CIN,32,185,3,2,2,61,31,31,11,25,27,4.524,5.102,1.395,1.08,0.61
"<a href=""https://www.baseball-reference.com/players/b/blaylbo01.shtml"">Bob Blaylock</a>",SLN,21,123,1,6,0,45,32,29,7,24,39,6.366,4.337,1.683,1.62,-0.76
"<a href=""https://www.baseball-reference.com/players/b/bradfbi01.shtml"">B. Bradford</a>",KC1,34,6,0,0,0,2,2,2,2,1,0,9.000,21.415,1.500,0.00,-0.04
"<a href=""https://www.baseball-reference.com/players/b/bradyji01.shtml"">Jim Brady</a>",DET,20,19,0,0,0,15,21,20,3,11,3,28.421,11.055,4.105,0.27,-0.88
"<a href=""https://www.baseball-reference.com/players/b/brancra01.shtml"">Ralph Branca</a>",BRO,30,6,0,0,0,1,0,0,0,2,2,.000,3.402,1.500,1.00,0.07
"<a href=""https://www.baseball-reference.com/players/b/breweto01.shtml"">Tom Brewer</a>",BOS,24,733,19,9,0,200,103,95,14,112,127,3.499,3.404,1.277,1.13,4.93
"<a href=""https://www.baseball-reference.com/players/b/briggjo01.shtml"">John Briggs</a>",CHN,22,16,0,0,0,5,1,1,1,4,1,1.688,5.085,1.688,0.25,0.17
"<a href=""https://www.baseball-reference.com/players/b/brododi01.shtml"">D. Brodowski</a>",WS1,23,53,0,3,0,31,18,18,5,12,8,9.170,6.582,2.434,0.67,-0.61
"<a href=""https://www.baseball-reference.com/players/b/brosnji01.shtml"">Jim Brosnan</a>",CHN,26,285,5,9,1,95,44,40,9,45,51,3.789,3.954,1.474,1.13,0.00
"<a href=""https://www.baseball-reference.com/players/b/brownha01.shtml"">Hal Brown</a>",BAL,31,455,9,7,2,142,72,68,18,37,57,4.035,3.913,1.180,1.54,1.95
