Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotda01.shtml"">Dan Abbott</a>",TL2,28,39,0,2,1,19,14,9,0,8,1,6.231,4.318,2.077,0.12,-0.37
"<a href=""https://www.baseball-reference.com/players/a/anderda01.shtml"">D. Anderson</a>",2,21,382,3,12,0,147,109,72,2,60,48,5.089,3.627,1.626,0.80,-0.41
"<a href=""https://www.baseball-reference.com/players/b/bakelje01.shtml"">J. Bakley</a>",CLP,26,979,12,25,0,412,307,162,13,147,67,4.468,4.308,1.713,0.46,0.00
"<a href=""https://www.baseball-reference.com/players/b/bakerki01.shtml"">K. Baker</a>",PIT,21,535,3,19,0,209,176,111,11,86,76,5.602,4.005,1.654,0.88,-2.39
"<a href=""https://www.baseball-reference.com/players/b/bakerno01.shtml"">Norm Baker</a>",BL3,27,51,1,1,0,16,9,7,0,6,10,3.706,2.849,1.294,1.67,0.35
"<a href=""https://www.baseball-reference.com/players/b/baldwla01.shtml"">Lady Baldwin</a>",2,31,209,3,5,0,105,78,37,5,28,17,4.780,4.357,1.909,0.61,-1.05
"<a href=""https://www.baseball-reference.com/players/b/baldwma01.shtml"">Mark Baldwin</a>",CHP,26,1476,33,24,0,494,321,183,10,249,206,3.348,3.814,1.510,0.83,0.00
"<a href=""https://www.baseball-reference.com/players/b/barrbo01.shtml"">Bob Barr</a>",RC2,33,1480,28,24,0,458,267,178,7,219,209,3.247,3.568,1.372,0.95,4.83
"<a href=""https://www.baseball-reference.com/players/b/bartsch01.shtml"">C. Bartson</a>",CHP,25,591,9,10,1,226,145,90,8,66,52,4.112,3.761,1.482,0.79,1.82
"<a href=""https://www.baseball-reference.com/players/b/beatied01.shtml"">Ed Beatin</a>",CL4,23,1423,22,30,0,518,300,202,11,186,155,3.833,3.695,1.484,0.83,3.65
"<a href=""https://www.baseball-reference.com/players/b/beeched01.shtml"">Ed Beecher</a>",BFP,30,18,0,0,0,10,8,8,0,3,0,12.000,4.301,2.167,0.00,-0.16
"<a href=""https://www.baseball-reference.com/players/b/blauvhe01.shtml"">H. Blauvelt</a>",RC2,22,37,0,0,0,19,23,14,0,8,5,10.216,3.971,2.189,0.62,-0.70
"<a href=""https://www.baseball-reference.com/players/b/bowmasu01.shtml"">S. Bowman</a>",2,23,236,2,5,0,111,97,59,1,52,24,6.750,3.966,2.072,0.46,-2.02
"<a href=""https://www.baseball-reference.com/players/b/buckljo01.shtml"">John Buckley</a>",BFP,20,102,1,3,0,49,32,29,5,16,4,7.676,5.920,1.912,0.25,-0.11
"<a href=""https://www.baseball-reference.com/players/b/buffich01.shtml"">C. Buffinton</a>",PHP,29,850,19,15,1,312,211,120,8,126,89,3.812,3.953,1.546,0.71,2.67
"<a href=""https://www.baseball-reference.com/players/b/burkeje01.shtml"">J. Burkett</a>",NY1,21,354,3,10,0,134,123,73,3,92,82,5.568,3.850,1.915,0.89,-2.97
"<a href=""https://www.baseball-reference.com/players/c/calihwi01.shtml"">Will Calihan</a>",RC2,22,889,18,15,0,276,170,108,4,125,127,3.280,3.401,1.353,1.02,2.03
"<a href=""https://www.baseball-reference.com/players/c/carutbo01.shtml"">B. Caruthers</a>",BRO,26,900,23,11,0,292,163,103,9,87,64,3.090,3.709,1.263,0.74,3.84
"<a href=""https://www.baseball-reference.com/players/c/caseyda01.shtml"">Dan Casey</a>",SR2,27,1082,19,22,0,365,249,166,8,165,169,4.142,3.578,1.470,1.02,0.28
"<a href=""https://www.baseball-reference.com/players/c/chambel01.shtml"">I. Chamberlain</a>",2,22,630,15,7,0,175,106,66,3,96,128,2.829,3.199,1.290,1.33,-0.72
"<a href=""https://www.baseball-reference.com/players/c/clarkjo01.shtml"">J. Clarkson</a>",BSN,28,1149,26,18,0,370,186,139,14,140,138,3.266,3.714,1.332,0.99,8.62
"<a href=""https://www.baseball-reference.com/players/c/clarksp01.shtml"">Spider Clark</a>",BFP,22,12,0,0,0,8,4,3,0,2,2,6.750,3.368,2.500,1.00,-0.03
"<a href=""https://www.baseball-reference.com/players/c/colemjo01.shtml"">John Coleman</a>",PIT,27,42,0,2,0,28,23,15,1,6,3,9.643,4.446,2.429,0.50,-0.59
"<a href=""https://www.baseball-reference.com/players/c/colemjo02.shtml"">John Coleman</a>",PHI,30,5,0,1,0,4,8,4,0,3,2,21.600,5.092,4.200,0.67,-0.35
"<a href=""https://www.baseball-reference.com/players/c/cotteda01.shtml"">Dan Cotter</a>",BFP,23,27,0,1,0,18,19,14,1,7,0,14.000,6.173,2.778,0.00,-0.37
"<a href=""https://www.baseball-reference.com/players/c/coughro01.shtml"">R. Coughlin</a>",CHN,22,285,4,6,0,102,60,45,3,40,29,4.263,3.910,1.495,0.72,0.36
"<a href=""https://www.baseball-reference.com/players/c/craneed01.shtml"">Ed Crane</a>",NYP,28,991,16,19,0,323,280,170,12,208,116,4.632,4.558,1.607,0.56,0.00
"<a href=""https://www.baseball-reference.com/players/c/cunnibe01.shtml"">B. Cunningham</a>",2,24,959,12,24,0,384,293,200,8,201,111,5.631,4.306,1.830,0.55,-0.57
"<a href=""https://www.baseball-reference.com/players/c/cushmed01.shtml"">Ed Cushman</a>",TL2,38,947,17,21,1,346,208,147,5,107,125,4.191,3.300,1.435,1.17,1.13
"<a href=""https://www.baseball-reference.com/players/d/dailevi01.shtml"">Vince Dailey</a>",CL4,25,21,0,1,0,12,17,6,0,7,0,7.714,5.608,2.714,0.00,-0.64
"<a href=""https://www.baseball-reference.com/players/d/dailyed01.shtml"">Ed Daily</a>",3,27,1034,18,17,0,341,202,130,5,129,113,3.395,3.407,1.364,0.88,4.57
"<a href=""https://www.baseball-reference.com/players/d/daleybi01.shtml"">Bill Daley</a>",BSP,22,759,18,7,2,253,187,95,7,178,115,3.379,4.394,1.704,0.65,1.62
"<a href=""https://www.baseball-reference.com/players/d/daniepe01.shtml"">Pete Daniels</a>",PIT,26,84,1,2,0,40,29,22,1,12,8,7.071,3.764,1.857,0.67,-0.45
"<a href=""https://www.baseball-reference.com/players/d/daybi01.shtml"">Bill Day</a>",2,22,221,1,7,0,92,66,37,1,36,19,4.520,4.017,1.738,0.53,-0.49
"<a href=""https://www.baseball-reference.com/players/d/demarfr01.shtml"">F. Demarais</a>",CHN,23,6,0,0,0,1,0,0,0,1,1,.000,3.530,1.000,1.00,0.13
"<a href=""https://www.baseball-reference.com/players/d/dewalch01.shtml"">C. Dewald</a>",CLP,22,42,2,0,0,13,7,1,0,5,6,.643,3.185,1.286,1.20,0.40
"<a href=""https://www.baseball-reference.com/players/d/doefr01.shtml"">Fred Doe</a>",2,26,30,0,1,0,14,12,10,0,9,4,9.000,4.699,2.300,0.44,-0.15
"<a href=""https://www.baseball-reference.com/players/d/dolanjo01.shtml"">John Dolan</a>",CIN,22,54,1,1,0,17,13,9,3,10,9,4.500,5.795,1.500,0.90,-0.03
"<a href=""https://www.baseball-reference.com/players/d/dotyba01.shtml"">Babe Doty</a>",TL2,22,27,1,0,0,9,1,1,0,1,4,1.000,2.415,1.111,4.00,0.50
"<a href=""https://www.baseball-reference.com/players/d/dowseto01.shtml"">Tom Dowse</a>",CL4,23,15,0,0,0,6,3,3,0,1,0,5.400,3.561,1.400,0.00,0.05
"<a href=""https://www.baseball-reference.com/players/d/duryeje01.shtml"">Jesse Duryea</a>",CIN,30,822,16,12,0,270,148,89,11,60,108,2.923,3.277,1.204,1.80,3.74
"<a href=""https://www.baseball-reference.com/players/d/duzenbi01.shtml"">Bill Duzen</a>",BFP,20,39,0,2,0,20,24,20,2,14,5,13.846,7.052,2.615,0.36,-0.59
"<a href=""https://www.baseball-reference.com/players/d/dwyerfr01.shtml"">Frank Dwyer</a>",CHP,22,208,3,6,1,98,71,48,4,25,17,6.231,4.214,1.774,0.68,0.00
