Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/adkingr01.shtml"">Grady Adkins</a>",CHA,32,415,2,11,0,168,98,82,12,67,24,5.335,5.357,1.699,0.36,-0.81
"<a href=""https://www.baseball-reference.com/players/a/alexape01.shtml"">P. Alexander</a>",SLN,42,396,9,8,0,149,65,57,10,23,33,3.886,4.144,1.303,1.43,2.44
"<a href=""https://www.baseball-reference.com/players/a/ashke01.shtml"">Ken Ash</a>",CIN,27,246,1,5,2,91,57,44,2,30,26,4.829,3.771,1.476,0.87,-0.30
"<a href=""https://www.baseball-reference.com/players/b/ballowi01.shtml"">Win Ballou</a>",BRO,31,173,2,3,0,69,52,43,5,38,20,6.711,5.533,1.855,0.53,-0.78
"<a href=""https://www.baseball-reference.com/players/b/barnefr01.shtml"">Frank Barnes</a>",DET,29,15,0,1,0,10,8,4,0,3,0,7.200,4.141,2.600,0.00,-0.31
"<a href=""https://www.baseball-reference.com/players/b/baynebi01.shtml"">Bill Bayne</a>",BOS,30,253,5,5,0,111,72,63,9,29,26,6.723,4.623,1.660,0.90,-0.98
"<a href=""https://www.baseball-reference.com/players/b/beallwa01.shtml"">Walter Beall</a>",WS1,29,21,1,0,0,8,4,3,0,7,3,3.857,5.341,2.143,0.43,-0.01
"<a href=""https://www.baseball-reference.com/players/b/bellhi01.shtml"">Hi Bell</a>",SLN,31,39,0,2,0,19,15,10,1,4,4,6.923,4.309,1.769,1.00,-0.47
"<a href=""https://www.baseball-reference.com/players/b/bengera01.shtml"">Ray Benge</a>",PHI,27,597,11,15,4,255,147,139,24,77,78,6.286,5.003,1.668,1.01,0.55
"<a href=""https://www.baseball-reference.com/players/b/bentola01.shtml"">Larry Benton</a>",NY1,31,711,11,17,3,276,129,109,16,61,63,4.139,4.283,1.422,1.03,0.00
"<a href=""https://www.baseball-reference.com/players/b/billijo02.shtml"">J. Billings</a>",DET,21,58,0,1,0,27,14,11,0,9,1,5.121,4.239,1.862,0.11,0.10
"<a href=""https://www.baseball-reference.com/players/b/blackle01.shtml"">L. Blackburne</a>",CHA,42,1,0,0,0,1,0,0,0,0,0,.000,3.162,3.000,&infin;,0.02
"<a href=""https://www.baseball-reference.com/players/b/blaehge01.shtml"">G. Blaeholder</a>",SLA,25,666,14,15,2,237,113,103,18,61,72,4.176,4.398,1.342,1.18,0.00
"<a href=""https://www.baseball-reference.com/players/b/blakesh01.shtml"">S. Blake</a>",CHN,29,655,14,13,1,244,122,104,8,103,70,4.287,4.408,1.589,0.68,1.15
"<a href=""https://www.baseball-reference.com/players/b/blankte01.shtml"">T. Blankenship</a>",CHA,28,55,0,2,0,28,18,18,3,9,7,8.836,5.796,2.018,0.78,-0.39
"<a href=""https://www.baseball-reference.com/players/b/blethcl01.shtml"">C. Blethen</a>",BRO,35,6,0,0,0,4,2,2,0,3,0,9.000,6.833,3.500,0.00,-0.01
"<a href=""https://www.baseball-reference.com/players/b/bradlhe01.shtml"">Herb Bradley</a>",BOS,26,12,0,0,0,7,3,3,1,2,0,6.750,7.721,2.250,0.00,0.01
"<a href=""https://www.baseball-reference.com/players/b/bradsjo01.shtml"">Joe Bradshaw</a>",BRO,31,12,0,0,0,3,3,2,0,4,1,4.500,4.298,1.750,0.25,0.02
"<a href=""https://www.baseball-reference.com/players/b/brameer01.shtml"">Erv Brame</a>",PIT,27,689,16,11,0,250,123,116,17,71,68,4.546,4.468,1.398,0.96,3.12
"<a href=""https://www.baseball-reference.com/players/b/branded01.shtml"">Ed Brandt</a>",BSN,24,503,8,13,0,196,111,103,12,83,50,5.529,4.904,1.664,0.60,0.85
"<a href=""https://www.baseball-reference.com/players/b/braxtga01.shtml"">G. Braxton</a>",WS1,29,546,12,10,4,219,116,98,6,51,59,4.846,3.727,1.484,1.16,0.00
"<a href=""https://www.baseball-reference.com/players/b/breckbi01.shtml"">B. Breckinri</a>",PHA,21,30,0,0,0,10,10,9,0,16,2,8.100,7.681,2.600,0.12,-0.16
"<a href=""https://www.baseball-reference.com/players/b/browncl01.shtml"">Clint Brown</a>",CLE,25,49,0,2,0,18,8,6,0,6,1,3.306,4.161,1.469,0.17,0.22
"<a href=""https://www.baseball-reference.com/players/b/brownll01.shtml"">Lloyd Brown</a>",WS1,24,504,8,7,0,186,92,78,7,69,48,4.179,4.379,1.518,0.70,0.00
"<a href=""https://www.baseball-reference.com/players/b/burkebo01.shtml"">Bobby Burke</a>",WS1,22,423,6,8,0,154,91,75,6,55,51,4.787,4.070,1.482,0.93,-0.23
"<a href=""https://www.baseball-reference.com/players/b/bushgu01.shtml"">Guy Bush</a>",CHN,27,812,18,7,8,277,135,110,16,107,82,3.658,4.497,1.419,0.77,0.00
"<a href=""https://www.baseball-reference.com/players/b/byrneje01.shtml"">Jerry Byrne</a>",CHA,22,22,0,1,0,11,6,6,0,6,1,7.364,5.179,2.318,0.17,-0.06
"<a href=""https://www.baseball-reference.com/players/c/campbar01.shtml"">A. Campbell</a>",WS1,25,12,0,1,0,10,7,7,1,5,1,15.750,8.641,3.750,0.20,-0.25
"<a href=""https://www.baseball-reference.com/players/c/cantwbe01.shtml"">Ben Cantwell</a>",BSN,27,471,4,13,2,171,98,78,11,52,25,4.471,4.743,1.420,0.48,0.00
"<a href=""https://www.baseball-reference.com/players/c/carlsha01.shtml"">Hal Carlson</a>",CHN,37,335,11,5,2,131,71,64,8,31,35,5.158,4.251,1.451,1.13,-0.24
"<a href=""https://www.baseball-reference.com/players/c/carroed01.shtml"">Ed Carroll</a>",BOS,21,202,1,0,0,77,46,42,6,20,13,5.614,4.680,1.441,0.65,-0.06
"<a href=""https://www.baseball-reference.com/players/c/carroow01.shtml"">O. Carroll</a>",DET,26,606,9,17,1,249,133,104,10,86,54,4.634,4.403,1.658,0.63,0.00
