Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/aguirha01.shtml"">Hank Aguirre</a>",DET,31,648,16,8,3,162,67,53,14,65,156,2.208,2.853,1.051,2.40,7.39
"<a href=""https://www.baseball-reference.com/players/a/allenbo04.shtml"">Bob Allen</a>",CLE,24,92,1,1,4,29,24,20,5,25,23,5.870,5.676,1.761,0.92,-1.03
"<a href=""https://www.baseball-reference.com/players/a/anderbo01.shtml"">Bob Anderson</a>",CHN,26,323,2,7,4,111,70,60,9,60,82,5.015,3.675,1.588,1.37,-0.44
"<a href=""https://www.baseball-reference.com/players/a/andercr01.shtml"">C. Anderson</a>",NYN,23,394,3,17,4,150,108,78,18,63,62,5.345,4.671,1.622,0.98,-2.58
"<a href=""https://www.baseball-reference.com/players/a/anderjo02.shtml"">J. Anderson</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteanderjo02"" style=""display:none;""></input><label for=""footnoteanderjo02"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivanderjo02"">SLN, HOU</div></span>",32,72,0,0,1,30,13,11,1,6,9,4.125,3.121,1.500,1.50,0.24
"<a href=""https://www.baseball-reference.com/players/a/archeji02.shtml"">Jim Archer</a>",KC1,30,83,0,1,0,40,30,29,8,10,12,9.434,6.434,1.807,1.20,-1.33
"<a href=""https://www.baseball-reference.com/players/a/arrigge01.shtml"">Gerry Arrigo</a>",MIN,21,3,0,0,0,3,3,2,0,1,1,18.000,3.365,4.000,1.00,-0.11
"<a href=""https://www.baseball-reference.com/players/a/arroylu01.shtml"">Luis Arroyo</a>",NYA,35,101,1,3,7,33,20,18,5,17,21,4.812,4.780,1.485,1.24,-0.50
"<a href=""https://www.baseball-reference.com/players/b/bairdbo01.shtml"">Bob Baird</a>",WS2,22,32,0,1,0,13,8,8,0,8,3,6.750,4.213,1.969,0.38,-0.19
"<a href=""https://www.baseball-reference.com/players/b/baldsja01.shtml"">J. Baldschun</a>",PHI,25,338,12,7,13,95,41,37,6,58,95,2.956,3.120,1.358,1.64,2.52
"<a href=""https://www.baseball-reference.com/players/b/balsato01.shtml"">Tony Balsamo</a>",CHN,24,88,0,1,0,34,22,21,1,20,27,6.443,3.120,1.841,1.35,-0.27
"<a href=""https://www.baseball-reference.com/players/b/barbest01.shtml"">Steve Barber</a>",BAL,24,421,9,6,0,145,66,54,9,61,89,3.463,3.431,1.468,1.46,0.00
"<a href=""https://www.baseball-reference.com/players/b/bassno01.shtml"">Norm Bass</a>",KC1,23,226,2,6,0,96,55,51,7,46,33,6.093,4.675,1.885,0.72,-0.88
"<a href=""https://www.baseball-reference.com/players/b/baumafr01.shtml"">F. Baumann</a>",CHA,28,359,7,6,4,117,46,45,10,36,55,3.384,3.654,1.279,1.53,2.33
"<a href=""https://www.baseball-reference.com/players/b/bautaed01.shtml"">Ed Bauta</a>",SLN,27,97,1,0,1,28,18,18,5,21,25,5.010,5.044,1.515,1.19,0.00
"<a href=""https://www.baseball-reference.com/players/b/belinbo01.shtml"">Bo Belinsky</a>",LAA,25,562,10,11,1,149,86,74,12,122,145,3.555,3.656,1.447,1.19,2.27
"<a href=""https://www.baseball-reference.com/players/b/bellga01.shtml"">Gary Bell</a>",CLE,25,323,10,9,12,104,56,51,14,52,80,4.263,4.221,1.449,1.54,0.00
"<a href=""https://www.baseball-reference.com/players/b/bennede01.shtml"">D. Bennett</a>",PHI,22,524,9,9,3,144,78,74,17,68,149,3.813,3.255,1.214,2.19,2.60
"<a href=""https://www.baseball-reference.com/players/b/bolinbo01.shtml"">Bobby Bolin</a>",SFN,23,276,7,3,5,84,41,37,10,35,74,3.620,3.397,1.293,2.11,0.00
"<a href=""https://www.baseball-reference.com/players/b/bonikjo01.shtml"">J. Bonikowski</a>",MIN,21,299,5,7,2,95,47,43,6,38,45,3.883,3.635,1.334,1.18,1.14
"<a href=""https://www.baseball-reference.com/players/b/boozejo01.shtml"">John Boozer</a>",PHI,23,61,0,0,0,22,13,13,3,10,13,5.754,4.780,1.574,1.30,-0.05
"<a href=""https://www.baseball-reference.com/players/b/botzbo01.shtml"">Bob Botz</a>",LAA,27,189,2,1,2,71,30,24,7,11,24,3.429,3.708,1.302,2.18,0.44
"<a href=""https://www.baseball-reference.com/players/b/bouldca01.shtml"">Carl Bouldin</a>",WS2,22,60,1,2,0,26,13,13,0,9,12,5.850,2.617,1.750,1.33,-0.15
"<a href=""https://www.baseball-reference.com/players/b/boutoji01.shtml"">Jim Bouton</a>",NYA,23,399,7,7,2,124,63,59,9,59,71,3.992,3.793,1.376,1.20,0.00
"<a href=""https://www.baseball-reference.com/players/b/bowsfte01.shtml"">T. Bowsfield</a>",LAA,27,417,9,8,1,154,82,68,12,40,52,4.403,3.772,1.396,1.30,-0.36
"<a href=""https://www.baseball-reference.com/players/b/brancha01.shtml"">H. Branch</a>",SLN,23,15,0,1,0,5,3,3,1,5,2,5.400,7.747,2.000,0.40,-0.04
"<a href=""https://www.baseball-reference.com/players/b/breweji01.shtml"">Jim Brewer</a>",CHN,24,17,0,1,0,10,6,6,2,3,1,9.529,8.511,2.294,0.33,0.00
