Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/aguirha01.shtml"">Hank Aguirre</a>",DET,30,55&frac13;,4,4,8,44,22,20,5,38,32,3.253,4.644,1.482,0.84,1.00
"<a href=""https://www.baseball-reference.com/players/a/allenbo04.shtml"">Bob Allen</a>",CLE,23,81&frac23;,3,2,3,96,42,34,7,40,42,3.747,4.030,1.665,1.05,0.19
"<a href=""https://www.baseball-reference.com/players/a/anderbo01.shtml"">Bob Anderson</a>",CHN,25,152,7,10,8,162,85,72,14,56,96,4.263,3.552,1.434,1.71,1.84
"<a href=""https://www.baseball-reference.com/players/a/andercr01.shtml"">C. Anderson</a>",SLN,22,38&frac23;,4,3,1,38,15,14,3,12,21,3.259,3.345,1.293,1.75,1.03
"<a href=""https://www.baseball-reference.com/players/a/antonjo02.shtml"">J. Antonelli</a>",2,31,58&frac23;,1,4,0,84,48,44,10,21,31,6.750,4.578,1.790,1.48,-1.42
"<a href=""https://www.baseball-reference.com/players/a/archeji02.shtml"">Jim Archer</a>",KC1,29,205&frac13;,9,15,5,204,99,73,11,60,110,3.200,2.991,1.286,1.83,3.84
"<a href=""https://www.baseball-reference.com/players/a/arrigge01.shtml"">Gerry Arrigo</a>",MIN,20,9&frac23;,0,1,0,9,12,11,0,10,6,10.241,3.739,1.966,0.60,-0.40
"<a href=""https://www.baseball-reference.com/players/a/arroylu01.shtml"">Luis Arroyo</a>",NYA,34,119,15,5,29,83,34,29,5,49,87,2.193,2.827,1.109,1.78,3.23
"<a href=""https://www.baseball-reference.com/players/b/baldsja01.shtml"">J. Baldschun</a>",PHI,24,99&frac23;,5,3,3,90,53,43,7,49,59,3.883,3.636,1.395,1.20,0.72
"<a href=""https://www.baseball-reference.com/players/b/barbest01.shtml"">Steve Barber</a>",BAL,23,248&frac13;,18,12,1,194,102,92,13,130,150,3.334,3.640,1.305,1.15,0.00
"<a href=""https://www.baseball-reference.com/players/b/bassno01.shtml"">Norm Bass</a>",KC1,22,170&frac23;,11,11,0,164,98,89,17,82,74,4.693,4.410,1.441,0.90,0.87
"<a href=""https://www.baseball-reference.com/players/b/baumafr01.shtml"">F. Baumann</a>",CHA,27,187&frac23;,10,13,3,249,128,117,22,59,75,5.611,4.098,1.641,1.27,-2.14
"<a href=""https://www.baseball-reference.com/players/b/bautaed01.shtml"">Ed Bauta</a>",SLN,26,19&frac13;,2,0,5,12,5,3,2,5,12,1.397,3.501,.879,2.40,0.00
"<a href=""https://www.baseball-reference.com/players/b/becquju01.shtml"">J. Becquer</a>",MIN,29,1&frac13;,0,0,0,4,3,3,0,1,0,20.250,4.066,3.750,0.00,-0.09
"<a href=""https://www.baseball-reference.com/players/b/bellga01.shtml"">Gary Bell</a>",CLE,24,228&frac13;,12,16,0,214,125,104,32,100,163,4.099,4.202,1.375,1.63,0.00
"<a href=""https://www.baseball-reference.com/players/b/bolinbo01.shtml"">Bobby Bolin</a>",SFN,22,48,2,2,5,37,20,17,6,37,48,3.188,4.299,1.542,1.30,0.00
"<a href=""https://www.baseball-reference.com/players/b/borlato01.shtml"">Tom Borland</a>",BOS,28,1,0,0,0,3,2,2,0,0,0,18.000,2.574,3.000,&infin;,-0.06
