Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/aardsda01.shtml"">D. Aardsma</a>",SFN,22,32,1,0,0,20,8,8,1,10,5,6.750,5.253,2.812,0.50,-0.15
"<a href=""https://www.baseball-reference.com/players/a/abbotpa01.shtml"">Paul Abbott</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteabbotpa01"" style=""display:none;""></input><label for=""footnoteabbotpa01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivabbotpa01"">TBA, PHI</div></span>",36,288,3,11,0,106,76,69,22,58,46,6.469,6.822,1.708,0.79,-0.47
"<a href=""https://www.baseball-reference.com/players/a/acevejo01.shtml"">Jose Acevedo</a>",CIN,26,473,5,12,0,188,108,104,30,45,117,5.937,4.734,1.478,2.60,-1.37
"<a href=""https://www.baseball-reference.com/players/a/adamsmi03.shtml"">Mike Adams</a>",MIL,25,159,2,3,0,50,21,20,5,14,39,3.396,3.478,1.208,2.79,1.01
"<a href=""https://www.baseball-reference.com/players/a/adamste01.shtml"">Terry Adams</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteadamste01"" style=""display:none;""></input><label for=""footnoteadamste01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivadamste01"">TOR, BOS</div></span>",31,210,6,4,3,84,39,37,10,28,56,4.757,4.367,1.600,2.00,0.60
"<a href=""https://www.baseball-reference.com/players/a/adkinjo01.shtml"">Jon Adkins</a>",CHA,26,186,2,3,0,75,35,32,13,20,44,4.645,5.269,1.532,2.20,0.25
"<a href=""https://www.baseball-reference.com/players/a/affelje01.shtml"">J. Affeldt</a>",KCA,25,229,3,4,13,91,49,42,6,32,49,4.952,3.899,1.611,1.53,0.00
"<a href=""https://www.baseball-reference.com/players/a/ainswku01.shtml"">K. Ainsworth</a>",BAL,25,92,0,1,0,39,34,33,6,20,20,9.685,5.702,1.924,1.00,-1.02
"<a href=""https://www.baseball-reference.com/players/a/alfonan01.shtml"">A. Alfonseca</a>",ATL,32,221,6,4,0,71,24,21,5,28,45,2.566,3.859,1.344,1.61,1.43
"<a href=""https://www.baseball-reference.com/players/a/almanar01.shtml"">A. Almanza</a>",ATL,31,35,1,1,0,9,8,8,3,7,13,6.171,5.695,1.371,1.86,-0.16
"<a href=""https://www.baseball-reference.com/players/a/almanca01.shtml"">C. Almanzar</a>",TEX,30,218,7,3,0,66,32,30,8,19,44,3.716,3.926,1.170,2.32,1.59
"<a href=""https://www.baseball-reference.com/players/a/alvarab01.shtml"">Abe Alvarez</a>",BOS,21,15,0,1,0,8,5,5,2,5,2,9.000,11.084,2.600,0.40,-0.09
"<a href=""https://www.baseball-reference.com/players/a/alvarwi01.shtml"">W. Alvarez</a>",LAN,34,362,7,6,1,109,56,54,12,31,102,4.028,3.299,1.160,3.29,0.99
"<a href=""https://www.baseball-reference.com/players/a/anderbr02.shtml"">B. Anderson</a>",KCA,32,498,6,12,0,217,123,104,33,53,70,5.639,5.697,1.627,1.32,-0.34
"<a href=""https://www.baseball-reference.com/players/a/anderja01.shtml"">J. Anderson</a>",CLE,25,3,0,0,0,1,5,5,1,4,1,45.000,30.906,5.000,0.25,-0.14
"<a href=""https://www.baseball-reference.com/players/a/anderji02.shtml"">J. Anderson</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteanderji02"" style=""display:none;""></input><label for=""footnoteanderji02"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivanderji02"">CHN, BOS</div></span>",28,47,0,0,1,19,9,9,0,6,6,5.170,3.049,1.596,1.00,0.07
"<a href=""https://www.baseball-reference.com/players/a/ankieri01.shtml"">Rick Ankiel</a>",SLN,24,30,1,0,0,10,6,6,2,1,9,5.400,3.542,1.100,9.00,-0.09
"<a href=""https://www.baseball-reference.com/players/a/appieke01.shtml"">Kevin Appier</a>",KCA,36,12,0,1,0,7,8,6,0,3,2,13.500,4.080,2.500,0.67,-0.40
"<a href=""https://www.baseball-reference.com/players/a/aquingr01.shtml"">Greg Aquino</a>",ARI,26,106,0,2,16,24,15,12,4,17,26,3.057,4.421,1.160,1.53,0.76
"<a href=""https://www.baseball-reference.com/players/a/armasto02.shtml"">Tony Armas</a>",MON,26,216,2,4,0,66,41,39,13,45,54,4.875,5.746,1.542,1.20,0.39
"<a href=""https://www.baseball-reference.com/players/a/arroybr01.shtml"">B. Arroyo</a>",BOS,27,536,10,9,0,171,99,80,17,47,142,4.030,3.149,1.220,3.02,2.62
"<a href=""https://www.baseball-reference.com/players/a/ashbyan01.shtml"">Andy Ashby</a>",SDN,36,6,0,0,0,1,0,0,0,0,2,.000,.941,.500,&infin;,0.07
"<a href=""https://www.baseball-reference.com/players/a/astacpe01.shtml"">P. Astacio</a>",BOS,35,26,0,0,0,13,10,10,2,5,6,10.385,6.139,2.077,1.20,0.00
"<a href=""https://www.baseball-reference.com/players/a/atchisc01.shtml"">S. Atchison</a>",SEA,28,92,2,3,0,29,12,12,4,14,36,3.522,3.749,1.402,2.57,0.56
"<a href=""https://www.baseball-reference.com/players/a/ayalalu01.shtml"">Luis Ayala</a>",MON,26,271,6,12,2,92,30,27,6,15,63,2.690,2.848,1.185,4.20,0.00
"<a href=""https://www.baseball-reference.com/players/b/backebr01.shtml"">B. Backe</a>",HOU,26,201,5,3,0,75,33,32,10,27,54,4.299,4.531,1.522,2.00,0.59
"<a href=""https://www.baseball-reference.com/players/b/bacsimi02.shtml"">Mike Bacsik</a>",TEX,26,47,1,1,0,16,8,8,2,1,6,4.596,3.792,1.085,6.00,0.33
"<a href=""https://www.baseball-reference.com/players/b/baekch01.shtml"">C. Baek</a>",SEA,24,93,2,4,0,35,23,19,5,11,20,5.516,4.698,1.484,1.82,0.00
"<a href=""https://www.baseball-reference.com/players/b/baezda01.shtml"">Danys Baez</a>",TBA,26,204,4,4,30,60,31,27,6,29,52,3.574,3.648,1.309,1.79,0.00
"<a href=""https://www.baseball-reference.com/players/b/bajenje01.shtml"">J. Bajenaru</a>",CHA,26,25,0,1,0,15,10,10,0,6,8,10.800,3.248,2.520,1.33,-0.28
"<a href=""https://www.baseball-reference.com/players/b/baldwja01.shtml"">J. Baldwin</a>",NYN,32,18,0,2,0,13,10,10,3,5,1,15.000,10.326,3.000,0.20,-0.45
"<a href=""https://www.baseball-reference.com/players/b/balfogr01.shtml"">G. Balfour</a>",MIN,26,118,4,1,0,35,19,19,4,21,42,4.347,3.684,1.424,2.00,0.53
"<a href=""https://www.baseball-reference.com/players/b/bartocl01.shtml"">C. Bartosh</a>",CLE,24,58,1,0,0,22,10,10,4,11,25,4.655,4.725,1.707,2.27,0.16
"<a href=""https://www.baseball-reference.com/players/b/batismi01.shtml"">M. Batista</a>",TOR,33,596,10,13,5,206,115,106,22,96,104,4.802,4.902,1.520,1.08,0.00
"<a href=""https://www.baseball-reference.com/players/b/bauerri01.shtml"">Rick Bauer</a>",BAL,27,161,2,1,0,49,31,28,4,20,37,4.696,3.540,1.286,1.85,0.28
"<a href=""https://www.baseball-reference.com/players/b/bautide01.shtml"">D. Bautista</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebautide01"" style=""display:none;""></input><label for=""footnotebautide01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbautide01"">BAL, KCA</div></span>",23,89,0,4,0,44,28,28,3,13,19,8.494,4.020,1.921,1.46,0.00
"<a href=""https://www.baseball-reference.com/players/b/beckejo02.shtml"">Josh Beckett</a>",FLO,24,470,9,9,0,137,72,66,16,54,152,3.791,3.358,1.219,2.81,1.92
"<a href=""https://www.baseball-reference.com/players/b/beckro01.shtml"">Rod Beck</a>",SDN,35,72,0,2,0,27,18,17,8,9,15,6.375,7.309,1.500,1.67,-0.43
"<a href=""https://www.baseball-reference.com/players/b/bedarer01.shtml"">Erik Bedard</a>",BAL,25,412,6,10,0,149,83,70,13,71,121,4.587,3.876,1.602,1.70,0.00
"<a href=""https://www.baseball-reference.com/players/b/beimejo01.shtml"">Joe Beimel</a>",MIN,27,5,0,0,0,8,8,8,1,2,2,43.200,7.844,6.000,1.00,0.00
"<a href=""https://www.baseball-reference.com/players/b/bellhe01.shtml"">Heath Bell</a>",NYN,26,73,0,2,0,22,9,9,5,6,27,3.329,4.322,1.151,4.50,0.46
"<a href=""https://www.baseball-reference.com/players/b/bellro01.shtml"">Rob Bell</a>",TBA,27,369,8,8,0,121,71,61,16,41,57,4.463,4.733,1.317,1.39,0.73
"<a href=""https://www.baseball-reference.com/players/b/beltrfr01.shtml"">F. Beltran</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebeltrfr01"" style=""display:none;""></input><label for=""footnotebeltrfr01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbeltrfr01"">CHN, MON</div></span>",24,148,2,2,1,47,31,30,11,27,48,5.473,5.552,1.500,1.78,-0.21
"<a href=""https://www.baseball-reference.com/players/b/beltrri01.shtml"">Rigo Beltran</a>",MON,34,2,0,0,0,1,1,1,0,0,0,13.500,3.049,1.500,&infin;,-0.08
"<a href=""https://www.baseball-reference.com/players/b/benitar01.shtml"">A. Benitez</a>",FLO,31,209,2,2,47,36,11,10,6,21,62,1.292,3.318,.818,2.95,0.00
"<a href=""https://www.baseball-reference.com/players/b/benneje01.shtml"">Jeff Bennett</a>",MIL,24,214,1,5,0,78,43,38,12,26,45,4.794,4.969,1.458,1.73,-0.15
"<a href=""https://www.baseball-reference.com/players/b/benoijo01.shtml"">J. Benoit</a>",TEX,26,309,3,5,0,113,67,65,19,31,95,5.680,4.235,1.398,3.06,0.85
"<a href=""https://www.baseball-reference.com/players/b/bensokr01.shtml"">Kris Benson</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebensokr01"" style=""display:none;""></input><label for=""footnotebensokr01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbensokr01"">PIT, NYN</div></span>",29,601,12,12,0,202,106,96,15,61,134,4.313,3.448,1.313,2.20,1.71
"<a href=""https://www.baseball-reference.com/players/b/bentzch01.shtml"">Chad Bentz</a>",MON,24,83,0,3,0,23,19,18,5,23,18,5.855,6.700,1.663,0.78,-0.30
"<a href=""https://www.baseball-reference.com/players/b/bergmdu01.shtml"">D. Bergman</a>",ANA,26,6,0,0,0,4,3,3,0,1,1,13.500,3.441,2.500,1.00,-0.07
"<a href=""https://www.baseball-reference.com/players/b/bernead01.shtml"">Adam Bernero</a>",COL,27,97,1,1,0,36,20,20,7,17,21,5.567,6.164,1.639,1.24,0.00
"<a href=""https://www.baseball-reference.com/players/b/betanra01.shtml"">R. Betancourt</a>",CLE,29,200,5,6,4,71,32,29,7,18,76,3.915,2.950,1.335,4.22,0.61
"<a href=""https://www.baseball-reference.com/players/b/biddlro01.shtml"">Rocky Biddle</a>",MON,28,234,4,8,11,98,69,60,15,31,51,6.923,5.055,1.654,1.65,-2.47
"<a href=""https://www.baseball-reference.com/players/b/bierbni01.shtml"">N. Bierbrodt</a>",TEX,26,51,1,1,0,14,11,11,4,19,10,5.824,8.712,1.941,0.53,0.04
"<a href=""https://www.baseball-reference.com/players/b/blacktr01.shtml"">T. Blackley</a>",SEA,21,78,1,3,0,35,31,29,9,22,16,10.038,8.633,2.192,0.73,0.00
"<a href=""https://www.baseball-reference.com/players/b/blantjo01.shtml"">Joe Blanton</a>",OAK,23,24,0,0,0,6,5,5,1,2,6,5.625,4.025,1.000,3.00,0.00
"<a href=""https://www.baseball-reference.com/players/b/boehrbr01.shtml"">B. Boehringer</a>",PIT,35,76,1,1,0,27,14,13,2,17,20,4.618,4.415,1.737,1.18,0.13
"<a href=""https://www.baseball-reference.com/players/b/bondeje01.shtml"">J. Bonderman</a>",DET,21,552,11,13,0,168,101,100,24,73,168,4.891,3.948,1.310,2.30,0.00
"<a href=""https://www.baseball-reference.com/players/b/bongju01.shtml"">Jung Bong</a>",CIN,23,46,1,1,0,17,13,8,3,10,11,4.696,5.947,1.761,1.10,-0.29
"<a href=""https://www.baseball-reference.com/players/b/borkoda01.shtml"">D. Borkowski</a>",BAL,27,168,3,4,0,65,37,32,6,15,45,5.143,3.457,1.429,3.00,-0.02
"<a href=""https://www.baseball-reference.com/players/b/borlato02.shtml"">Toby Borland</a>",FLO,35,55,1,1,0,18,11,11,3,12,18,5.400,5.097,1.636,1.50,-0.19
"<a href=""https://www.baseball-reference.com/players/b/borowjo01.shtml"">Joe Borowski</a>",CHN,33,64,2,4,9,27,19,19,3,15,17,8.016,5.209,1.969,1.13,-0.95
"<a href=""https://www.baseball-reference.com/players/b/bottari01.shtml"">R. Bottalico</a>",NYN,34,208,3,2,0,54,30,26,3,34,61,3.375,3.152,1.269,1.79,1.08
"<a href=""https://www.baseball-reference.com/players/b/boydja02.shtml"">Jason Boyd</a>",PIT,31,39,1,0,0,13,9,8,4,8,12,5.538,6.330,1.615,1.50,-0.09
"<a href=""https://www.baseball-reference.com/players/b/bradfch01.shtml"">C. Bradford</a>",OAK,29,177,5,7,1,51,32,29,5,24,34,4.424,4.007,1.271,1.42,0.37
"<a href=""https://www.baseball-reference.com/players/b/brazede01.shtml"">D. Brazelton</a>",TBA,24,362,6,8,0,121,71,64,12,53,64,4.773,4.348,1.442,1.21,0.62
"<a href=""https://www.baseball-reference.com/players/b/brazoyh01.shtml"">Y. Brazoban</a>",LAN,24,98,6,2,0,25,9,9,2,15,27,2.480,3.599,1.224,1.80,0.76
"<a href=""https://www.baseball-reference.com/players/b/brocado01.shtml"">Doug Brocail</a>",TEX,37,157,4,1,1,54,29,24,2,20,43,4.127,2.772,1.414,2.15,0.61
"<a href=""https://www.baseball-reference.com/players/b/brookfr01.shtml"">Frank Brooks</a>",PIT,25,52,0,1,0,13,10,9,5,9,18,4.673,6.529,1.269,2.00,0.02
"<a href=""https://www.baseball-reference.com/players/b/broweji01.shtml"">Jim Brower</a>",SFN,31,279,7,7,1,90,42,34,6,36,63,3.290,3.566,1.355,1.75,0.00
"<a href=""https://www.baseball-reference.com/players/b/brownja04.shtml"">Jamie Brown</a>",BOS,27,23,0,0,0,15,7,5,1,4,6,5.870,4.434,2.478,1.50,-0.08
