Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/adamsba01.shtml"">Babe Adams</a>",PIT,34,217,2,9,0,91,51,46,2,12,22,5.724,2.428,1.424,1.83,-1.78
"<a href=""https://www.baseball-reference.com/players/a/alexape01.shtml"">P. Alexander</a>",PHI,29,1167,33,12,3,323,90,67,6,50,167,1.550,1.965,.959,3.34,10.95
"<a href=""https://www.baseball-reference.com/players/a/allenfr01.shtml"">Frank Allen</a>",BSN,27,339,8,2,1,102,32,26,1,31,63,2.071,2.042,1.177,2.03,1.41
"<a href=""https://www.baseball-reference.com/players/a/amesre01.shtml"">Red Ames</a>",SLN,33,684,11,16,8,225,100,67,3,57,98,2.645,2.311,1.237,1.72,0.00
"<a href=""https://www.baseball-reference.com/players/a/anderfr01.shtml"">F. Anderson</a>",NY1,30,564,9,13,2,206,99,71,7,38,98,3.399,2.286,1.298,2.58,-2.41
"<a href=""https://www.baseball-reference.com/players/a/appleed01.shtml"">Ed Appleton</a>",BRO,24,141,1,2,1,49,25,16,1,18,14,3.064,3.040,1.426,0.78,-0.42
"<a href=""https://www.baseball-reference.com/players/a/ayersdo01.shtml"">Doc Ayers</a>",WS1,25,471,5,9,2,173,89,66,4,52,69,3.783,2.670,1.433,1.33,0.00
"<a href=""https://www.baseball-reference.com/players/b/bagbyji01.shtml"">Jim Bagby</a>",CLE,26,818,16,16,5,253,109,79,2,67,88,2.608,2.415,1.174,1.31,3.57
"<a href=""https://www.baseball-reference.com/players/b/barneje01.shtml"">Jesse Barnes</a>",BSN,23,489,6,15,1,154,63,43,3,37,55,2.374,2.464,1.172,1.49,0.00
"<a href=""https://www.baseball-reference.com/players/b/baumgge01.shtml"">G. Baumgardner</a>",SLA,24,24,1,0,0,12,8,7,0,5,4,7.875,3.096,2.125,0.80,-0.44
"<a href=""https://www.baseball-reference.com/players/b/baumgst01.shtml"">S. Baumgartner</a>",PHI,21,12,0,0,0,5,2,1,0,1,0,2.250,3.027,1.500,0.00,-0.01
"<a href=""https://www.baseball-reference.com/players/b/beebefr01.shtml"">Fred Beebe</a>",CLE,36,302,5,3,2,92,43,27,1,37,32,2.414,2.893,1.281,0.86,0.73
"<a href=""https://www.baseball-reference.com/players/b/bendech01.shtml"">Chief Bender</a>",PHI,32,368,7,7,3,137,71,51,3,34,43,3.742,2.504,1.394,1.26,-1.86
"<a href=""https://www.baseball-reference.com/players/b/bentlja01.shtml"">Jack Bentley</a>",WS1,21,4,0,0,0,0,0,0,0,1,1,.000,3.478,.750,1.00,0.00
"<a href=""https://www.baseball-reference.com/players/b/bentoru01.shtml"">Rube Benton</a>",NY1,26,716,16,8,2,210,84,76,5,58,115,2.866,2.228,1.123,1.98,1.62
"<a href=""https://www.baseball-reference.com/players/b/benzjo01.shtml"">Joe Benz</a>",CHA,30,426,9,5,0,108,40,32,0,32,57,2.028,2.118,.986,1.78,2.55
"<a href=""https://www.baseball-reference.com/players/b/bluejji01.shtml"">J. Bluejacket</a>",CIN,28,21,0,1,0,12,6,6,0,3,1,7.714,3.194,2.143,0.33,-0.29
"<a href=""https://www.baseball-reference.com/players/b/boehlge01.shtml"">G. Boehler</a>",DET,24,40,1,1,0,12,8,7,0,9,8,4.725,2.710,1.575,0.89,-0.18
"<a href=""https://www.baseball-reference.com/players/b/boehljo01.shtml"">Joe Boehling</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteboehljo01"" style=""display:none;""></input><label for=""footnoteboehljo01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivboehljo01"">WS1, CLE</div></span>",25,601,11,15,0,197,85,66,1,77,70,2.965,2.761,1.368,0.91,1.00
"<a href=""https://www.baseball-reference.com/players/b/bolanbe01.shtml"">B. Boland</a>",DET,24,391,10,3,3,111,69,57,1,73,59,3.936,3.128,1.412,0.81,-0.50
"<a href=""https://www.baseball-reference.com/players/b/bressru01.shtml"">R. Bressler</a>",PHA,21,45,0,2,0,16,11,11,0,14,8,6.600,3.669,2.000,0.57,-0.34
"<a href=""https://www.baseball-reference.com/players/b/brownmo01.shtml"">M. Brown</a>",CHN,39,145,2,3,0,52,27,21,0,9,21,3.910,1.791,1.262,2.33,-0.14
"<a href=""https://www.baseball-reference.com/players/b/bucklje01.shtml"">Jess Buckles</a>",NYA,26,12,0,0,0,3,2,1,0,1,2,2.250,2.085,1.000,2.00,-0.02
"<a href=""https://www.baseball-reference.com/players/b/bushjo01.shtml"">B. Bush</a>",PHA,23,860,15,24,0,222,109,82,3,130,157,2.574,2.698,1.228,1.21,0.00
"<a href=""https://www.baseball-reference.com/players/c/cadorle01.shtml"">Leon Cadore</a>",BRO,24,18,0,0,0,10,4,3,0,0,2,4.500,1.763,1.667,&infin;,-0.09
"<a href=""https://www.baseball-reference.com/players/c/caldwra02.shtml"">Ray Caldwell</a>",NYA,28,497,5,12,0,142,62,55,6,65,76,2.988,2.930,1.249,1.17,1.92
"<a href=""https://www.baseball-reference.com/players/c/cantwmi01.shtml"">M. Cantwell</a>",NYA,22,6,0,0,0,0,2,0,0,2,0,.000,8.014,1.000,0.00,-0.10
"<a href=""https://www.baseball-reference.com/players/c/carpepa01.shtml"">P. Carpenter</a>",PIT,21,23,0,0,0,8,3,1,0,4,5,1.174,2.543,1.565,1.25,0.10
"<a href=""https://www.baseball-reference.com/players/c/cartepa01.shtml"">Paul Carter</a>",CHN,22,108,2,2,0,26,16,11,1,17,14,2.750,3.094,1.194,0.82,0.22
"<a href=""https://www.baseball-reference.com/players/c/chalmge01.shtml"">G. Chalmers</a>",PHI,28,161,1,4,0,49,31,19,2,19,21,3.186,2.935,1.267,1.11,-0.88
"<a href=""https://www.baseball-reference.com/players/c/chenela01.shtml"">Larry Cheney</a>",BRO,30,759,18,12,0,178,91,54,5,105,166,1.921,2.386,1.119,1.58,2.29
"<a href=""https://www.baseball-reference.com/players/c/cicoted01.shtml"">E. Cicotte</a>",CHA,32,561,15,7,5,138,56,37,1,70,91,1.781,2.535,1.112,1.30,3.33
"<a href=""https://www.baseball-reference.com/players/c/coombja01.shtml"">Jack Coombs</a>",BRO,33,477,13,8,0,136,54,47,3,44,47,2.660,2.766,1.132,1.07,2.24
"<a href=""https://www.baseball-reference.com/players/c/coopewi01.shtml"">W. Cooper</a>",PIT,24,738,12,11,2,189,72,51,4,74,111,1.866,2.478,1.069,1.50,5.81
"<a href=""https://www.baseball-reference.com/players/c/coumbfr01.shtml"">Fritz Coumbe</a>",CLE,26,361,7,5,0,121,36,27,1,27,39,2.019,2.426,1.230,1.44,2.99
"<a href=""https://www.baseball-reference.com/players/c/covelha01.shtml"">H. Coveleski</a>",DET,30,973,21,11,2,278,105,71,6,63,108,1.970,2.372,1.051,1.71,6.89
"<a href=""https://www.baseball-reference.com/players/c/covelst01.shtml"">S. Coveleski</a>",CLE,26,696,15,13,3,247,100,88,6,58,76,3.414,2.724,1.315,1.31,2.09
"<a href=""https://www.baseball-reference.com/players/c/craftmo01.shtml"">Molly Craft</a>",WS1,20,33,0,1,0,12,5,4,0,6,9,3.273,2.315,1.636,1.50,-0.02
"<a href=""https://www.baseball-reference.com/players/c/cranddo01.shtml"">Doc Crandall</a>",SLA,28,4,0,0,0,7,9,4,0,1,0,27.000,2.315,6.000,0.00,-0.64
"<a href=""https://www.baseball-reference.com/players/c/croweca01.shtml"">Cap Crowell</a>",PHA,23,119,0,5,0,43,33,22,0,34,15,4.992,3.954,1.941,0.44,-1.09
"<a href=""https://www.baseball-reference.com/players/c/culloni01.shtml"">Nick Cullop</a>",NYA,28,501,13,6,1,151,60,38,4,32,77,2.048,2.226,1.096,2.41,2.48
"<a href=""https://www.baseball-reference.com/players/c/cunnige01.shtml"">G. Cunningham</a>",DET,21,451,7,10,2,146,71,46,0,74,68,2.754,2.837,1.463,0.92,0.47
"<a href=""https://www.baseball-reference.com/players/c/currimu01.shtml"">M. Currie</a>",SLN,22,43,0,0,0,7,4,3,1,9,8,1.884,4.098,1.116,0.89,0.34
"<a href=""https://www.baseball-reference.com/players/d/dalege01.shtml"">Gene Dale</a>",CIN,27,209,3,4,0,80,44,40,3,33,23,5.167,3.494,1.622,0.70,-1.48
"<a href=""https://www.baseball-reference.com/players/d/danfoda01.shtml"">D. Danforth</a>",CHA,26,281,6,5,2,87,43,34,1,37,49,3.267,2.501,1.324,1.32,0.02
"<a href=""https://www.baseball-reference.com/players/d/daussho01.shtml"">Hooks Dauss</a>",DET,26,716,19,12,4,220,102,85,2,90,95,3.205,2.566,1.299,1.06,2.19
"<a href=""https://www.baseball-reference.com/players/d/davenda01.shtml"">D. Davenport</a>",SLA,26,872,12,11,2,267,112,92,4,100,129,2.849,2.563,1.263,1.29,2.94
"<a href=""https://www.baseball-reference.com/players/d/dellwh01.shtml"">Wheezer Dell</a>",BRO,30,465,8,9,1,143,52,39,2,43,76,2.265,2.257,1.200,1.77,1.83
