playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
bondto01,1881,1,BSN,NL,0,3,3,3,2,0,0,76,40,12,3,2,2,,4.26,,3,,0,113,1,17,,,
bradlge01,1881,2,CL2,NL,2,4,6,6,5,0,0,153,70,22,2,3,6,,3.88,,2,,0,222,0,36,,,
corcola01,1881,1,CHN,NL,31,14,45,44,43,4,0,1190,380,102,10,78,150,,2.31,,27,,0,1650,1,205,,,
coreyfr01,1881,1,WOR,NL,6,15,23,21,20,1,0,566,231,78,3,31,33,,3.72,,8,,0,803,2,127,,,
derbyge01,1881,1,DTN,NL,29,26,56,55,55,9,0,1484,505,121,3,86,212,,2.20,,14,,0,2101,1,252,,,
foleycu01,1881,1,BFN,NL,3,4,10,6,2,0,0,123,70,24,1,5,2,,5.27,,1,,0,213,3,48,,,
foxjo01,1881,1,BSN,NL,6,8,17,16,12,0,0,373,144,46,0,39,30,,3.33,,21,,0,556,1,90,,,
galvipu01,1881,1,BFN,NL,28,24,56,53,48,5,0,1422,546,125,4,46,136,,2.37,,31,,0,2037,3,250,,,
goldsfr01,1881,1,CHN,NL,24,13,39,39,37,5,0,990,328,95,4,44,76,,2.59,,10,,1,1373,0,166,,,
keefeti01,1881,1,TRN,NL,18,27,45,45,45,4,0,1209,434,145,4,83,103,,3.24,,13,,0,1693,0,241,,,
learyja01,1881,1,DTN,NL,0,2,2,2,1,0,0,39,13,6,0,2,2,,4.15,,0,,0,53,0,6,,,
lynchja01,1881,1,BFN,NL,10,9,20,19,17,0,0,497,203,66,2,29,32,,3.59,,10,,1,713,1,112,,,
mathebo01,1881,1,PRO,NL,4,8,14,14,10,1,0,307,121,36,2,21,28,,3.17,,9,,0,473,0,81,,,
mathebo01,1881,2,BSN,NL,1,0,5,1,1,0,2,69,22,6,0,11,5,,2.35,,2,,0,103,4,11,,,
mccorha01,1881,1,WOR,NL,1,8,9,9,9,1,0,235,89,31,1,15,7,,3.56,,3,,0,339,0,50,,,
mccorji01,1881,1,CL2,NL,26,30,59,58,57,2,0,1578,484,143,4,84,178,,2.45,,24,,0,2145,1,267,,,
morrijo01,1881,1,BSN,NL,0,1,3,0,0,0,1,17,9,4,0,1,0,,6.35,,0,,0,28,2,8,,,
mountfr01,1881,1,DTN,NL,3,4,7,7,7,0,0,180,80,35,2,18,13,,5.25,,10,,0,292,0,63,,,
mullato01,1881,1,DTN,NL,1,4,5,5,5,0,0,132,55,24,2,17,7,,4.91,,6,,0,199,0,42,,,
nolanth01,1881,1,CL2,NL,8,14,22,21,20,0,0,540,183,61,3,38,54,,3.05,,10,,0,768,1,111,,,
purcebl01,1881,2,BFN,NL,4,1,9,5,5,0,0,185,62,19,2,9,15,,2.77,,2,,0,259,4,37,,,
radboch01,1881,1,PRO,NL,25,11,41,36,34,3,0,976,309,88,1,64,117,,2.43,,17,,0,1380,4,162,,,
richmle01,1881,1,WOR,NL,25,26,53,52,50,3,0,1387,547,174,7,68,156,,3.39,,24,,1,1992,1,302,,,
taylobi01,1881,1,WOR,NL,0,1,1,1,1,0,0,24,15,7,0,6,0,,7.88,,2,,0,47,0,13,,,
taylobi01,1881,3,CL2,NL,0,0,1,0,0,0,0,9,0,0,0,1,2,,0.00,,0,,0,10,1,0,,,
wardjo01,1881,1,PRO,NL,18,18,39,35,32,3,0,990,326,78,2,53,119,,2.13,,32,,0,1398,5,183,,,
welchmi01,1881,1,TRN,NL,21,18,40,40,40,4,0,1104,371,109,7,78,104,,2.67,,11,,0,1534,0,186,,,
whitewi01,1881,1,DTN,NL,0,2,2,2,2,0,0,54,24,10,0,2,5,,5.00,,1,,0,83,0,18,,,
whitnji01,1881,1,BSN,NL,31,33,66,63,57,6,0,1657,548,152,6,90,162,,2.48,,46,,1,2301,3,284,,,
wiedmst01,1881,1,DTN,NL,8,5,13,13,13,1,0,345,108,23,1,12,26,,1.80,,3,,0,466,0,48,,,
willine01,1881,1,CHN,NL,1,1,3,1,1,0,0,54,14,4,0,0,2,,2.00,,1,,0,67,2,9,,,
