playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
allenmy01,1883,1,NY1,NL,0,1,1,1,1,0,0,24,8,1,0,3,0,,1.13,,1,,0,32,0,5,,,
ansonca01,1883,1,CHN,NL,0,0,2,0,0,0,1,9,1,0,0,1,0,,0.00,,0,,0,12,2,1,,,
bakelje01,1883,1,PH4,AA,5,3,8,8,7,0,0,184,65,22,0,12,14,,3.23,,4,,0,267,0,47,,,
bakerno01,1883,1,PT1,AA,0,2,3,3,2,0,0,57,24,7,0,11,5,,3.32,,1,,0,94,0,16,,,
barrbo01,1883,1,PT1,AA,6,18,26,23,19,0,1,610,263,99,5,28,81,,4.38,,17,,0,922,3,166,,,
battijo01,1883,1,PT1,AA,0,0,2,0,0,0,0,12,9,1,0,1,0,,2.25,,0,,0,22,1,4,,,
bradlge01,1883,2,PH4,AA,16,7,26,23,22,0,0,643,215,75,7,22,56,,3.15,,15,,0,902,3,129,,,
breital01,1883,1,PHI,NL,0,1,1,1,0,0,0,15,8,5,0,2,0,,9.00,,1,,0,27,0,9,,,
broutda01,1883,1,BFN,NL,0,0,1,0,0,0,0,6,9,7,0,3,2,,31.50,,0,,0,17,0,7,,,
brownto01,1883,1,CL5,AA,0,1,3,1,1,0,0,42,14,9,0,10,6,,5.79,,1,,0,67,2,17,,,
buffich01,1883,1,BSN,NL,25,14,43,41,34,4,1,999,346,112,4,51,188,,3.03,,17,,0,1414,3,187,,,
burkeja01,1883,1,BFN,NL,0,0,1,1,0,0,0,24,9,5,0,3,1,,5.63,,0,,0,40,0,8,,,
burnsdi01,1883,1,DTN,NL,2,12,17,13,13,0,0,383,172,64,8,33,30,,4.51,,6,,0,604,4,122,,,
cadych01,1883,1,CL2,NL,0,1,1,1,1,0,0,24,13,7,0,4,5,,7.88,,3,,0,40,0,13,,,
colemjo01,1883,1,PHI,NL,12,48,65,61,59,3,0,1615,772,291,17,48,159,,4.87,,9,,0,2546,4,510,,,
corcola01,1883,1,CHN,NL,34,20,56,53,51,3,0,1421,483,131,7,82,216,,2.49,,19,,0,2041,3,281,,,
coreyfr01,1883,1,PH4,AA,10,7,18,16,15,0,0,445,182,56,3,24,42,,3.40,,11,,0,666,2,106,,,
cushmed01,1883,1,BFN,NL,3,3,7,7,5,0,0,151,61,22,0,17,34,,3.93,,4,,0,231,1,41,,,
dailyhu01,1883,1,CL2,NL,23,19,45,43,40,4,1,1136,360,102,5,99,171,,2.42,,23,,0,1578,2,193,,,
deaglre01,1883,1,CN2,AA,10,8,18,18,17,1,0,444,136,38,0,34,48,,2.31,,9,,0,629,0,78,,,
derbyge01,1883,1,BFN,NL,2,10,14,13,12,0,1,323,173,70,3,15,34,,5.85,,5,,0,533,1,120,,,
devinji01,1883,1,BL2,AA,1,1,2,2,1,0,0,33,15,9,0,1,3,,7.36,,3,,0,50,0,15,,,
dolanto01,1883,1,SL4,AA,0,0,1,0,0,0,0,12,4,2,0,0,0,,4.50,,0,,0,16,1,3,,,
dorgami01,1883,1,NY1,NL,0,1,1,1,1,0,0,21,8,3,0,6,3,,3.86,,1,,0,34,0,7,,,
driscde01,1883,1,PT1,AA,18,21,41,40,35,1,0,1009,427,149,3,39,79,,3.99,,9,,0,1510,1,239,,,
dundoed01,1883,1,CL5,AA,3,16,20,19,16,0,0,500,213,83,7,38,31,,4.48,,11,,0,768,1,153,,,
emslibo01,1883,1,BL2,AA,9,13,24,23,21,1,0,604,188,71,3,41,62,,3.17,,13,,0,854,1,149,,,
evansja01,1883,1,CL2,NL,0,0,1,0,0,0,0,9,0,0,0,0,1,,0.00,,0,,0,9,1,0,,,
fergubo01,1883,1,PHI,NL,0,0,1,0,0,0,0,3,2,1,0,0,0,,9.00,,0,,0,7,1,2,,,
foleycu01,1883,1,BFN,NL,1,0,1,0,0,0,0,3,0,0,0,4,0,,0.00,,0,,0,6,1,0,,,
foxjo01,1883,1,BL2,AA,6,13,20,19,18,0,0,496,209,74,2,32,49,,4.03,,12,,0,754,1,140,,,
friespe01,1883,1,CL5,AA,0,3,3,3,3,0,0,75,34,18,1,14,7,,6.48,,8,,0,126,0,31,,,
gallabi01,1883,1,BL2,AA,0,5,7,5,4,0,0,155,79,31,0,6,19,,5.40,,3,,0,245,2,57,,,
galvipu01,1883,1,BFN,NL,46,29,76,75,72,5,0,1969,676,198,9,50,279,,2.72,,28,,0,2741,1,367,,,
gardngi01,1883,1,BL2,AA,1,0,2,0,0,0,0,21,9,4,1,1,2,,5.14,,0,,0,32,1,7,,,
goldsfr01,1883,1,CHN,NL,25,19,46,45,40,2,0,1150,456,134,14,39,82,,3.15,,11,,1,1683,1,256,,,
haganar01,1883,1,PHI,NL,1,14,17,16,15,0,0,411,207,83,2,33,39,,5.45,,22,,0,639,1,151,,,
haganar01,1883,2,BFN,NL,0,2,2,2,1,0,0,45,17,6,0,6,7,,3.60,,3,,0,69,0,12,,,
heckegu01,1883,1,LS2,AA,28,23,53,52,51,3,0,1407,526,174,4,75,164,,3.34,,20,,0,2056,1,298,,,
hendeha01,1883,1,PHI,NL,0,1,1,1,1,0,0,27,26,19,0,2,2,,19.00,,4,,0,56,0,24,,,
hendeha01,1883,2,BL2,AA,10,32,45,42,38,0,0,1075,383,160,4,87,145,,4.02,,28,,0,1582,3,315,,,
hilsech01,1883,1,PHI,NL,0,3,3,3,3,0,0,78,36,16,0,4,8,,5.54,,1,,0,122,0,26,,,
hodnech01,1883,1,SL4,AA,2,2,4,4,3,0,0,96,28,5,1,7,6,,1.41,,2,,0,134,0,10,,,
huntele01,1883,1,CL2,NL,0,0,1,0,0,0,0,19,10,1,0,2,4,,1.42,,0,,0,29,1,7,,,
jonesja02,1883,1,DTN,NL,6,5,12,12,9,1,0,278,103,36,0,19,33,,3.50,,4,,0,416,0,63,,,
jonesja02,1883,2,PH4,AA,5,2,7,7,7,0,0,195,58,19,1,6,28,,2.63,,3,,0,266,0,38,,,
keefeti01,1883,1,NY4,AA,41,27,68,68,68,5,0,1857,488,166,6,108,359,,2.41,,27,,0,2517,0,244,,,
kellyki01,1883,1,CHN,NL,0,0,1,0,0,0,0,3,1,0,0,0,0,,0.00,,0,,0,3,1,0,,,
lilliji01,1883,1,BFN,NL,0,1,3,0,0,0,0,36,16,4,0,2,4,,3.00,,2,,0,55,3,12,,,
lynchja01,1883,1,NY4,AA,13,15,29,29,29,1,0,765,263,116,6,25,119,,4.09,,11,,0,1079,0,161,,,
manseto01,1883,1,DTN,NL,0,0,1,0,0,0,0,20,21,12,2,5,3,,16.20,,1,,0,43,1,18,,,
mathebo01,1883,1,PH4,AA,30,13,44,44,41,1,0,1143,396,104,11,31,203,,2.46,,11,,0,1609,0,224,,,
mccorha01,1883,1,CN2,AA,8,6,15,14,14,1,0,386,139,41,1,27,21,,2.87,,6,,0,565,1,70,,,
mccorji01,1883,1,CL2,NL,28,12,43,41,36,1,1,1026,316,70,1,65,145,,1.84,,11,,0,1421,2,151,,,
mcginju01,1883,1,SL4,AA,28,16,45,45,41,6,0,1148,325,99,3,69,128,,2.33,,24,,0,1581,0,174,,,
mcintfr01,1883,1,DTN,NL,1,0,1,1,1,0,0,33,11,1,0,1,0,,0.82,,0,,0,48,0,10,,,
mcintfr01,1883,2,CL5,AA,1,1,2,2,2,0,0,57,20,11,0,7,6,,5.21,,2,,0,86,0,19,,,
mclaufr01,1883,1,PT1,AA,0,0,2,0,0,0,0,27,14,13,0,3,1,,13.00,,1,,0,45,2,21,,,
morrijo01,1883,1,BSN,NL,1,0,2,1,1,0,0,39,15,4,0,4,5,,2.77,,0,,0,60,1,11,,,
mountbi01,1883,1,CN2,AA,0,1,1,1,1,0,0,24,9,2,0,2,3,,2.25,,0,,0,36,0,4,,,
mountfr01,1883,1,CL5,AA,26,33,59,59,57,4,0,1509,546,201,8,123,159,,3.60,,21,,0,2230,0,345,,,
mullato01,1883,1,SL4,AA,35,15,53,49,49,3,1,1382,372,112,3,74,191,,2.19,,24,,0,1875,4,222,,,
neaglja01,1883,1,PHI,NL,1,7,8,7,6,0,0,184,88,47,1,21,13,,6.90,,9,,0,300,1,77,,,
neaglja01,1883,2,BL2,AA,1,4,6,5,4,0,0,138,48,25,1,20,9,,4.89,,5,,0,211,1,48,,,
neaglja01,1883,3,PT1,AA,3,12,16,16,12,0,0,342,156,74,9,25,41,,5.84,,22,,0,535,0,123,,,
nolanth01,1883,1,PT1,AA,0,7,7,7,6,0,0,165,81,26,0,10,23,,4.25,,6,,0,262,0,44,,,
oneilti01,1883,1,NY1,NL,5,12,19,19,15,0,0,444,182,67,5,64,55,,4.07,,33,,0,694,0,129,,,
orourji01,1883,1,BFN,NL,0,0,2,0,0,0,1,21,10,5,0,1,1,,6.43,,1,,0,29,1,9,,,
purcebl01,1883,1,PHI,NL,2,6,11,9,7,0,0,240,110,39,0,12,30,,4.39,,7,,0,371,0,71,,,
radboch01,1883,1,PRO,NL,48,25,76,68,66,4,1,1897,563,144,7,56,315,,2.05,,36,,0,2540,8,275,,,
radboge01,1883,1,DTN,NL,1,2,3,3,2,0,0,66,38,16,1,7,2,,6.55,,5,,0,117,0,28,,,
reccijo01,1883,1,LS2,AA,0,0,1,0,0,0,0,12,10,1,0,0,0,,2.25,,0,,0,22,1,3,,,
richmle01,1883,1,PRO,NL,3,7,12,12,8,0,0,276,122,34,2,27,13,,3.33,,6,,0,416,0,67,,,
roweda01,1883,1,BL2,AA,0,0,1,0,0,0,0,12,12,9,1,2,1,,20.25,,0,,0,26,1,11,,,
sawyewi01,1883,1,CL2,NL,4,10,17,15,15,0,0,423,119,37,1,47,76,,2.36,,13,,0,596,2,79,,,
shawdu01,1883,1,DTN,NL,10,15,26,25,23,1,0,681,238,63,3,44,73,,2.50,,6,,0,974,1,135,,,
smithed01,1883,2,PHI,NL,0,1,1,1,0,0,0,21,18,12,0,3,2,,15.43,,1,,0,47,1,17,,,
smithpo01,1883,1,CL5,AA,0,0,3,0,0,0,0,17,10,4,0,0,0,,6.35,,0,,0,28,3,7,,,
sommejo01,1883,1,CN2,AA,0,0,1,0,0,0,0,15,9,3,0,1,2,,5.40,,1,,0,26,1,6,,,
stoveha01,1883,1,PH4,AA,0,0,1,0,0,0,0,9,5,3,0,0,4,,9.00,,2,,0,14,1,3,,,
sweench01,1883,1,PRO,NL,7,7,20,18,14,0,0,440,142,51,3,28,48,,3.13,,17,,0,626,2,94,,,
taylobi01,1883,1,PT1,AA,4,7,19,9,8,0,0,381,166,76,4,34,41,,5.39,,17,,0,594,9,115,,,
valenjo01,1883,1,CL5,AA,2,10,13,12,11,0,0,306,130,40,0,17,13,,3.53,,1,,0,463,1,80,,,
wardjo01,1883,1,NY1,NL,16,13,34,25,24,1,0,831,278,83,3,31,121,,2.70,,19,,0,1159,9,165,,,
weavesa01,1883,1,LS2,AA,24,22,46,46,45,4,0,1202,451,165,3,35,105,,3.71,,5,,0,1729,0,261,,,
welchmi01,1883,1,NY1,NL,25,23,54,52,46,4,0,1278,431,129,11,66,144,,2.73,,27,,0,1829,2,271,,,
wheelha01,1883,1,CL5,AA,0,1,1,1,0,0,0,15,13,4,0,2,0,,7.20,,0,,0,31,0,7,,,
