Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/ablesha01.shtml"">Harry Ables</a>",NYA,27,33,0,1,0,16,15,12,0,7,6,9.818,3.469,2.091,0.86,-0.61
"<a href=""https://www.baseball-reference.com/players/a/adamsba01.shtml"">Babe Adams</a>",PIT,29,880,22,12,0,253,97,76,5,42,133,2.332,2.419,1.006,3.17,6.28
"<a href=""https://www.baseball-reference.com/players/a/aitchra01.shtml"">R. Aitchison</a>",BRO,23,4,0,1,0,1,2,0,0,1,0,.000,5.094,1.500,0.00,-0.11
"<a href=""https://www.baseball-reference.com/players/a/alexape01.shtml"">P. Alexander</a>",PHI,24,1101,28,13,3,285,133,105,5,129,227,2.575,2.696,1.128,1.76,8.12
"<a href=""https://www.baseball-reference.com/players/a/allisma01.shtml"">Mack Allison</a>",SLA,24,79,2,1,0,24,9,6,0,5,2,2.051,2.971,1.101,0.40,0.91
"<a href=""https://www.baseball-reference.com/players/a/amesre01.shtml"">Red Ames</a>",NY1,28,615,11,10,2,170,80,61,0,54,118,2.678,2.350,1.093,2.19,0.00
"<a href=""https://www.baseball-reference.com/players/a/armstho01.shtml"">H. Armstrong</a>",PHA,21,9,0,1,0,3,2,0,0,1,0,.000,3.825,1.333,0.00,-0.04
"<a href=""https://www.baseball-reference.com/players/b/bailebi01.shtml"">Bill Bailey</a>",SLA,23,95,0,3,0,42,26,16,1,16,8,4.547,3.974,1.832,0.50,-0.46
"<a href=""https://www.baseball-reference.com/players/b/bakerje01.shtml"">Jesse Baker</a>",CHA,23,282,2,7,1,101,52,41,3,30,51,3.926,2.928,1.394,1.70,0.08
"<a href=""https://www.baseball-reference.com/players/b/bargecy01.shtml"">Cy Barger</a>",BRO,26,652,11,15,0,224,112,85,4,71,60,3.520,3.356,1.357,0.85,1.49
"<a href=""https://www.baseball-reference.com/players/b/baskeji01.shtml"">Jim Baskette</a>",CLE,23,64,1,2,0,21,8,8,0,9,8,3.375,3.159,1.406,0.89,0.72
"<a href=""https://www.baseball-reference.com/players/b/beckech01.shtml"">C. Becker</a>",WS1,20,214,3,5,0,80,44,32,2,23,31,4.037,2.921,1.444,1.35,-0.23
"<a href=""https://www.baseball-reference.com/players/b/beebefr01.shtml"">Fred Beebe</a>",PHI,31,145,3,3,0,52,26,24,2,24,20,4.469,3.830,1.572,0.83,0.14
"<a href=""https://www.baseball-reference.com/players/b/bellge01.shtml"">George Bell</a>",BRO,36,303,5,6,0,123,59,48,2,28,28,4.277,3.238,1.495,1.00,-0.04
"<a href=""https://www.baseball-reference.com/players/b/bendech01.shtml"">Chief Bender</a>",PHA,27,649,17,5,3,198,66,52,2,58,114,2.163,2.578,1.183,1.97,5.92
"<a href=""https://www.baseball-reference.com/players/b/bentoru01.shtml"">Rube Benton</a>",CIN,21,134,3,3,0,44,18,10,0,23,28,2.015,2.859,1.500,1.22,0.66
"<a href=""https://www.baseball-reference.com/players/b/benzjo01.shtml"">Joe Benz</a>",CHA,25,167,3,2,0,52,23,14,0,13,28,2.263,2.354,1.168,2.15,0.70
"<a href=""https://www.baseball-reference.com/players/b/blandfr01.shtml"">F. Blanding</a>",CLE,23,528,7,11,2,190,95,72,5,60,80,3.682,3.144,1.420,1.33,1.36
"<a href=""https://www.baseball-reference.com/players/b/boydra01.shtml"">Ray Boyd</a>",CIN,24,132,2,2,1,34,22,13,0,19,20,2.659,3.015,1.205,1.05,0.15
"<a href=""https://www.baseball-reference.com/players/b/brennad01.shtml"">Ad Brennan</a>",PHI,23,68,2,1,0,22,12,9,0,12,12,3.574,3.162,1.500,1.00,0.00
"<a href=""https://www.baseball-reference.com/players/b/brockle01.shtml"">Lew Brockett</a>",NYA,30,226,2,4,0,73,45,39,3,39,25,4.659,3.987,1.487,0.64,0.39
"<a href=""https://www.baseball-reference.com/players/b/brownbo01.shtml"">B. Brown</a>",PHA,22,36,0,1,0,12,7,6,0,2,6,4.500,2.270,1.167,3.00,0.00
"<a href=""https://www.baseball-reference.com/players/b/brownbu01.shtml"">Buster Brown</a>",BSN,29,723,8,18,2,258,161,115,11,116,76,4.295,4.068,1.552,0.66,0.67
"<a href=""https://www.baseball-reference.com/players/b/browncu01.shtml"">Curly Brown</a>",SLA,22,69,1,2,0,22,9,7,0,5,8,2.739,2.598,1.174,1.60,0.54
"<a href=""https://www.baseball-reference.com/players/b/brownel01.shtml"">Elmer Brown</a>",SLA,27,50,1,1,0,16,14,12,0,14,5,6.480,4.607,1.800,0.36,-0.60
"<a href=""https://www.baseball-reference.com/players/b/brownmo01.shtml"">M. Brown</a>",CHN,34,810,21,11,13,267,110,84,5,55,129,2.800,2.603,1.193,2.35,0.00
"<a href=""https://www.baseball-reference.com/players/b/burkebi02.shtml"">Billy Burke</a>",BSN,21,10,0,1,0,6,7,7,0,5,1,18.900,6.294,3.300,0.20,-0.40
"<a href=""https://www.baseball-reference.com/players/b/burksa01.shtml"">Sandy Burk</a>",BRO,24,174,1,3,0,54,36,33,1,47,15,5.121,4.887,1.741,0.32,-0.26
"<a href=""https://www.baseball-reference.com/players/b/burnsbi01.shtml"">Bill Burns</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteburnsbi01"" style=""display:none;""></input><label for=""footnoteburnsbi01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivburnsbi01"">CIN, PHI</div></span>",31,416,7,10,2,149,70,52,6,29,52,3.375,3.014,1.284,1.79,1.10
"<a href=""https://www.baseball-reference.com/players/b/busheja01.shtml"">J. Bushelman</a>",BOS,24,36,0,1,0,8,9,4,0,10,5,3.000,4.187,1.500,0.50,-0.25
"<a href=""https://www.baseball-reference.com/players/c/caldwra02.shtml"">Ray Caldwell</a>",NYA,23,765,14,14,1,240,115,95,7,79,145,3.353,2.764,1.251,1.84,5.17
"<a href=""https://www.baseball-reference.com/players/c/camniha01.shtml"">H. Camnitz</a>",SLN,26,6,1,0,0,0,0,0,0,1,2,.000,2.179,.500,2.00,0.12
"<a href=""https://www.baseball-reference.com/players/c/camniho01.shtml"">H. Camnitz</a>",PIT,29,803,20,15,1,245,112,93,8,84,139,3.127,3.018,1.229,1.65,0.00
"<a href=""https://www.baseball-reference.com/players/c/cashica01.shtml"">Carl Cashion</a>",WS1,22,214,1,5,0,67,45,33,4,47,26,4.164,4.280,1.598,0.55,0.01
"<a href=""https://www.baseball-reference.com/players/c/cavetpu01.shtml"">Pug Cavet</a>",DET,21,12,0,0,0,6,5,2,0,1,1,4.500,2.969,1.750,1.00,-0.20
"<a href=""https://www.baseball-reference.com/players/c/chalmge01.shtml"">G. Chalmers</a>",PHI,23,626,13,10,4,196,107,72,5,101,101,3.105,3.524,1.423,1.00,1.41
"<a href=""https://www.baseball-reference.com/players/c/chenela01.shtml"">Larry Cheney</a>",CHN,25,30,1,0,0,8,0,0,0,3,11,.000,1.449,1.100,3.67,0.00
"<a href=""https://www.baseball-reference.com/players/c/cicoted01.shtml"">E. Cicotte</a>",BOS,27,660,11,15,0,236,118,69,2,73,106,2.823,2.862,1.405,1.45,1.30
"<a href=""https://www.baseball-reference.com/players/c/coaklan01.shtml"">Andy Coakley</a>",NYA,28,35,0,1,0,20,13,7,0,2,4,5.400,2.625,1.886,2.00,-0.39
"<a href=""https://www.baseball-reference.com/players/c/coleki01.shtml"">King Cole</a>",CHN,25,664,18,7,0,188,87,77,3,99,101,3.131,3.273,1.297,1.02,2.83
"<a href=""https://www.baseball-reference.com/players/c/collaal01.shtml"">A. Collamore</a>",PHA,24,6,0,1,0,6,9,8,0,3,1,36.000,3.145,4.500,0.33,-0.56
"<a href=""https://www.baseball-reference.com/players/c/collira01.shtml"">Ray Collins</a>",BOS,24,584,11,12,1,184,81,52,1,44,86,2.404,2.565,1.171,1.95,3.86
"<a href=""https://www.baseball-reference.com/players/c/comptja01.shtml"">Jack Compton</a>",CIN,29,76,0,1,1,19,11,11,0,15,6,3.908,3.983,1.342,0.40,0.24
"<a href=""https://www.baseball-reference.com/players/c/coombja01.shtml"">Jack Coombs</a>",PHA,28,1010,28,12,2,360,166,132,8,119,185,3.529,2.893,1.423,1.55,2.21
"<a href=""https://www.baseball-reference.com/players/c/cottren01.shtml"">E. Cottrell</a>",PIT,22,3,0,0,0,4,4,1,0,1,0,9.000,4.706,5.000,0.00,-0.26
"<a href=""https://www.baseball-reference.com/players/c/covinte01.shtml"">T. Covington</a>",DET,24,251,7,1,0,94,43,38,2,33,29,4.088,3.211,1.518,0.88,1.16
"<a href=""https://www.baseball-reference.com/players/c/cranddo01.shtml"">Doc Crandall</a>",NY1,23,596,15,5,5,199,82,58,10,51,94,2.628,3.143,1.258,1.84,3.21
"<a href=""https://www.baseball-reference.com/players/c/crissdo01.shtml"">Dode Criss</a>",SLA,26,55,0,2,0,24,21,17,0,10,9,8.345,3.080,1.855,0.90,-0.72
"<a href=""https://www.baseball-reference.com/players/c/curryge01.shtml"">George Curry</a>",SLA,22,47,0,3,0,19,15,13,0,24,2,7.468,7.427,2.745,0.08,-0.39
"<a href=""https://www.baseball-reference.com/players/c/curticl01.shtml"">Cliff Curtis</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotecurticl01"" style=""display:none;""></input><label for=""footnotecurticl01"" class=""footnoteLabel"">3</label><div class=""footnoteDiv"" id=""footnoteDivcurticl01"">BSN, CHN, PHI</div></span>",29,387,4,11,1,131,73,54,4,54,40,3.767,3.654,1.434,0.74,0.00
"<a href=""https://www.baseball-reference.com/players/d/dalege01.shtml"">Gene Dale</a>",SLN,22,44,0,2,0,13,12,11,0,16,13,6.750,3.880,1.977,0.81,-0.42
"<a href=""https://www.baseball-reference.com/players/d/danfoda01.shtml"">D. Danforth</a>",PHA,21,101,4,1,1,29,18,14,1,17,21,3.743,3.168,1.366,1.24,0.12
"<a href=""https://www.baseball-reference.com/players/d/demotbe01.shtml"">Ben DeMott</a>",CLE,22,11,0,1,0,10,5,5,0,2,2,12.273,3.209,3.273,1.00,-0.18
"<a href=""https://www.baseball-reference.com/players/d/dented01.shtml"">Eddie Dent</a>",BRO,23,95,2,1,0,30,15,13,0,10,3,3.695,3.360,1.263,0.30,0.28
"<a href=""https://www.baseball-reference.com/players/d/donneed01.shtml"">Ed Donnelly</a>",BSN,31,110,3,2,0,33,15,10,0,9,16,2.455,2.473,1.145,1.78,0.79
"<a href=""https://www.baseball-reference.com/players/d/donovbi01.shtml"">Bill Donovan</a>",DET,34,505,10,9,0,160,83,62,4,64,81,3.315,3.185,1.331,1.27,2.55
"<a href=""https://www.baseball-reference.com/players/d/drucklo01.shtml"">Louis Drucke</a>",NY1,22,227,4,4,0,83,39,34,1,41,42,4.044,3.122,1.639,1.02,0.43
"<a href=""https://www.baseball-reference.com/players/e/ewingbo01.shtml"">Bob Ewing</a>",PHI,38,72,0,1,0,29,25,21,2,14,12,7.875,4.554,1.792,0.86,-0.84
"<a href=""https://www.baseball-reference.com/players/f/falkecy01.shtml"">C. Falkenberg</a>",CLE,31,320,8,5,1,117,56,39,0,24,46,3.291,2.506,1.322,1.92,0.00
"<a href=""https://www.baseball-reference.com/players/f/faustch01.shtml"">C. Faust</a>",NY1,30,6,0,0,0,2,1,1,0,0,0,4.500,2.768,1.000,&infin;,0.00
"<a href=""https://www.baseball-reference.com/players/f/ferguge01.shtml"">C. Ferguson</a>",BSN,27,72,1,3,0,40,29,26,3,12,4,9.750,5.336,2.167,0.33,-0.93
"<a href=""https://www.baseball-reference.com/players/f/ferryja01.shtml"">Jack Ferry</a>",PIT,24,257,6,4,3,83,35,30,3,27,32,3.152,3.364,1.284,1.19,1.08
"<a href=""https://www.baseball-reference.com/players/f/fishera01.shtml"">Ray Fisher</a>",NYA,23,515,10,11,0,178,85,62,3,55,99,3.250,2.717,1.357,1.80,3.65
"<a href=""https://www.baseball-reference.com/players/f/flahepa02.shtml"">P. Flaherty</a>",BSN,35,42,0,2,0,21,15,11,0,8,0,7.071,3.737,2.071,0.00,-0.39
"<a href=""https://www.baseball-reference.com/players/f/fordru01.shtml"">Russ Ford</a>",NYA,28,844,22,11,0,251,119,71,3,76,158,2.271,2.560,1.162,2.08,7.51
"<a href=""https://www.baseball-reference.com/players/f/foxenbi01.shtml"">Bill Foxen</a>",CHN,32,39,1,1,0,12,6,3,0,12,6,2.077,4.677,1.846,0.50,0.06
"<a href=""https://www.baseball-reference.com/players/f/frocksa01.shtml"">Sam Frock</a>",BSN,28,48,0,1,0,29,18,10,0,5,8,5.625,2.548,2.125,1.60,-0.56
"<a href=""https://www.baseball-reference.com/players/f/frommar01.shtml"">Art Fromme</a>",CIN,27,624,10,11,0,190,111,80,8,79,107,3.462,3.156,1.293,1.35,0.68
"<a href=""https://www.baseball-reference.com/players/g/gardnha01.shtml"">H. Gardner</a>",PIT,24,126,1,1,2,39,25,21,2,20,24,4.500,3.520,1.405,1.20,-0.18
"<a href=""https://www.baseball-reference.com/players/g/gaspaha01.shtml"">Harry Gaspar</a>",CIN,28,761,11,17,4,272,112,93,9,69,76,3.300,3.285,1.344,1.10,3.37
"<a href=""https://www.baseball-reference.com/players/g/georgle01.shtml"">Lefty George</a>",SLA,24,349,4,9,0,136,81,54,3,51,23,4.178,3.631,1.607,0.45,-0.47
"<a href=""https://www.baseball-reference.com/players/g/geyerru01.shtml"">Rube Geyer</a>",SLN,27,446,9,6,0,141,80,54,7,56,46,3.269,3.817,1.325,0.82,-0.17
"<a href=""https://www.baseball-reference.com/players/g/goldero01.shtml"">Roy Golden</a>",SLN,22,446,4,9,0,127,90,83,6,129,81,5.025,4.810,1.722,0.63,-0.87
"<a href=""https://www.baseball-reference.com/players/g/graydo01.shtml"">Dolly Gray</a>",WS1,32,363,2,13,0,160,90,68,4,40,42,5.058,3.390,1.653,1.05,-1.24
"<a href=""https://www.baseball-reference.com/players/g/greggve01.shtml"">Vean Gregg</a>",CLE,26,734,23,7,0,172,67,49,2,86,125,1.802,2.786,1.054,1.45,0.00
