Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abramge01.shtml"">G. Abrams</a>",CIN,23,14,0,0,0,10,5,5,0,3,1,9.643,4.262,2.786,0.33,-0.12
"<a href=""https://www.baseball-reference.com/players/a/adamsba01.shtml"">Babe Adams</a>",PIT,41,476,13,7,1,196,83,78,8,25,38,4.424,3.552,1.393,1.52,1.15
"<a href=""https://www.baseball-reference.com/players/a/aldrivi01.shtml"">Vic Aldridge</a>",CHN,29,651,16,9,0,209,101,84,17,67,64,3.484,4.317,1.272,0.96,2.61
"<a href=""https://www.baseball-reference.com/players/a/alexape01.shtml"">P. Alexander</a>",CHN,36,915,22,12,2,308,128,108,17,30,72,3.187,3.486,1.108,2.40,5.19
"<a href=""https://www.baseball-reference.com/players/b/bagbyji01.shtml"">Jim Bagby</a>",PIT,33,206,3,2,3,95,49,40,6,25,16,5.243,4.557,1.748,0.64,-0.89
"<a href=""https://www.baseball-reference.com/players/b/barfocl01.shtml"">C. Barfoot</a>",SLN,31,304,3,3,1,112,49,42,7,27,23,3.730,4.176,1.372,0.85,1.51
"<a href=""https://www.baseball-reference.com/players/b/barneje01.shtml"">Jesse Barnes</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebarneje01"" style=""display:none;""></input><label for=""footnotebarneje01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbarneje01"">NY1, BSN</div></span>",30,694,13,15,3,252,111,85,9,56,53,3.307,3.715,1.331,0.95,-0.48
"<a href=""https://www.baseball-reference.com/players/b/barnevi01.shtml"">V. Barnes</a>",NY1,26,159,2,3,1,59,31,23,2,19,6,3.906,4.284,1.472,0.32,0.00
"<a href=""https://www.baseball-reference.com/players/b/batchjo01.shtml"">J. Batchelder</a>",BSN,24,27,1,0,0,12,7,7,2,1,2,7.000,5.503,1.444,2.00,-0.14
"<a href=""https://www.baseball-reference.com/players/b/baynebi01.shtml"">Bill Bayne</a>",SLA,24,138,2,2,0,49,25,23,4,31,15,4.500,5.371,1.739,0.48,0.65
"<a href=""https://www.baseball-reference.com/players/b/bedgoph01.shtml"">Phil Bedgood</a>",CLE,25,56,0,2,0,16,13,11,0,14,7,5.304,4.041,1.607,0.50,-0.14
"<a href=""https://www.baseball-reference.com/players/b/behanpe01.shtml"">Petie Behan</a>",PHI,35,393,3,12,2,182,102,80,11,57,27,5.496,4.822,1.824,0.47,0.45
"<a href=""https://www.baseball-reference.com/players/b/bentlja01.shtml"">Jack Bentley</a>",NY1,28,549,13,8,3,198,102,91,10,67,80,4.475,3.783,1.448,1.19,0.00
"<a href=""https://www.baseball-reference.com/players/b/bentola01.shtml"">Larry Benton</a>",BSN,25,384,5,9,0,141,78,71,4,57,42,4.992,3.941,1.547,0.74,0.00
"<a href=""https://www.baseball-reference.com/players/b/bentoru01.shtml"">Rube Benton</a>",CIN,33,657,14,10,1,243,106,89,10,57,59,3.658,3.701,1.370,1.04,2.23
"<a href=""https://www.baseball-reference.com/players/b/bettshu01.shtml"">Huck Betts</a>",PHI,26,253,2,4,1,100,38,29,7,14,18,3.095,3.952,1.352,1.29,2.70
"<a href=""https://www.baseball-reference.com/players/b/bishoji01.shtml"">Jim Bishop</a>",PHI,25,98,0,3,1,48,31,23,2,11,5,6.337,4.102,1.806,0.45,-0.58
"<a href=""https://www.baseball-reference.com/players/b/blackda01.shtml"">Dave Black</a>",BOS,29,3,0,0,0,2,0,0,0,0,0,.000,2.933,2.000,&infin;,0.06
"<a href=""https://www.baseball-reference.com/players/b/blankho01.shtml"">H. Blankenship</a>",CHA,20,15,1,1,1,9,5,2,0,1,1,3.600,3.107,2.000,1.00,-0.22
"<a href=""https://www.baseball-reference.com/players/b/blankte01.shtml"">T. Blankenship</a>",CHA,22,614,9,14,0,219,115,99,8,100,57,4.353,4.314,1.559,0.57,1.28
"<a href=""https://www.baseball-reference.com/players/b/blethcl01.shtml"">C. Blethen</a>",BOS,29,53,0,0,0,29,18,14,0,7,2,7.132,3.787,2.038,0.29,-0.19
"<a href=""https://www.baseball-reference.com/players/b/blumecl01.shtml"">Clint Blume</a>",NY1,24,72,2,0,0,22,11,10,0,20,2,3.750,5.218,1.750,0.10,0.19
"<a href=""https://www.baseball-reference.com/players/b/boehlge01.shtml"">G. Boehler</a>",PIT,31,85,1,3,0,33,26,19,1,26,12,6.035,5.225,2.082,0.46,-0.67
"<a href=""https://www.baseball-reference.com/players/b/booneda01.shtml"">Dan Boone</a>",CLE,28,211,4,6,0,93,56,47,3,31,15,6.014,4.176,1.763,0.48,-0.93
"<a href=""https://www.baseball-reference.com/players/b/brillji01.shtml"">J. Brillheart</a>",WS1,19,54,0,1,0,27,15,14,1,12,8,7.000,4.496,2.167,0.67,-0.34
"<a href=""https://www.baseball-reference.com/players/b/burnsde01.shtml"">Dennis Burns</a>",PHA,25,81,2,1,0,21,9,6,1,7,8,2.000,3.623,1.037,1.14,1.20
"<a href=""https://www.baseball-reference.com/players/b/bushgu01.shtml"">Guy Bush</a>",CHN,21,3,0,0,0,1,0,0,0,0,2,.000,-.515,1.000,&infin;,0.00
"<a href=""https://www.baseball-reference.com/players/b/bushjo01.shtml"">B. Bush</a>",NYA,30,827,19,15,0,263,115,105,7,117,125,3.428,3.593,1.378,1.07,0.00
"<a href=""https://www.baseball-reference.com/players/c/cadorle01.shtml"">Leon Cadore</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotecadorle01"" style=""display:none;""></input><label for=""footnotecadorle01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivcadorle01"">BRO, CHA</div></span>",31,115,4,2,0,45,21,19,2,15,8,4.461,4.392,1.565,0.53,0.39
"<a href=""https://www.baseball-reference.com/players/c/carlsha01.shtml"">Hal Carlson</a>",PIT,31,40,0,0,0,19,9,7,2,2,4,4.725,4.470,1.575,2.00,0.00
"<a href=""https://www.baseball-reference.com/players/c/castnpa01.shtml"">Paul Castner</a>",CHA,26,30,0,0,0,14,9,7,0,5,0,6.300,4.255,1.900,0.00,-0.13
"<a href=""https://www.baseball-reference.com/players/c/cheevvi01.shtml"">V. Cheeves</a>",CHN,22,214,3,4,0,89,54,49,8,37,13,6.182,5.462,1.766,0.35,-1.20
"<a href=""https://www.baseball-reference.com/players/c/clarkru01.shtml"">Rufe Clarke</a>",DET,23,18,1,1,0,6,3,3,0,6,2,4.500,5.087,2.000,0.33,0.12
"<a href=""https://www.baseball-reference.com/players/c/colebe01.shtml"">Bert Cole</a>",DET,26,489,13,5,5,183,95,75,9,61,32,4.141,4.272,1.497,0.52,0.00
"<a href=""https://www.baseball-reference.com/players/c/colliph01.shtml"">Phil Collins</a>",CHN,21,15,1,0,0,8,2,2,0,1,2,3.600,2.746,1.800,2.00,0.08
"<a href=""https://www.baseball-reference.com/players/c/colliri01.shtml"">Rip Collins</a>",DET,27,277,3,7,0,104,61,50,3,22,25,4.874,3.194,1.365,1.14,-0.37
"<a href=""https://www.baseball-reference.com/players/c/connasa01.shtml"">S. Connally</a>",CHA,24,26,0,0,0,7,6,6,0,12,3,6.231,6.612,2.192,0.25,-0.02
"<a href=""https://www.baseball-reference.com/players/c/coonejo01.shtml"">J. Cooney</a>",BSN,22,294,3,5,0,92,43,36,3,22,23,3.306,3.458,1.163,1.05,2.27
"<a href=""https://www.baseball-reference.com/players/c/coopewi01.shtml"">W. Cooper</a>",PIT,31,884,17,19,0,331,136,117,11,71,77,3.574,3.507,1.364,1.08,3.78
"<a href=""https://www.baseball-reference.com/players/c/couchjo01.shtml"">Johnny Couch</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotecouchjo01"" style=""display:none;""></input><label for=""footnotecouchjo01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivcouchjo01"">CIN, PHI</div></span>",32,403,4,11,0,189,105,84,6,36,32,5.628,3.724,1.675,0.89,-1.19
