Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/aasedo01.shtml"">Don Aase</a>",CAL,29,39,4,1,8,30,7,7,1,19,28,1.615,3.143,1.256,1.47,2.06
"<a href=""https://www.baseball-reference.com/players/a/abbotgl01.shtml"">Glenn Abbott</a>",DET,33,44,3,4,0,62,39,29,9,8,8,5.932,5.291,1.591,1.00,-1.47
"<a href=""https://www.baseball-reference.com/players/a/ackerji01.shtml"">Jim Acker</a>",TOR,25,72,3,5,1,79,39,35,3,25,33,4.375,3.183,1.444,1.32,.00
"<a href=""https://www.baseball-reference.com/players/a/agostju01.shtml"">Juan Agosto</a>",CHA,26,55&‌#8531;,2,1,7,54,20,19,2,34,26,3.090,4.028,1.590,.76,.00
"<a href=""https://www.baseball-reference.com/players/a/alexado01.shtml"">Doyle Alexander</a>",TOR,33,261&‌#8532;,17,6,0,238,99,91,21,59,139,3.130,3.405,1.135,2.36,.00
"<a href=""https://www.baseball-reference.com/players/a/allenne01.shtml"">Neil Allen</a>",SLN,26,119,9,6,3,105,54,47,6,49,66,3.555,3.573,1.294,1.35,.00
"<a href=""https://www.baseball-reference.com/players/a/altampo01.shtml"">Porfi Altamirano</a>",CHN,32,11&‌#8531;,0,0,0,8,6,6,2,1,7,4.765,4.185,.794,7.00,-.04
"<a href=""https://www.baseball-reference.com/players/a/anderla02.shtml"">Larry Andersen</a>",PHI,31,90&‌#8532;,3,7,4,85,32,24,5,25,54,2.382,3.120,1.213,2.16,.00
"<a href=""https://www.baseball-reference.com/players/a/andujjo01.shtml"">Joaquin Andujar</a>",SLN,31,261&‌#8531;,20,14,0,218,104,97,20,70,147,3.341,3.386,1.102,2.10,3.42
"<a href=""https://www.baseball-reference.com/players/a/apontlu01.shtml"">Luis Aponte</a>",CLE,31,50&‌#8531;,1,0,0,53,25,23,5,15,25,4.113,3.878,1.351,1.67,.34
"<a href=""https://www.baseball-reference.com/players/a/armstmi01.shtml"">Mike Armstrong</a>",NYA,30,54&‌#8531;,3,2,1,47,21,21,6,26,43,3.479,4.093,1.344,1.65,.98
"<a href=""https://www.baseball-reference.com/players/a/atherke01.shtml"">Keith Atherton</a>",OAK,25,104,7,6,2,110,51,50,13,39,58,4.327,4.336,1.433,1.49,.00
"<a href=""https://www.baseball-reference.com/players/a/augusje01.shtml"">Jerry Augustine</a>",ML4,31,5&‌#8531;,0,0,0,4,1,0,0,4,3,.000,3.368,1.500,.75,.30
"<a href=""https://www.baseball-reference.com/players/b/bairdo01.shtml"">Doug Bair</a>",DET,34,93&‌#8532;,5,3,4,82,42,39,10,36,57,3.747,4.142,1.260,1.58,.56
"<a href=""https://www.baseball-reference.com/players/b/bannifl01.shtml"">Floyd Bannister</a>",CHA,29,218,14,11,0,211,127,117,30,80,152,4.830,4.183,1.335,1.90,.84
"<a href=""https://www.baseball-reference.com/players/b/bargagr01.shtml"">Greg Bargar</a>",MON,25,8,0,1,0,8,7,7,1,7,2,7.875,6.954,1.875,.29,-.26
"<a href=""https://www.baseball-reference.com/players/b/barkele01.shtml"">Len Barker</a>",ATL,28,126&‌#8531;,7,8,0,120,59,54,10,38,95,3.847,3.145,1.251,2.50,1.28
"<a href=""https://www.baseball-reference.com/players/b/barklje01.shtml"">Jeff Barkley</a>",CLE,24,4,0,0,0,6,3,3,0,1,4,6.750,1.734,1.750,4.00,-.13
"<a href=""https://www.baseball-reference.com/players/b/barojsa01.shtml"">Salome Barojas</a>",2,27,134&‌#8532;,9,7,2,136,70,62,15,60,55,4.144,4.747,1.455,.92,.99
"<a href=""https://www.baseball-reference.com/players/b/beardda01.shtml"">Dave Beard</a>",SEA,24,76,3,2,5,88,56,49,15,33,40,5.803,5.363,1.592,1.21,-1.66
"<a href=""https://www.baseball-reference.com/players/b/beattji01.shtml"">Jim Beattie</a>",SEA,29,211,12,16,0,206,86,80,13,75,119,3.412,3.449,1.332,1.59,5.13
"<a href=""https://www.baseball-reference.com/players/b/beckwjo01.shtml"">Joe Beckwith</a>",KCA,29,100&‌#8532;,8,4,2,92,39,38,13,25,75,3.397,3.659,1.162,3.00,1.37
"<a href=""https://www.baseball-reference.com/players/b/bedrost01.shtml"">Steve Bedrosian</a>",ATL,26,83&‌#8532;,9,6,11,65,23,22,5,33,81,2.367,2.756,1.171,2.45,2.81
"<a href=""https://www.baseball-reference.com/players/b/beenean01.shtml"">Andy Beene</a>",ML4,27,18&‌#8532;,0,2,0,28,23,23,1,9,11,11.089,3.342,1.982,1.22,-.95
"<a href=""https://www.baseball-reference.com/players/b/behenri01.shtml"">Rick Behenna</a>",CLE,24,9&‌#8532;,0,3,0,17,15,15,5,8,6,13.966,9.816,2.586,.75,-.68
"<a href=""https://www.baseball-reference.com/players/b/berenbr01.shtml"">Bruce Berenyi</a>",2,29,166,12,13,0,163,93,82,6,95,134,4.446,3.309,1.554,1.41,.06
"<a href=""https://www.baseball-reference.com/players/b/berenju01.shtml"">Juan Berenguer</a>",DET,29,168&‌#8531;,11,10,0,146,75,65,14,79,118,3.475,3.784,1.337,1.49,1.66
"<a href=""https://www.baseball-reference.com/players/b/bestka01.shtml"">Karl Best</a>",SEA,25,6,1,1,0,7,2,2,0,0,6,3.000,.990,1.167,&infin;,.11
"<a href=""https://www.baseball-reference.com/players/b/betteje01.shtml"">Jeff Bettendorf</a>",OAK,23,9&‌#8532;,0,0,1,9,5,5,3,5,5,4.655,7.703,1.448,1.00,.07
"<a href=""https://www.baseball-reference.com/players/b/bibbyji01.shtml"">Jim Bibby</a>",TEX,39,16&‌#8531;,0,0,0,19,8,8,1,10,6,4.408,4.647,1.776,.60,.14
"<a href=""https://www.baseball-reference.com/players/b/bielemi01.shtml"">Mike Bielecki</a>",PIT,24,4&‌#8531;,0,0,0,4,0,0,0,0,1,.000,2.306,.923,&infin;,.00
"<a href=""https://www.baseball-reference.com/players/b/blackbu02.shtml"">Buddy Black</a>",KCA,27,257,17,12,0,226,99,89,22,64,140,3.117,3.511,1.128,2.19,.00
"<a href=""https://www.baseball-reference.com/players/b/blylebe01.shtml"">Bert Blyleven</a>",CLE,33,245,19,7,0,204,86,78,19,74,170,2.865,3.230,1.135,2.30,7.24
"<a href=""https://www.baseball-reference.com/players/b/boddimi01.shtml"">Mike Boddicker</a>",BAL,26,261&‌#8531;,20,11,0,218,95,81,23,81,128,2.790,3.869,1.144,1.58,5.15
"<a href=""https://www.baseball-reference.com/players/b/bookegr01.shtml"">Greg Booker</a>",SDN,24,57&‌#8531;,1,1,0,67,27,21,4,27,28,3.297,4.050,1.640,1.04,.00
"<a href=""https://www.baseball-reference.com/players/b/bordiri01.shtml"">Rich Bordi</a>",CHN,25,83&‌#8531;,5,2,4,78,37,32,11,20,41,3.456,4.236,1.176,2.05,1.13
"<a href=""https://www.baseball-reference.com/players/b/boydoi01.shtml"">Oil Can Boyd</a>",BOS,24,197&‌#8532;,12,12,0,207,109,96,18,53,134,4.371,3.372,1.315,2.53,1.47
"<a href=""https://www.baseball-reference.com/players/b/breinfr01.shtml"">Fred Breining</a>",MON,28,6&‌#8532;,0,0,0,4,1,1,0,5,5,1.350,3.613,1.350,1.00,.20
"<a href=""https://www.baseball-reference.com/players/b/brennto01.shtml"">Tom Brennan</a>",CHA,31,6&‌#8532;,0,1,0,8,5,3,1,3,3,4.050,5.138,1.650,1.00,-.06
"<a href=""https://www.baseball-reference.com/players/b/brizzto01.shtml"">Tony Brizzolara</a>",ATL,27,29,1,2,0,33,22,17,4,13,17,5.276,4.658,1.586,1.31,-.46
"<a href=""https://www.baseball-reference.com/players/b/browncu03.shtml"">Curt Brown</a>",NYA,24,16&‌#8532;,1,1,0,18,5,5,1,4,10,2.700,3.056,1.320,2.50,.53
"<a href=""https://www.baseball-reference.com/players/b/brownma02.shtml"">Mark Brown</a>",BAL,24,23,1,2,0,22,11,10,2,7,10,3.913,3.867,1.261,1.43,.11
"<a href=""https://www.baseball-reference.com/players/b/brownmi01.shtml"">Mike Brown</a>",BOS,25,67,1,8,0,104,63,51,9,19,32,6.851,4.090,1.836,1.68,-1.65
"<a href=""https://www.baseball-reference.com/players/b/brownst02.shtml"">Steve Brown</a>",CAL,27,11,0,1,0,16,13,11,0,9,5,9.000,4.137,2.273,.56,-.50
"<a href=""https://www.baseball-reference.com/players/b/brownto05.shtml"">Tom Browning</a>",CIN,24,23&‌#8531;,1,0,0,27,4,4,0,5,14,1.543,2.219,1.371,2.80,1.17
"<a href=""https://www.baseball-reference.com/players/b/brusswa01.shtml"">Warren Brusstar</a>",CHN,32,63&‌#8532;,1,1,3,57,23,22,4,21,36,3.110,3.418,1.225,1.71,1.09
"<a href=""https://www.baseball-reference.com/players/b/burgmto01.shtml"">Tom Burgmeier</a>",OAK,40,23,3,0,2,15,6,6,2,8,8,2.348,4.433,1.000,1.00,.79
"<a href=""https://www.baseball-reference.com/players/b/burnsbr01.shtml"">Britt Burns</a>",CHA,25,117,4,12,3,130,74,65,7,45,85,5.000,3.126,1.496,1.89,-.50
"<a href=""https://www.baseball-reference.com/players/b/burrira01.shtml"">Ray Burris</a>",OAK,33,211&‌#8532;,13,10,0,193,84,74,15,90,93,3.146,4.015,1.337,1.03,3.72
"<a href=""https://www.baseball-reference.com/players/b/butchjo01.shtml"">John Butcher</a>",MIN,27,225,13,11,0,242,98,86,18,53,83,3.440,3.727,1.311,1.57,.00
"<a href=""https://www.baseball-reference.com/players/b/bystrma01.shtml"">Marty Bystrom</a>",2,25,96,6,6,0,100,52,45,8,35,60,4.219,3.632,1.406,1.71,-.36
"<a href=""https://www.baseball-reference.com/players/c/caldwmi01.shtml"">Mike Caldwell</a>",ML4,35,126,6,13,0,160,76,65,11,21,34,4.643,3.800,1.437,1.62,.01
"<a href=""https://www.baseball-reference.com/players/c/calhoje01.shtml"">Jeff Calhoun</a>",HOU,26,15&‌#8531;,0,1,0,5,3,2,0,2,11,1.174,1.618,.457,5.50,.48
"<a href=""https://www.baseball-reference.com/players/c/calvema01.shtml"">Mark Calvert</a>",SFN,27,32,2,4,0,40,21,18,4,9,5,5.062,4.743,1.531,.56,-.21
"<a href=""https://www.baseball-reference.com/players/c/camacer01.shtml"">Ernie Camacho</a>",CLE,29,100,5,9,23,83,31,27,6,37,48,2.430,3.708,1.200,1.30,3.44
"<a href=""https://www.baseball-reference.com/players/c/campbbi02.shtml"">Bill Campbell</a>",PHI,35,81&‌#8531;,6,5,1,68,43,31,2,35,52,3.430,3.094,1.266,1.49,-.26
"<a href=""https://www.baseball-reference.com/players/c/campri01.shtml"">Rick Camp</a>",ATL,31,148&‌#8532;,8,6,0,134,59,54,11,63,69,3.269,4.092,1.325,1.10,2.90
"<a href=""https://www.baseball-reference.com/players/c/candejo01.shtml"">John Candelaria</a>",PIT,30,185&‌#8531;,12,11,2,179,69,56,19,34,133,2.719,3.200,1.149,3.91,.00
"<a href=""https://www.baseball-reference.com/players/c/candito01.shtml"">Tom Candiotti</a>",ML4,26,32&‌#8531;,2,2,0,38,21,19,5,10,23,5.289,4.171,1.485,2.30,.00
"<a href=""https://www.baseball-reference.com/players/c/carltst01.shtml"">Steve Carlton</a>",PHI,39,229,13,7,0,214,104,91,14,79,163,3.576,3.170,1.279,2.06,.00
"<a href=""https://www.baseball-reference.com/players/c/carmado01.shtml"">Don Carman</a>",PHI,24,13&‌#8531;,0,1,0,14,9,8,2,6,16,5.400,3.591,1.500,2.67,-.15
"<a href=""https://www.baseball-reference.com/players/c/castibo01.shtml"">Bobby Castillo</a>",MIN,29,25&‌#8531;,2,1,0,14,7,5,2,19,7,1.776,6.120,1.303,.37,.55
"<a href=""https://www.baseball-reference.com/players/c/catoke01.shtml"">Keefe Cato</a>",CIN,26,15&‌#8532;,0,1,1,22,14,14,5,4,12,8.043,5.932,1.660,3.00,-.38
"<a href=""https://www.baseball-reference.com/players/c/caudibi01.shtml"">Bill Caudill</a>",OAK,27,96&‌#8531;,9,7,36,77,30,29,9,31,89,2.709,3.102,1.121,2.87,2.69
"<a href=""https://www.baseball-reference.com/players/c/chifffl01.shtml"">Floyd Chiffer</a>",SDN,28,28,1,0,0,42,24,24,1,16,20,7.714,3.421,2.071,1.25,-.93
"<a href=""https://www.baseball-reference.com/players/c/chriscl01.shtml"">Clay Christiansen</a>",NYA,26,38&‌#8532;,2,4,2,50,28,26,4,12,27,6.052,3.497,1.603,2.25,-.69
"<a href=""https://www.baseball-reference.com/players/c/citarra01.shtml"">Ralph Citarella</a>",SLN,26,22&‌#8531;,0,1,0,20,9,9,0,7,15,3.627,1.968,1.209,2.14,.27
"<a href=""https://www.baseball-reference.com/players/c/clancji01.shtml"">Jim Clancy</a>",TOR,28,219&‌#8532;,13,15,0,249,132,125,25,88,118,5.121,4.315,1.534,1.34,.00
"<a href=""https://www.baseball-reference.com/players/c/clarkbr01.shtml"">Bryan Clark</a>",TOR,27,45&‌#8532;,1,2,0,66,33,30,6,22,21,5.912,4.758,1.927,.95,-.79
"<a href=""https://www.baseball-reference.com/players/c/clearma01.shtml"">Mark Clear</a>",BOS,28,67,8,3,8,47,38,30,2,70,76,4.030,3.926,1.746,1.09,-.10
"<a href=""https://www.baseball-reference.com/players/c/clemero02.shtml"">Roger Clemens</a>",BOS,21,133&‌#8531;,9,4,0,146,67,64,13,29,126,4.320,2.754,1.312,4.34,1.83
"<a href=""https://www.baseball-reference.com/players/c/clibust02.shtml"">Stew Cliburn</a>",CAL,27,2,0,0,0,3,3,3,0,1,1,13.500,3.197,2.000,1.00,-.08
"<a href=""https://www.baseball-reference.com/players/c/cocanja01.shtml"">Jaime Cocanower</a>",ML4,27,174&‌#8532;,8,16,0,188,99,78,13,78,65,4.019,4.189,1.523,.83,.78
"<a href=""https://www.baseball-reference.com/players/c/codirch01.shtml"">Chris Codiroli</a>",OAK,26,89&‌#8531;,6,4,1,111,67,58,16,34,44,5.843,5.085,1.623,1.29,-1.51
"<a href=""https://www.baseball-reference.com/players/c/comerst01.shtml"">Steve Comer</a>",CLE,30,117&‌#8531;,4,8,0,146,80,74,11,39,39,5.676,4.159,1.577,1.00,-.76
"<a href=""https://www.baseball-reference.com/players/c/comstke01.shtml"">Keith Comstock</a>",MIN,28,6&‌#8531;,0,0,0,6,6,6,2,4,2,8.526,8.768,1.579,.50,.00
"<a href=""https://www.baseball-reference.com/players/c/conroti01.shtml"">Tim Conroy</a>",OAK,24,93,1,6,0,82,58,54,11,63,69,5.226,4.834,1.559,1.10,-.49
"<a href=""https://www.baseball-reference.com/players/c/corbedo01.shtml"">Doug Corbett</a>",CAL,31,85,5,1,4,76,22,20,2,30,48,2.118,2.935,1.247,1.60,2.79
"<a href=""https://www.baseball-reference.com/players/c/corneje01.shtml"">Jeff Cornell</a>",SFN,27,38&‌#8531;,1,3,0,51,30,26,4,22,19,6.104,4.689,1.904,.86,-.92
"<a href=""https://www.baseball-reference.com/players/c/cowlejo01.shtml"">Joe Cowley</a>",NYA,25,83&‌#8531;,9,2,0,75,34,33,12,31,71,3.564,3.975,1.272,2.29,1.62
"<a href=""https://www.baseball-reference.com/players/c/coxda01.shtml"">Danny Cox</a>",SLN,24,156&‌#8531;,9,11,0,171,81,70,9,54,70,4.030,3.528,1.439,1.30,-.11
"<a href=""https://www.baseball-reference.com/players/c/crawfst01.shtml"">Steve Crawford</a>",BOS,26,62,5,0,1,69,31,23,6,21,21,3.339,4.323,1.452,1.00,.56
"<a href=""https://www.baseball-reference.com/players/c/cruzto02.shtml"">Todd Cruz</a>",BAL,28,1,0,0,0,0,0,0,0,0,0,.000,2.768,.000,&infin;,.03
"<a href=""https://www.baseball-reference.com/players/c/curtijo01.shtml"">John Curtis</a>",CAL,36,28&‌#8532;,1,2,0,30,16,14,4,11,18,4.395,4.429,1.430,1.64,-.01
"<a href=""https://www.baseball-reference.com/players/d/darliro01.shtml"">Ron Darling</a>",NYN,23,205&‌#8532;,12,9,0,179,97,87,17,104,136,3.807,3.993,1.376,1.31,.00
