Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abernwo01.shtml"">Woody Abernathy</a>",NY1,32,2,0,0,0,4,3,2,0,1,0,9.000,3.676,2.500,.00,-.08
"<a href=""https://www.baseball-reference.com/players/a/andrehu01.shtml"">Hub Andrews</a>",NY1,24,8&‌#8532;,0,0,0,14,7,6,1,4,2,6.231,4.634,2.077,.50,-.06
"<a href=""https://www.baseball-reference.com/players/a/ardizru01.shtml"">Rugger Ardizoia</a>",NYA,27,2,0,0,0,4,2,2,1,1,0,9.000,10.361,2.500,.00,-.04
"<a href=""https://www.baseball-reference.com/players/a/ayersbi01.shtml"">Bill Ayers</a>",NY1,27,35&‌#8531;,0,3,1,46,35,32,7,14,22,8.151,4.815,1.698,1.57,-1.13
"<a href=""https://www.baseball-reference.com/players/b/bagbyji02.shtml"">Jim Bagby</a>",PIT,30,115&‌#8532;,5,4,0,143,75,60,14,37,23,4.669,4.428,1.556,.62,.12
"<a href=""https://www.baseball-reference.com/players/b/bahred01.shtml"">Ed Bahr</a>",PIT,27,82&‌#8531;,3,5,0,82,45,42,5,43,25,4.591,4.172,1.518,.58,.55
"<a href=""https://www.baseball-reference.com/players/b/bankhda01.shtml"">Dan Bankhead</a>",BRO,27,10,0,0,1,15,8,8,1,8,6,7.200,4.382,2.300,.75,-.15
"<a href=""https://www.baseball-reference.com/players/b/bantaja01.shtml"">Jack Banta</a>",BRO,22,7&‌#8532;,0,1,0,7,6,6,1,4,3,7.043,4.407,1.435,.75,-.13
"<a href=""https://www.baseball-reference.com/players/b/barnere02.shtml"">Rex Barney</a>",BRO,22,77&‌#8532;,5,2,0,66,52,41,4,59,36,4.751,4.564,1.609,.61,-.57
"<a href=""https://www.baseball-reference.com/players/b/barrere01.shtml"">Red Barrett</a>",BSN,32,210&‌#8532;,11,12,1,200,102,83,16,53,53,3.546,3.709,1.201,1.00,2.23
"<a href=""https://www.baseball-reference.com/players/b/beardge01.shtml"">Gene Bearden</a>",CLE,26,0&‌#8531;,0,0,0,2,3,3,0,1,0,81.000,6.428,9.000,.00,.00
"<a href=""https://www.baseball-reference.com/players/b/beazljo01.shtml"">Johnny Beazley</a>",BSN,29,28&‌#8532;,2,0,0,30,15,14,1,19,12,4.395,4.046,1.709,.63,.22
"<a href=""https://www.baseball-reference.com/players/b/beggsjo01.shtml"">Joe Beggs</a>",2,36,98&‌#8531;,3,6,2,123,64,50,10,24,34,4.576,3.748,1.495,1.42,-.28
