Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/aardsda01.shtml"">D. Aardsma</a>",CHA,25,32&frac13;,2,1,0,39,24,23,4,17,36,6.402,4.046,1.732,2.12,-0.40
"<a href=""https://www.baseball-reference.com/players/a/abreuwi01.shtml"">W. Abreu</a>",WAS,30,30&frac13;,0,1,0,37,21,20,7,9,26,5.934,5.374,1.516,2.89,0.00
"<a href=""https://www.baseball-reference.com/players/a/accarje01.shtml"">J. Accardo</a>",TOR,25,67&frac13;,4,4,30,51,19,16,4,24,57,2.139,3.302,1.114,2.38,2.17
"<a href=""https://www.baseball-reference.com/players/a/acostma01.shtml"">Manny Acosta</a>",ATL,26,23&frac23;,1,1,0,13,6,6,2,14,22,2.282,4.394,1.141,1.57,0.68
"<a href=""https://www.baseball-reference.com/players/a/adkinjo01.shtml"">Jon Adkins</a>",NYN,29,1,0,0,0,0,0,0,0,0,0,.000,3.240,.000,&infin;,0.04
"<a href=""https://www.baseball-reference.com/players/a/affelje01.shtml"">J. Affeldt</a>",COL,28,59,4,3,0,47,26,23,3,33,46,3.508,3.896,1.356,1.39,0.96
"<a href=""https://www.baseball-reference.com/players/a/albaljo01.shtml"">J. Albaladejo</a>",WAS,24,14&frac13;,1,1,0,7,3,3,1,2,12,1.884,2.603,.628,6.00,0.63
"<a href=""https://www.baseball-reference.com/players/a/alberma01.shtml"">Matt Albers</a>",HOU,24,110&frac23;,4,11,0,127,77,72,18,50,71,5.855,5.209,1.599,1.42,0.00
"<a href=""https://www.baseball-reference.com/players/a/alfonan01.shtml"">A. Alfonseca</a>",PHI,35,49&frac23;,5,2,8,65,31,30,3,27,24,5.436,4.560,1.852,0.89,-0.60
"<a href=""https://www.baseball-reference.com/players/a/aquingr01.shtml"">Greg Aquino</a>",MIL,29,14,0,1,0,13,9,7,2,5,12,4.500,4.473,1.286,2.40,-0.14
"<a href=""https://www.baseball-reference.com/players/a/ariasal02.shtml"">A. Arias</a>",COL,23,7&frac13;,1,0,0,8,4,4,1,5,3,4.909,6.560,1.773,0.60,-0.03
"<a href=""https://www.baseball-reference.com/players/a/armasto02.shtml"">Tony Armas</a>",PIT,29,97,4,5,0,111,68,65,18,38,73,6.031,5.039,1.536,1.92,-0.53
"<a href=""https://www.baseball-reference.com/players/a/arroybr01.shtml"">B. Arroyo</a>",CIN,30,210&frac23;,9,15,0,232,109,99,28,63,156,4.229,4.185,1.400,2.48,3.30
"<a href=""https://www.baseball-reference.com/players/a/ascanjo01.shtml"">Jose Ascanio</a>",ATL,22,16,1,1,0,17,11,9,3,6,13,5.062,5.058,1.438,2.17,-0.18
"<a href=""https://www.baseball-reference.com/players/a/atchisc01.shtml"">S. Atchison</a>",SFN,31,30&frac23;,0,0,0,32,14,14,5,10,25,4.109,4.624,1.370,2.50,0.28
"<a href=""https://www.baseball-reference.com/players/a/ayalalu01.shtml"">Luis Ayala</a>",WAS,29,42&frac13;,2,2,1,43,16,15,5,12,28,3.189,4.231,1.299,2.33,0.00
"<a href=""https://www.baseball-reference.com/players/b/backebr01.shtml"">B. Backe</a>",HOU,29,28&frac23;,3,1,0,27,13,12,4,11,11,3.767,5.358,1.326,1.00,0.64
"<a href=""https://www.baseball-reference.com/players/b/bacsimi02.shtml"">Mike Bacsik</a>",WAS,29,118,5,8,0,141,73,67,26,29,45,5.110,5.966,1.441,1.55,-0.04
"<a href=""https://www.baseball-reference.com/players/b/baekch01.shtml"">C. Baek</a>",SEA,27,73&frac13;,4,3,0,87,45,42,6,14,49,5.155,3.408,1.377,3.50,0.00
"<a href=""https://www.baseball-reference.com/players/b/baezda01.shtml"">Danys Baez</a>",BAL,29,50&frac13;,0,6,3,50,36,36,8,29,29,6.437,5.535,1.570,1.00,-0.63
"<a href=""https://www.baseball-reference.com/players/b/baileho02.shtml"">Homer Bailey</a>",CIN,21,45&frac13;,4,2,0,43,32,29,3,28,28,5.757,4.549,1.566,1.00,-0.11
"<a href=""https://www.baseball-reference.com/players/b/bakersc02.shtml"">Scott Baker</a>",MIN,25,143&frac23;,9,9,0,162,70,68,15,29,102,4.260,3.674,1.329,3.52,1.78
"<a href=""https://www.baseball-reference.com/players/b/balejo01.shtml"">John Bale</a>",KCA,33,40,1,1,0,45,18,18,1,17,42,4.050,2.703,1.550,2.47,0.49
"<a href=""https://www.baseball-reference.com/players/b/balfogr01.shtml"">G. Balfour</a>",2,29,24&frac23;,1,2,0,30,21,21,2,20,30,7.662,4.103,2.027,1.50,-0.55
"<a href=""https://www.baseball-reference.com/players/b/banksjo01.shtml"">Josh Banks</a>",TOR,24,7&frac13;,0,0,0,11,6,6,1,2,2,7.364,5.114,1.773,1.00,-0.13
"<a href=""https://www.baseball-reference.com/players/b/bannibr01.shtml"">B. Bannister</a>",KCA,26,165,12,9,0,156,76,71,15,44,77,3.873,4.221,1.212,1.75,2.79
"<a href=""https://www.baseball-reference.com/players/b/baronda01.shtml"">D. Barone</a>",FLO,24,41,1,3,0,50,29,26,11,19,18,5.707,7.391,1.683,0.95,-0.21
"<a href=""https://www.baseball-reference.com/players/b/barryke01.shtml"">Kevin Barry</a>",ATL,28,2,0,0,0,6,5,5,0,2,4,22.500,2.632,4.000,2.00,-0.14
"<a href=""https://www.baseball-reference.com/players/b/batismi01.shtml"">M. Batista</a>",SEA,36,193,16,11,0,209,101,92,18,85,133,4.290,4.260,1.523,1.56,0.00
"<a href=""https://www.baseball-reference.com/players/b/bautide01.shtml"">D. Bautista</a>",COL,26,8&frac23;,2,1,0,18,12,12,0,4,8,12.462,2.617,2.538,2.00,-0.71
"<a href=""https://www.baseball-reference.com/players/b/baylijo01.shtml"">J. Bayliss</a>",PIT,26,37&frac23;,4,3,0,51,36,35,8,18,29,8.363,5.619,1.832,1.61,-1.40
"<a href=""https://www.baseball-reference.com/players/b/bazaryo01.shtml"">Y. Bazardo</a>",DET,22,23&frac23;,2,1,0,19,7,6,2,5,15,2.282,3.329,1.014,3.00,0.65
"<a href=""https://www.baseball-reference.com/players/b/beanco01.shtml"">Colter Bean</a>",NYA,30,3,0,1,0,5,4,4,0,5,2,12.000,6.293,3.333,0.40,-0.22
