Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/aasedo01.shtml"">Don Aase</a>",CAL,26,65&‌#8531;,4,4,11,56,17,17,4,24,38,2.342,3.360,1.224,1.58,2.24
"<a href=""https://www.baseball-reference.com/players/a/abbotgl01.shtml"">Glenn Abbott</a>",SEA,30,130&‌#8531;,4,9,0,127,64,57,14,28,35,3.936,4.149,1.189,1.25,.00
"<a href=""https://www.baseball-reference.com/players/a/agostju01.shtml"">Juan Agosto</a>",CHA,23,5&‌#8532;,0,0,0,5,3,3,1,0,3,4.765,3.353,.882,&infin;,.00
"<a href=""https://www.baseball-reference.com/players/a/alexado01.shtml"">Doyle Alexander</a>",SFN,30,152&‌#8531;,11,7,0,156,51,49,11,44,77,2.895,3.339,1.313,1.75,.00
"<a href=""https://www.baseball-reference.com/players/a/allarbr01.shtml"">Brian Allard</a>",SEA,23,48,3,2,0,48,22,20,5,8,20,3.750,3.648,1.167,2.50,.90
"<a href=""https://www.baseball-reference.com/players/a/allenne01.shtml"">Neil Allen</a>",NYN,23,66&‌#8532;,7,6,18,64,26,22,4,26,50,2.970,3.035,1.350,1.92,.00
"<a href=""https://www.baseball-reference.com/players/a/alvarjo01.shtml"">Jose Alvarez</a>",ATL,25,2,0,0,0,0,0,0,0,0,2,.000,.221,.000,&infin;,.07
"<a href=""https://www.baseball-reference.com/players/a/anderla02.shtml"">Larry Andersen</a>",SEA,28,67&‌#8532;,3,3,5,57,27,20,4,18,40,2.660,2.901,1.108,2.22,.00
"<a href=""https://www.baseball-reference.com/players/a/andujjo01.shtml"">Joaquin Andujar</a>",2,28,79,8,4,0,85,41,36,6,23,37,4.101,3.503,1.367,1.61,-.40
"<a href=""https://www.baseball-reference.com/players/a/apontlu01.shtml"">Luis Aponte</a>",BOS,28,15&‌#8532;,1,0,1,11,1,1,0,3,11,.574,1.708,.894,3.67,1.06
"<a href=""https://www.baseball-reference.com/players/a/armstmi01.shtml"">Mike Armstrong</a>",SDN,27,12,0,2,0,14,9,8,1,11,9,6.000,4.861,2.083,.82,-.37
"<a href=""https://www.baseball-reference.com/players/a/arroyfe01.shtml"">Fernando Arroyo</a>",MIN,29,128&‌#8531;,7,10,0,144,66,56,11,34,39,3.927,3.788,1.387,1.15,1.48
"<a href=""https://www.baseball-reference.com/players/a/augusje01.shtml"">Jerry Augustine</a>",ML4,28,61&‌#8531;,2,2,2,75,30,29,4,18,26,4.255,3.382,1.516,1.44,-.01
"<a href=""https://www.baseball-reference.com/players/b/babcobo01.shtml"">Bob Babcock</a>",TEX,31,28&‌#8532;,1,1,0,21,7,7,2,16,18,2.198,3.931,1.291,1.12,.60
"<a href=""https://www.baseball-reference.com/players/b/bahnsst01.shtml"">Stan Bahnsen</a>",MON,36,49,2,1,1,45,27,27,7,24,28,4.959,4.819,1.408,1.17,-.46
"<a href=""https://www.baseball-reference.com/players/b/baileho01.shtml"">Howard Bailey</a>",DET,23,36&‌#8532;,1,4,0,45,31,30,4,13,17,7.364,3.859,1.582,1.31,-1.20
