playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
aberal01,1954,1,DET,AL,5,11,32,18,4,0,3,374,121,55,8,40,54,0.25,3.97,,0,3,0,528,6,63,,,
antonjo02,1954,1,NY1,NL,21,7,39,37,18,6,2,776,209,66,22,94,152,0.21,2.3,,2,5,0,1071,2,78,,,
baczefr01,1954,1,CIN,NL,6,6,29,22,4,1,0,390,159,76,22,53,43,0.3,5.26,,1,1,0,587,2,82,,,
beardra01,1954,1,SLN,NL,0,4,13,10,0,0,0,174,62,24,2,28,17,0.27,3.72,,2,2,0,260,0,32,,,
bickfve01,1954,1,BAL,AL,0,1,1,1,0,0,0,12,5,4,0,1,0,0.33,9,,0,0,0,20,0,5,,,
bishoch01,1954,1,PHA,AL,4,6,20,12,4,0,1,288,98,47,10,50,34,0.27,4.41,,0,5,0,427,4,49,,,
blackjo02,1954,1,BRO,NL,0,0,5,0,0,0,0,21,11,9,3,5,3,0.35,11.57,,0,0,0,37,4,9,,,
blyzkmi01,1954,1,BAL,AL,1,5,37,0,0,0,1,259,83,45,2,51,35,0.25,4.69,,1,0,0,386,17,48,,,
brancra01,1954,1,DET,AL,3,3,17,5,0,0,0,136,63,29,10,30,15,0.33,5.76,,0,2,0,227,4,33,,,
brancra01,1954,2,NYA,AL,1,0,5,3,0,0,0,38,9,4,0,13,7,0.2,2.84,,0,1,0,61,1,5,,,
brazlal01,1954,1,SLN,NL,5,4,58,0,0,0,8,253,93,39,10,24,30,0.28,4.16,,2,3,0,363,28,48,,,
breweto01,1954,1,BOS,AL,10,9,33,23,7,0,0,488,152,84,15,95,69,0.24,4.65,,6,7,0,727,3,90,,,
brosnji01,1954,1,CHN,NL,1,0,18,0,0,0,0,100,44,35,9,18,17,0.33,9.45,,4,1,0,158,7,35,,,
brownha01,1954,1,BOS,AL,1,8,40,5,1,0,0,354,126,54,6,41,66,0.26,4.12,,2,3,0,524,17,64,,,
buhlbo01,1954,1,ML1,NL,2,7,31,14,2,1,3,331,117,49,5,65,57,0.27,4,,5,2,0,505,8,54,,,
burdele01,1954,1,ML1,NL,15,14,38,32,13,4,0,714,224,73,17,62,79,0.25,2.76,,1,4,0,974,3,87,,,
burtsmo01,1954,1,PHA,AL,5,4,46,0,0,0,4,284,80,40,7,53,54,0.23,3.8,,7,8,0,413,30,45,,,
byrdha01,1954,1,NYA,AL,9,7,25,21,5,1,0,397,131,44,10,43,52,0.25,2.99,,5,7,0,567,0,56,,,
