Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/adamsba01.shtml"">Babe Adams</a>",PIT,44,110,2,3,3,51,32,25,5,8,7,6.136,4.886,1.609,0.88,-1.56
"<a href=""https://www.baseball-reference.com/players/a/aldrivi01.shtml"">Vic Aldridge</a>",PIT,32,570,10,13,1,204,100,86,7,73,61,4.074,3.831,1.458,0.84,1.07
"<a href=""https://www.baseball-reference.com/players/a/alexape01.shtml"">P. Alexander</a>",2,39,601,12,10,2,191,83,68,8,31,47,3.055,3.409,1.108,1.52,3.26
"<a href=""https://www.baseball-reference.com/players/b/baeched01.shtml"">Ed Baecht</a>",PHI,19,168,2,0,0,73,43,38,4,28,14,6.107,4.666,1.804,0.50,-0.21
"<a href=""https://www.baseball-reference.com/players/b/ballowi01.shtml"">Win Ballou</a>",SLA,28,462,11,10,2,186,99,82,12,71,59,4.792,4.427,1.669,0.83,0.29
"<a href=""https://www.baseball-reference.com/players/b/barfocl01.shtml"">C. Barfoot</a>",DET,34,94,1,2,2,42,27,17,4,9,7,4.883,4.880,1.628,0.78,-0.74
"<a href=""https://www.baseball-reference.com/players/b/barneje01.shtml"">Jesse Barnes</a>",BRO,33,474,10,11,1,204,104,92,6,35,29,5.241,3.643,1.513,0.83,-0.61
"<a href=""https://www.baseball-reference.com/players/b/barnevi01.shtml"">V. Barnes</a>",NY1,29,555,8,13,1,183,73,59,4,56,54,2.870,3.481,1.292,0.96,0.00
"<a href=""https://www.baseball-reference.com/players/b/baumgst01.shtml"">S. Baumgartner</a>",PHA,31,67,1,1,0,28,10,10,0,10,0,4.030,3.978,1.701,0.00,0.41
"<a href=""https://www.baseball-reference.com/players/b/beallwa01.shtml"">Walter Beall</a>",NYA,26,245,2,4,1,71,46,32,2,68,56,3.527,4.147,1.702,0.82,0.47
"<a href=""https://www.baseball-reference.com/players/b/bellhi01.shtml"">Hi Bell</a>",SLN,28,255,6,6,2,82,41,30,1,17,27,3.176,2.961,1.165,1.59,0.67
