Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/adamsba01.shtml"">Babe Adams</a>",PIT,25,66,0,2,0,40,25,17,1,3,11,6.955,1.838,1.955,3.67,-1.12
"<a href=""https://www.baseball-reference.com/players/a/altroni01.shtml"">Nick Altrock</a>",CHA,30,641,7,13,2,210,76,61,3,31,61,2.569,2.196,1.128,1.97,1.18
"<a href=""https://www.baseball-reference.com/players/a/amesre01.shtml"">Red Ames</a>",NY1,24,700,10,12,1,184,93,56,4,108,146,2.160,2.411,1.251,1.35,0.00
"<a href=""https://www.baseball-reference.com/players/b/bailebi01.shtml"">Bill Bailey</a>",SLA,19,145,4,1,0,39,16,13,0,15,17,2.421,2.157,1.117,1.13,0.86
"<a href=""https://www.baseball-reference.com/players/b/barbefr01.shtml"">F. Barberich</a>",BSN,25,37,1,1,0,19,10,8,0,5,1,5.838,3.100,1.946,0.20,-0.33
"<a href=""https://www.baseball-reference.com/players/b/bargecy01.shtml"">Cy Barger</a>",NYA,22,18,0,0,0,10,2,2,0,1,0,3.000,2.178,1.833,0.00,0.18
"<a href=""https://www.baseball-reference.com/players/b/barryed01.shtml"">Ed Barry</a>",BOS,24,52,0,1,0,13,6,4,1,5,6,2.077,2.963,1.038,1.20,0.35
"<a href=""https://www.baseball-reference.com/players/b/bartlbi01.shtml"">Bill Bartley</a>",PHA,22,169,0,1,0,44,22,14,0,19,16,2.237,2.636,1.118,0.84,0.60
"<a href=""https://www.baseball-reference.com/players/b/beebefr01.shtml"">Fred Beebe</a>",SLN,27,715,7,19,0,192,95,72,1,109,141,2.719,2.299,1.263,1.29,2.59
"<a href=""https://www.baseball-reference.com/players/b/beechro01.shtml"">Roy Beecher</a>",NY1,23,42,0,2,0,17,8,4,0,6,5,2.571,2.688,1.643,0.83,-0.18
"<a href=""https://www.baseball-reference.com/players/b/bellge01.shtml"">George Bell</a>",BRO,32,791,8,16,1,222,102,66,1,77,88,2.253,2.376,1.134,1.14,1.90
"<a href=""https://www.baseball-reference.com/players/b/bendech01.shtml"">Chief Bender</a>",PHA,23,658,16,8,3,185,67,50,1,34,112,2.052,1.640,.998,3.29,5.05
"<a href=""https://www.baseball-reference.com/players/b/bergehe01.shtml"">H. Berger</a>",CLE,25,262,3,3,0,74,35,29,0,20,50,2.989,1.689,1.076,2.50,0.80
"<a href=""https://www.baseball-reference.com/players/b/bernhbi01.shtml"">B. Bernhard</a>",CLE,36,126,0,4,0,58,32,15,0,11,19,3.214,2.074,1.643,1.73,-1.22
"<a href=""https://www.baseball-reference.com/players/b/boultja01.shtml"">Jake Boultes</a>",BSN,22,419,5,9,0,140,75,42,1,50,49,2.706,2.465,1.360,0.98,-0.83
"<a href=""https://www.baseball-reference.com/players/b/bradyki01.shtml"">King Brady</a>",PIT,26,6,0,0,0,2,1,0,0,1,0,.000,3.796,1.500,0.00,-0.01
"<a href=""https://www.baseball-reference.com/players/b/brockle01.shtml"">Lew Brockett</a>",NYA,26,139,1,2,0,58,36,32,1,26,13,6.216,3.348,1.813,0.50,-0.99
"<a href=""https://www.baseball-reference.com/players/b/brownbu01.shtml"">Buster Brown</a>",2,25,581,10,12,0,175,85,59,5,101,55,2.742,3.383,1.425,0.54,0.00
"<a href=""https://www.baseball-reference.com/players/b/brownmo01.shtml"">M. Brown</a>",CHN,30,699,20,6,3,180,51,36,2,40,107,1.391,1.792,.944,2.68,0.00
"<a href=""https://www.baseball-reference.com/players/b/burchfr01.shtml"">F. Burchell</a>",BOS,27,30,0,1,0,8,5,3,0,2,6,2.700,1.273,1.000,3.00,0.02
"<a href=""https://www.baseball-reference.com/players/c/camniho01.shtml"">H. Camnitz</a>",PIT,25,540,13,8,1,135,65,43,0,59,85,2.150,2.167,1.078,1.44,0.00
"<a href=""https://www.baseball-reference.com/players/c/campbbi01.shtml"">B. Campbell</a>",CIN,33,63,3,0,0,19,5,5,0,3,4,2.143,2.226,1.048,1.33,0.84
"<a href=""https://www.baseball-reference.com/players/c/castlro01.shtml"">R. Castleton</a>",NYA,21,48,1,1,0,11,6,5,1,3,3,2.812,3.261,.875,1.00,0.50
"<a href=""https://www.baseball-reference.com/players/c/chesbja01.shtml"">Jack Chesbro</a>",NYA,33,618,10,10,0,192,83,58,0,46,78,2.534,2.006,1.155,1.70,0.00
"<a href=""https://www.baseball-reference.com/players/c/clarkwa01.shtml"">W. Clarkson</a>",2,28,324,5,7,1,96,52,32,2,37,35,2.667,2.660,1.231,0.95,-0.23
