Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/b/bondto01.shtml"">Tommy Bond</a>",BSN,23,555&‌#8531;,43,19,0,543,206,121,8,24,155,1.961,2.480,1.021,6.46,14.32
"<a href=""https://www.baseball-reference.com/players/b/bradlge01.shtml"">George Bradley</a>",TRN,26,487,13,40,0,590,361,154,12,26,133,2.846,2.676,1.265,5.12,.00
"<a href=""https://www.baseball-reference.com/players/b/broutda01.shtml"">Dan Brouthers</a>",TRN,21,21,0,2,0,35,30,13,0,8,6,5.571,3.232,2.048,.75,-.80
"<a href=""https://www.baseball-reference.com/players/d/dorgami01.shtml"">Mike Dorgan</a>",SR1,25,12,0,0,0,13,6,3,0,2,8,2.250,1.936,1.250,4.00,.29
"<a href=""https://www.baseball-reference.com/players/f/foleycu01.shtml"">Curry Foley</a>",BSN,23,161&‌#8532;,9,9,0,175,111,45,1,15,57,2.505,2.404,1.175,3.80,-.76
"<a href=""https://www.baseball-reference.com/players/g/galvipu01.shtml"">Pud Galvin</a>",BFN,22,593,37,27,0,585,299,150,3,31,136,2.277,2.495,1.039,4.39,8.94
"<a href=""https://www.baseball-reference.com/players/g/gardngi01.shtml"">Gid Gardner</a>",TRN,20,14,0,2,0,27,21,9,0,0,3,5.786,2.397,1.929,&infin;,.00
"<a href=""https://www.baseball-reference.com/players/g/goldsfr01.shtml"">Fred Goldsmith</a>",TRN,23,63,2,4,0,61,38,11,0,1,31,1.571,1.802,.984,31.00,.00
"<a href=""https://www.baseball-reference.com/players/h/hankifr01.shtml"">Frank Hankinson</a>",CHN,23,230&‌#8532;,15,10,0,248,134,64,0,27,69,2.497,2.495,1.192,2.56,1.32
"<a href=""https://www.baseball-reference.com/players/l/larkite01.shtml"">Terry Larkin</a>",CHN,?,513&‌#8531;,31,23,0,514,277,139,5,30,142,2.437,2.487,1.060,4.73,4.96
"<a href=""https://www.baseball-reference.com/players/m/mathebo01.shtml"">Bobby Mathews</a>",PRO,27,189,12,6,1,194,85,48,4,26,90,2.286,2.466,1.164,3.46,.00
"<a href=""https://www.baseball-reference.com/players/m/mccorha01.shtml"">Harry McCormick</a>",SR1,23,457&‌#8531;,18,33,0,517,291,152,3,31,96,2.991,2.609,1.198,3.10,4.93
"<a href=""https://www.baseball-reference.com/players/m/mccorji01.shtml"">Jim McCormick</a>",CL2,22,546&‌#8531;,20,40,0,582,308,147,3,74,197,2.422,2.494,1.201,2.66,.00
"<a href=""https://www.baseball-reference.com/players/m/mcgunbi01.shtml"">Bill McGunnigle</a>",BFN,24,120,9,5,0,113,66,35,0,16,62,2.625,2.095,1.075,3.88,1.32
"<a href=""https://www.baseball-reference.com/players/m/mcmanpa01.shtml"">Pat McManus</a>",TRN,19,21,0,2,0,24,21,7,1,1,6,3.000,2.921,1.190,6.00,-.34
"<a href=""https://www.baseball-reference.com/players/m/mcveyca01.shtml"">Cal McVey</a>",CN1,29,14,0,2,0,34,23,13,1,2,7,8.357,3.018,2.571,3.50,-.83
"<a href=""https://www.baseball-reference.com/players/m/mitchbo01.shtml"">Bobby Mitchell</a>",CL2,23,194&‌#8532;,7,15,0,236,153,71,1,42,90,3.283,2.537,1.428,2.14,-.48
"<a href=""https://www.baseball-reference.com/players/n/neaglja01.shtml"">Jack Neagle</a>",CN1,21,13,0,1,0,13,12,5,0,5,4,3.462,3.278,1.385,.80,.00
"<a href=""https://www.baseball-reference.com/players/p/purcebl01.shtml"">Blondie Purcell</a>",2,25,197&‌#8532;,4,17,0,272,180,83,1,21,31,3.779,2.806,1.482,1.48,.00
"<a href=""https://www.baseball-reference.com/players/r/richmle01.shtml"">Lee Richmond</a>",BSN,22,9,1,0,0,4,6,2,0,1,11,2.000,.686,.556,11.00,-.02
"<a href=""https://www.baseball-reference.com/players/s/salisha01.shtml"">Harry Salisbury</a>",TRN,24,89,4,6,0,103,72,22,0,11,31,2.225,2.429,1.281,2.82,-.40
"<a href=""https://www.baseball-reference.com/players/t/tyngji01.shtml"">Jim Tyng</a>",BSN,23,27,1,2,0,35,25,15,0,6,7,5.000,2.879,1.519,1.17,-.53
"<a href=""https://www.baseball-reference.com/players/w/wardjo01.shtml"">John Ward</a>",PRO,19,587,47,19,1,571,270,140,5,36,239,2.147,2.212,1.034,6.64,7.33
"<a href=""https://www.baseball-reference.com/players/w/wheelha01.shtml"">Harry Wheeler</a>",CN1,21,1,0,1,0,6,10,9,0,4,0,81.000,8.465,10.000,.00,.00
"<a href=""https://www.baseball-reference.com/players/w/whitewi01.shtml"">Will White</a>",CN1,24,680,43,31,0,676,404,150,10,68,232,1.985,2.548,1.094,3.41,3.81
