Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/adamsac01.shtml"">Ace Adams</a>",NY1,35,339,11,9,15,109,55,43,7,44,39,3.425,3.756,1.354,0.89,1.31
"<a href=""https://www.baseball-reference.com/players/a/andrena01.shtml"">Nate Andrews</a>",BSN,31,413,7,12,0,160,75,70,9,52,26,4.576,4.121,1.540,0.50,0.61
"<a href=""https://www.baseball-reference.com/players/a/applepe01.shtml"">P. Appleton</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteapplepe01"" style=""display:none;""></input><label for=""footnoteapplepe01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivapplepe01"">SLA, WS1</div></span>",41,71,1,0,1,19,13,12,1,18,13,4.563,4.331,1.563,0.72,-0.01
"<a href=""https://www.baseball-reference.com/players/b/bagbyji02.shtml"">Jim Bagby</a>",CLE,28,478,8,11,1,171,70,66,3,59,38,3.728,3.379,1.444,0.64,0.84
"<a href=""https://www.baseball-reference.com/players/b/bainlo01.shtml"">Loren Bain</a>",NY1,22,24,0,0,0,10,7,7,1,4,1,7.875,5.008,1.750,0.25,-0.22
"<a href=""https://www.baseball-reference.com/players/b/barredi01.shtml"">Dick Barrett</a>",PHI,38,572,8,20,1,217,129,114,11,92,72,5.381,3.814,1.621,0.78,-0.51
"<a href=""https://www.baseball-reference.com/players/b/barrefr01.shtml"">F. Barrett</a>",BOS,31,258,4,3,3,77,30,25,0,29,35,2.616,2.746,1.233,1.21,1.38
"<a href=""https://www.baseball-reference.com/players/b/barrere01.shtml"">Red Barrett</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebarrere01"" style=""display:none;""></input><label for=""footnotebarrere01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbarrere01"">BSN, SLN</div></span>",30,854,23,12,2,287,106,95,18,54,76,3.004,3.382,1.198,1.41,5.30
"<a href=""https://www.baseball-reference.com/players/b/beckbo01.shtml"">B. Beck</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebeckbo01"" style=""display:none;""></input><label for=""footnotebeckbo01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbeckbo01"">CIN, PIT</div></span>",40,332,8,5,1,96,40,33,2,26,29,2.684,2.943,1.102,1.12,2.10
"<a href=""https://www.baseball-reference.com/players/b/bentoal01.shtml"">Al Benton</a>",DET,34,575,13,8,3,175,68,43,7,63,76,2.019,3.176,1.242,1.21,3.36
