Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/b/bentlcy01.shtml"">Cy Bentley</a>",MID,21,432,2,15,0,259,253,97,4,12,5,6.062,3.988,1.882,0.42,-3.25
"<a href=""https://www.baseball-reference.com/players/b/brainas01.shtml"">Asa Brainard</a>",2,?,261,2,9,0,161,157,61,1,5,1,6.310,3.761,1.908,0.20,-1.90
"<a href=""https://www.baseball-reference.com/players/b/brittji01.shtml"">Jim Britt</a>",BR2,?,1008,9,28,0,568,473,169,6,21,13,4.527,3.825,1.753,0.62,0.31
"<a href=""https://www.baseball-reference.com/players/b/buttefr01.shtml"">F. Buttery</a>",MID,21,177,3,2,0,94,78,28,1,3,5,4.271,3.704,1.644,1.67,-0.17
"<a href=""https://www.baseball-reference.com/players/c/clintji01.shtml"">Jim Clinton</a>",BR1,21,27,0,1,0,25,36,7,1,1,1,7.000,4.518,2.889,1.00,-0.42
"<a href=""https://www.baseball-reference.com/players/c/cummica01.shtml"">C. Cummings</a>",NY2,23,1491,33,20,0,604,347,166,2,31,45,3.006,3.570,1.278,1.45,8.48
"<a href=""https://www.baseball-reference.com/players/f/fishech01.shtml"">C. Fisher</a>",BL1,27,330,10,1,1,93,78,22,0,11,20,1.800,3.438,.945,1.82,3.01
"<a href=""https://www.baseball-reference.com/players/m/malonma01.shtml"">M. Malone</a>",BR1,?,54,0,2,0,51,50,21,1,4,0,10.500,4.562,3.056,0.00,-0.74
"<a href=""https://www.baseball-reference.com/players/m/martiph01.shtml"">P. Martin</a>",2,26,367,3,9,0,213,165,57,1,11,5,4.193,3.778,1.831,0.45,-1.02
"<a href=""https://www.baseball-reference.com/players/m/mathebo01.shtml"">B. Mathews</a>",BL1,20,1218,25,18,0,480,356,144,3,52,57,3.192,3.713,1.310,1.10,0.00
"<a href=""https://www.baseball-reference.com/players/m/mcbridi01.shtml"">Dick McBride</a>",PH1,25,1258,30,14,0,508,349,133,3,26,44,2.855,3.580,1.273,1.69,4.42
"<a href=""https://www.baseball-reference.com/players/m/mcderjo01.shtml"">J. McDermott</a>",BR1,?,189,0,7,0,143,144,57,3,14,1,8.143,4.513,2.492,0.07,-2.23
"<a href=""https://www.baseball-reference.com/players/m/mcmuljo01.shtml"">J. McMullin</a>",NY2,23,45,1,0,1,18,15,6,0,2,1,3.600,3.769,1.333,0.50,-0.03
"<a href=""https://www.baseball-reference.com/players/o/o'rou01.shtml""> O'Rourke</a>",BR1,?,27,0,1,0,16,15,8,0,2,0,8.000,4.096,2.000,0.00,-0.18
"<a href=""https://www.baseball-reference.com/players/p/paborch01.shtml"">C. Pabor</a>",CL1,25,54,1,1,0,20,15,8,0,3,0,4.000,4.042,1.278,0.00,0.44
"<a href=""https://www.baseball-reference.com/players/p/prattal01.shtml"">Al Pratt</a>",CL1,24,317,2,9,0,150,133,68,3,14,7,5.792,4.121,1.552,0.50,-0.28
"<a href=""https://www.baseball-reference.com/players/s/spaldal01.shtml"">Al Spalding</a>",BS1,21,1214,38,8,0,417,224,83,0,27,28,1.846,3.578,1.097,1.04,11.27
"<a href=""https://www.baseball-reference.com/players/s/stearbi01.shtml"">Bill Stearns</a>",WS4,19,297,0,11,0,193,190,68,2,3,2,6.182,3.770,1.980,0.67,-0.53
"<a href=""https://www.baseball-reference.com/players/w/woltery01.shtml"">R. Wolters</a>",CL1,30,226,3,6,0,115,106,51,3,7,4,6.093,4.170,1.619,0.57,-0.81
"<a href=""https://www.baseball-reference.com/players/w/wrighha01.shtml"">Harry Wright</a>",BS1,37,77,1,0,4,26,12,6,0,0,1,2.104,3.420,1.013,&infin;,0.86
"<a href=""https://www.baseball-reference.com/players/z/zettlge01.shtml"">G. Zettlein</a>",2,27,789,15,16,1,313,194,75,3,14,25,2.567,3.633,1.243,1.79,4.52
