Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotji01.shtml"">Jim Abbott</a>",CAL,28,142,2,18,0,171,128,118,23,78,58,7.479,6.069,1.754,.74,-2.09
"<a href=""https://www.baseball-reference.com/players/a/abbotky01.shtml"">Kyle Abbott</a>",CAL,28,4,0,1,0,10,9,9,1,5,3,20.250,7.426,3.750,.60,-.59
"<a href=""https://www.baseball-reference.com/players/a/acrema01.shtml"">Mark Acre</a>",OAK,27,25,1,3,2,38,17,17,4,9,18,6.120,4.478,1.880,2.00,.06
"<a href=""https://www.baseball-reference.com/players/a/adamsjo02.shtml"">Joel Adamson</a>",FLO,24,11,0,0,0,18,9,9,1,7,7,7.364,4.571,2.273,1.00,-.14
"<a href=""https://www.baseball-reference.com/players/a/adamste01.shtml"">Terry Adams</a>",CHN,23,101,3,6,4,84,36,33,6,49,78,2.941,3.853,1.317,1.59,.00
"<a href=""https://www.baseball-reference.com/players/a/adamswi02.shtml"">Willie Adams</a>",OAK,23,76&‌#8531;,3,4,0,76,39,34,11,23,68,4.009,3.963,1.297,2.96,1.82
"<a href=""https://www.baseball-reference.com/players/a/aguilri01.shtml"">Rick Aguilera</a>",MIN,34,111&‌#8531;,8,6,0,124,69,67,20,27,83,5.416,4.631,1.356,3.07,.00
"<a href=""https://www.baseball-reference.com/players/a/alberjo01.shtml"">Jose Alberro</a>",TEX,27,9&‌#8531;,0,1,0,14,6,6,1,7,2,5.786,6.330,2.250,.29,.04
"<a href=""https://www.baseball-reference.com/players/a/aldremi01.shtml"">Mike Aldrete</a>",NYA,35,1,0,0,0,1,0,0,0,0,0,.000,3.172,1.000,&infin;,.04
"<a href=""https://www.baseball-reference.com/players/a/aldresc01.shtml"">Scott Aldred</a>",2,28,165&‌#8531;,6,9,0,194,125,114,29,68,111,6.206,5.201,1.585,1.63,.00
"<a href=""https://www.baseball-reference.com/players/a/alexama02.shtml"">Manny Alexander</a>",BAL,25,0&‌#8532;,0,0,0,1,5,5,1,4,0,67.500,54.117,7.500,.00,-.14
"<a href=""https://www.baseball-reference.com/players/a/alstoga01.shtml"">Garvin Alston</a>",COL,24,6,1,0,0,9,6,6,1,3,5,9.000,4.541,2.000,1.67,-.10
"<a href=""https://www.baseball-reference.com/players/a/alvarta01.shtml"">Tavo Alvarez</a>",MON,24,21,2,1,0,19,10,7,0,12,9,3.000,3.881,1.476,.75,.41
"<a href=""https://www.baseball-reference.com/players/a/alvarwi01.shtml"">Wilson Alvarez</a>",CHA,26,217&‌#8531;,15,10,0,216,106,102,21,97,181,4.224,4.043,1.440,1.87,4.34
"<a href=""https://www.baseball-reference.com/players/a/anderbr02.shtml"">Brian Anderson</a>",CLE,24,51&‌#8531;,3,1,0,58,29,28,9,14,21,4.909,5.562,1.403,1.50,.71
