playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
abernte02,1969,1,CHN,NL,4,3,56,0,0,0,3,256,75,30,8,42,55,0.23,3.16,11,5,1,1,374,20,38,,,
adamsmi01,1969,1,BAL,AL,0,1,6,0,0,0,0,24,10,4,0,6,2,0.35,4.5,2,1,0,0,38,1,4,,,
aguirha01,1969,1,CHN,NL,1,0,41,0,0,0,1,135,45,13,2,12,19,0.26,2.6,1,1,2,0,186,9,13,,,
akerja01,1969,1,SE1,AL,0,2,15,0,0,0,3,50,25,14,4,13,7,0.35,7.56,4,0,1,0,85,9,15,,,
akerja01,1969,2,NYA,AL,8,4,38,0,0,0,11,197,51,15,4,22,40,0.21,2.06,5,0,4,0,263,23,17,,,
allenll01,1969,1,CAL,AL,0,1,4,1,0,0,0,30,5,6,1,10,5,0.14,5.4,0,0,0,0,44,0,7,,,
arlinst01,1969,1,SDN,NL,0,1,4,1,0,0,0,32,13,11,2,9,9,0.28,9.28,1,5,0,0,54,2,11,,,
arrigge01,1969,1,CIN,NL,4,7,20,16,1,0,0,273,89,42,9,61,35,0.25,4.15,3,11,8,0,422,0,50,,,
bahnsst01,1969,1,NYA,AL,9,16,40,33,5,2,1,662,222,94,28,90,130,0.26,3.83,9,10,0,0,956,4,102,,,
baldsja01,1969,1,SDN,NL,7,2,61,0,0,0,1,231,80,41,7,29,67,0.26,4.79,6,7,2,0,340,24,45,,,
baldwda01,1969,1,WS2,AL,2,4,43,0,0,0,4,200,57,30,4,34,51,0.23,4.05,2,0,5,1,287,12,31,,,
baneydi01,1969,1,SE1,AL,1,0,9,1,0,0,0,56,21,8,2,7,9,0.29,3.86,1,0,0,0,81,3,8,,,
barbest01,1969,1,SE1,AL,4,7,25,16,0,0,0,259,99,46,9,48,69,0.29,4.8,2,6,1,0,393,5,51,,,
batesdi01,1969,1,SE1,AL,0,0,1,0,0,0,0,5,3,5,1,3,3,0.37,27,0,0,0,0,11,0,5,,,
beenefr01,1969,1,BAL,AL,0,0,2,0,0,0,0,8,2,0,0,1,0,0.2,0,0,0,0,0,11,0,0,,,
belinbo01,1969,1,PIT,NL,0,3,8,3,0,0,0,53,17,9,1,14,15,0.26,4.58,2,0,2,2,83,4,10,,,
bellga01,1969,1,SE1,AL,2,6,13,11,1,1,2,184,76,32,8,34,30,0.3,4.7,8,4,2,0,290,2,40,,,
bellga01,1969,2,CHA,AL,0,0,23,2,0,0,0,116,48,27,8,23,26,0.3,6.28,2,3,2,0,184,10,27,,,
bertafr01,1969,1,WS2,AL,1,3,14,5,0,0,0,107,43,26,8,23,25,0.29,6.56,0,2,0,1,173,3,30,,,
bertafr01,1969,2,BAL,AL,0,0,3,0,0,0,0,18,1,0,0,3,5,0.06,0,0,0,0,0,20,0,0,,,
billija01,1969,1,HOU,NL,6,7,52,4,1,0,2,248,92,39,12,29,71,0.29,4.25,11,2,5,0,358,22,45,,,
blasiwa01,1969,1,HOU,NL,0,5,26,5,0,0,1,156,66,31,4,33,33,0.3,5.37,7,9,2,0,258,4,47,,,
blassst01,1969,1,PIT,NL,16,10,38,32,9,0,2,630,207,104,21,86,147,0.25,4.46,3,5,6,2,907,4,119,,,
bluevi01,1969,1,OAK,AL,1,1,12,4,0,0,1,126,49,31,13,18,24,0.29,6.64,1,1,0,0,191,1,34,,,
bolinbo01,1969,1,SFN,NL,7,7,30,22,2,0,0,439,149,72,17,49,102,0.26,4.43,3,5,7,0,639,3,86,,,
boozejo01,1969,1,PHI,NL,1,2,46,2,0,0,6,246,91,39,12,36,47,0.28,4.28,5,6,0,0,362,19,46,,,
borbope01,1969,1,CAL,AL,2,3,22,0,0,0,0,123,55,28,5,11,20,0.32,6.15,2,2,4,0,189,6,31,,,
bosmadi01,1969,1,WS2,AL,14,5,31,26,5,2,1,579,156,47,11,39,99,0.22,2.19,0,2,2,1,762,3,59,,,
bosweda01,1969,1,MIN,AL,20,12,39,38,10,0,0,769,215,92,18,99,190,0.22,3.23,2,10,8,0,1070,0,105,,,
boutoji01,1969,1,SE1,AL,2,1,57,1,0,0,1,276,77,40,12,38,68,0.21,3.91,4,8,2,2,395,18,48,,,
boutoji01,1969,2,HOU,NL,0,2,16,1,1,0,1,92,32,14,1,12,32,0.26,4.11,1,4,2,0,135,7,16,,,
boydga01,1969,1,CLE,AL,0,2,8,3,0,0,0,33,8,11,1,14,9,0.2,9,1,3,0,1,55,1,11,,,
brabege01,1969,1,SE1,AL,13,14,40,29,7,1,0,607,193,98,26,103,139,0.25,4.36,7,6,13,0,891,3,111,,,
bradlto01,1969,1,CAL,AL,0,1,3,0,0,0,0,6,9,6,1,0,2,0.6,27,0,0,0,0,15,1,9,,,
brandbu01,1969,1,SE1,AL,0,1,8,1,0,0,0,45,15,14,4,16,10,0.25,8.4,1,3,2,1,78,2,15,,,
brandbu01,1969,2,MIN,AL,0,0,3,0,0,0,0,10,5,1,1,3,1,0.35,2.7,2,0,0,0,20,0,3,,,
brettke01,1969,1,BOS,AL,2,3,8,8,0,0,0,118,41,23,6,22,23,0.27,5.26,1,0,3,1,178,0,24,,,
breweji01,1969,1,LAN,NL,7,6,59,0,0,0,20,265,71,25,5,41,92,0.22,2.55,6,3,4,2,372,43,30,,,
brilene01,1969,1,SLN,NL,15,13,36,33,10,3,0,683,218,89,17,63,126,0.25,3.52,7,9,2,1,954,1,104,,,
