Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/anderda01.shtml"">Dave Anderson</a>",PHI,20,23,0,1,0,30,21,19,2,14,8,7.435,5.251,1.913,.57,-.11
"<a href=""https://www.baseball-reference.com/players/a/anderva01.shtml"">Varney Anderson</a>",IN3,23,12,0,1,0,13,10,6,0,9,3,4.500,4.090,1.833,.33,-.05
"<a href=""https://www.baseball-reference.com/players/b/bakelje01.shtml"">Jersey Bakley</a>",CL4,25,304&‌#8531;,12,22,0,296,169,100,9,106,105,2.957,3.758,1.321,.99,.00
"<a href=""https://www.baseball-reference.com/players/b/baldwma01.shtml"">Mark Baldwin</a>",CL6,25,513&‌#8532;,27,34,1,458,358,206,9,274,368,3.609,3.360,1.425,1.34,.00
"<a href=""https://www.baseball-reference.com/players/b/batesjo01.shtml"">John Bates</a>",KC2,21,8,0,1,0,15,14,12,0,5,3,13.500,4.007,2.500,.60,-.33
"<a href=""https://www.baseball-reference.com/players/b/bausege01.shtml"">George Bausewine</a>",PH4,20,55&‌#8531;,1,4,0,64,46,24,1,33,18,3.904,3.946,1.753,.55,-.45
"<a href=""https://www.baseball-reference.com/players/b/beamal01.shtml"">Alex Beam</a>",PIT,19,18,1,1,0,11,16,13,0,15,1,6.500,5.842,1.444,.07,-.21
"<a href=""https://www.baseball-reference.com/players/b/beatied01.shtml"">Ed Beatin</a>",CL4,22,317&‌#8532;,20,15,0,316,179,126,12,141,126,3.570,4.070,1.439,.89,5.72
"<a href=""https://www.baseball-reference.com/players/b/bellch01.shtml"">Charlie Bell</a>",KC2,20,9,1,0,0,4,5,1,0,3,3,1.000,3.080,.778,1.00,.00
"<a href=""https://www.baseball-reference.com/players/b/bishobi01.shtml"">Bill Bishop</a>",CHN,24,3,0,0,2,6,13,6,0,6,1,18.000,7.382,4.000,.17,-.60
"<a href=""https://www.baseball-reference.com/players/b/boylehe01.shtml"">Henry Boyle</a>",IN3,28,378&‌#8532;,21,23,0,422,224,165,14,95,97,3.922,3.691,1.365,1.02,5.85
"<a href=""https://www.baseball-reference.com/players/b/buffich01.shtml"">Charlie Buffinton</a>",PHI,28,380,28,16,0,390,196,137,10,121,153,3.245,3.528,1.345,1.26,11.29
"<a href=""https://www.baseball-reference.com/players/b/burdibi01.shtml"">Bill Burdick</a>",IN3,29,45&‌#8532;,2,4,1,58,42,23,7,13,16,4.533,5.190,1.555,1.23,-.50
"<a href=""https://www.baseball-reference.com/players/c/carutbo01.shtml"">Bob Caruthers</a>",BR3,25,445,40,11,1,444,215,155,16,104,118,3.135,3.645,1.231,1.13,6.43
"<a href=""https://www.baseball-reference.com/players/c/caseyda01.shtml"">Dan Casey</a>",PHI,26,152&‌#8532;,6,10,0,170,92,64,4,72,65,3.773,3.815,1.585,.90,3.25
"<a href=""https://www.baseball-reference.com/players/c/chambel01.shtml"">Ice Box Chamberlain</a>",SL4,21,421&‌#8532;,32,15,1,376,220,139,18,165,202,2.967,3.753,1.283,1.22,.00
"<a href=""https://www.baseball-reference.com/players/c/clarkjo01.shtml"">John Clarkson</a>",BSN,27,620,49,19,1,589,280,188,16,203,284,2.729,3.406,1.277,1.40,16.69
"<a href=""https://www.baseball-reference.com/players/c/colemjo01.shtml"">John Coleman</a>",PH4,26,34,3,2,0,38,23,11,2,14,6,2.912,4.653,1.529,.43,.12
"<a href=""https://www.baseball-reference.com/players/c/comisch01.shtml"">Charlie Comiskey</a>",SL4,29,0&‌#8531;,0,0,0,0,0,0,0,0,0,.000,3.080,.000,&infin;,.02
