Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/allenjo02.shtml"">Johnny Allen</a>",CLE,34,175,9,7,0,199,96,89,9,56,79,4.577,3.636,1.457,1.41,0.00
"<a href=""https://www.baseball-reference.com/players/a/andrena01.shtml"">Nate Andrews</a>",SLN,25,16,1,2,0,24,14,12,0,12,6,6.750,4.271,2.250,0.50,-0.47
"<a href=""https://www.baseball-reference.com/players/a/applepe01.shtml"">P. Appleton</a>",WS1,35,102&frac23;,5,10,6,104,62,52,7,48,50,4.558,4.169,1.481,1.04,0.52
"<a href=""https://www.baseball-reference.com/players/a/aukerel01.shtml"">Elden Auker</a>",BOS,28,151,9,10,0,183,108,90,13,61,43,5.364,4.650,1.616,0.70,-0.35
"<a href=""https://www.baseball-reference.com/players/b/bagbyji02.shtml"">Jim Bagby</a>",BOS,22,80,5,5,0,119,66,63,7,36,35,7.088,4.379,1.938,0.97,-0.85
"<a href=""https://www.baseball-reference.com/players/b/barnige01.shtml"">G. Barnicle</a>",BSN,21,18&frac13;,2,2,0,16,11,10,1,8,15,4.909,3.351,1.309,1.88,-0.09
"<a href=""https://www.baseball-reference.com/players/b/barrefr01.shtml"">F. Barrett</a>",SLN,25,1&frac23;,0,1,0,1,1,1,0,1,3,5.400,1.247,1.200,3.00,-0.01
"<a href=""https://www.baseball-reference.com/players/b/barrere01.shtml"">Red Barrett</a>",CIN,24,5&frac13;,0,0,0,5,1,1,0,1,1,1.688,3.163,1.125,1.00,0.22
"<a href=""https://www.baseball-reference.com/players/b/bassdi01.shtml"">Dick Bass</a>",WS1,32,8,0,1,0,7,6,6,0,6,1,6.750,4.713,1.625,0.17,-0.08
"<a href=""https://www.baseball-reference.com/players/b/bauerru01.shtml"">Russ Bauers</a>",PIT,25,53&frac23;,2,4,1,46,27,20,4,25,12,3.354,5.002,1.323,0.48,0.57
"<a href=""https://www.baseball-reference.com/players/b/beckbo01.shtml"">B. Beck</a>",PHI,34,182&frac23;,7,14,3,203,104,96,11,64,77,4.730,3.891,1.462,1.20,1.07
"<a href=""https://www.baseball-reference.com/players/b/beckmbi01.shtml"">B. Beckmann</a>",PHA,31,155&frac13;,7,11,0,198,104,93,15,41,20,5.388,4.713,1.539,0.49,0.85
"<a href=""https://www.baseball-reference.com/players/b/bentoal01.shtml"">Al Benton</a>",DET,28,150,6,8,5,182,94,76,11,58,67,4.560,4.104,1.600,1.16,0.87
"<a href=""https://www.baseball-reference.com/players/b/bildiem01.shtml"">E. Bildilli</a>",SLA,26,19,1,1,0,21,8,7,0,6,8,3.316,3.072,1.421,1.33,0.68
"<a href=""https://www.baseball-reference.com/players/b/blantcy01.shtml"">Cy Blanton</a>",PIT,30,42,2,3,0,45,23,20,4,10,11,4.286,4.391,1.310,1.10,0.34
"<a href=""https://www.baseball-reference.com/players/b/bowmabo01.shtml"">Bob Bowman</a>",SLN,28,169&frac13;,13,5,9,141,54,49,8,60,78,2.604,3.753,1.187,1.30,5.17
