Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abernte01.shtml"">T. Abernathy</a>",PHA,21,44,0,3,0,24,22,21,0,13,10,12.886,3.447,2.523,0.77,-1.11
"<a href=""https://www.baseball-reference.com/players/a/adamsac01.shtml"">Ace Adams</a>",NY1,33,421,11,7,9,121,50,44,5,55,46,2.822,3.408,1.254,0.84,3.10
"<a href=""https://www.baseball-reference.com/players/a/adkinde01.shtml"">Dewey Adkins</a>",WS1,25,31,0,0,0,9,3,3,0,5,1,2.613,3.819,1.355,0.20,0.21
"<a href=""https://www.baseball-reference.com/players/a/alderda01.shtml"">D. Alderson</a>",CHN,25,42,0,1,0,21,12,10,2,3,4,6.429,4.204,1.714,1.33,-0.54
"<a href=""https://www.baseball-reference.com/players/a/allenjo02.shtml"">Johnny Allen</a>",2,38,237,6,4,3,79,37,32,7,39,39,3.646,3.969,1.494,1.00,0.49
"<a href=""https://www.baseball-reference.com/players/a/andrena01.shtml"">Nate Andrews</a>",BSN,29,851,14,20,0,253,100,81,11,75,80,2.570,3.090,1.156,1.07,5.14
"<a href=""https://www.baseball-reference.com/players/a/arntzor01.shtml"">Orie Arntzen</a>",PHA,33,493,4,13,0,172,85,77,5,69,66,4.217,3.167,1.467,0.96,0.33
"<a href=""https://www.baseball-reference.com/players/b/bagbyji02.shtml"">Jim Bagby</a>",CLE,26,819,17,14,1,248,112,94,15,80,70,3.099,3.473,1.201,0.88,0.66
"<a href=""https://www.baseball-reference.com/players/b/barnere02.shtml"">Rex Barney</a>",BRO,18,136,2,2,0,36,32,32,4,41,23,6.353,5.190,1.699,0.56,-0.86
"<a href=""https://www.baseball-reference.com/players/b/barredi01.shtml"">Dick Barrett</a>",2,36,643,10,13,1,189,81,69,7,79,85,2.897,3.115,1.250,1.08,4.09
"<a href=""https://www.baseball-reference.com/players/b/barrere01.shtml"">Red Barrett</a>",BSN,28,765,12,18,0,240,107,90,11,63,64,3.176,3.192,1.188,1.02,2.43
"<a href=""https://www.baseball-reference.com/players/b/beckbo01.shtml"">B. Beck</a>",PHI,38,41,0,0,0,24,15,15,1,5,3,9.878,3.444,2.122,0.60,-0.32
"<a href=""https://www.baseball-reference.com/players/b/beggsjo01.shtml"">Joe Beggs</a>",CIN,32,346,7,6,6,121,38,30,0,25,28,2.341,2.572,1.266,1.12,1.83
"<a href=""https://www.baseball-reference.com/players/b/bessehe01.shtml"">Herman Besse</a>",PHA,31,49,1,1,0,18,6,6,2,4,3,3.306,4.253,1.347,0.75,0.27
"<a href=""https://www.baseball-reference.com/players/b/bithohi01.shtml"">Hi Bithorn</a>",CHN,27,749,18,12,2,227,79,72,8,65,86,2.595,2.900,1.170,1.32,5.50
"<a href=""https://www.baseball-reference.com/players/b/blackdo01.shtml"">Don Black</a>",PHA,26,624,6,16,1,193,105,97,8,110,65,4.197,3.794,1.457,0.59,0.89
