Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbeybe01.shtml"">Bert Abbey</a>",WAS,22,195&‌#8532;,5,18,1,207,139,75,7,76,77,3.450,3.266,1.446,1.01,.00
"<a href=""https://www.baseball-reference.com/players/b/baldwma01.shtml"">Mark Baldwin</a>",PIT,28,440&‌#8531;,26,27,0,447,272,170,11,194,157,3.475,3.306,1.456,.81,.00
"<a href=""https://www.baseball-reference.com/players/b/breitte01.shtml"">Theodore Breitenstein</a>",SLN,23,282&‌#8531;,9,19,0,280,192,147,8,148,126,4.686,3.504,1.516,.85,2.01
"<a href=""https://www.baseball-reference.com/players/b/buffich01.shtml"">Charlie Buffinton</a>",BLN,31,97,4,8,0,130,88,53,4,46,30,4.918,3.683,1.814,.65,-.87
"<a href=""https://www.baseball-reference.com/players/c/campki01.shtml"">Kid Camp</a>",PIT,22,23,0,1,0,31,23,16,4,9,6,6.261,5.189,1.739,.67,-.60
"<a href=""https://www.baseball-reference.com/players/c/carseki01.shtml"">Kid Carsey</a>",PHI,19,317&‌#8532;,19,16,1,317,160,110,6,104,76,3.116,3.168,1.325,.73,4.44
"<a href=""https://www.baseball-reference.com/players/c/carutbo01.shtml"">Bob Caruthers</a>",SLN,28,101&‌#8532;,2,10,1,131,75,66,10,27,21,5.843,3.950,1.554,.78,.26
"<a href=""https://www.baseball-reference.com/players/c/chambel01.shtml"">Ice Box Chamberlain</a>",CIN,24,406&‌#8531;,19,23,0,391,230,153,8,170,169,3.389,3.082,1.381,.99,3.26
"<a href=""https://www.baseball-reference.com/players/c/clarkda02.shtml"">Dad Clarkson</a>",BSN,25,7,1,0,0,5,1,1,0,3,0,1.286,3.941,1.143,.00,.00
"<a href=""https://www.baseball-reference.com/players/c/clarkjo01.shtml"">John Clarkson</a>",2,30,389,25,16,1,350,197,107,8,132,139,2.476,3.040,1.239,1.05,5.68
"<a href=""https://www.baseball-reference.com/players/c/clausfr01.shtml"">Fritz Clausen</a>",LS3,23,200,9,13,0,181,120,68,3,87,94,3.060,3.047,1.340,1.08,.00
"<a href=""https://www.baseball-reference.com/players/c/cobbge01.shtml"">George Cobb</a>",BLN,26,394&‌#8531;,10,37,0,495,333,213,21,140,159,4.861,3.287,1.610,1.14,-1.79
"<a href=""https://www.baseball-reference.com/players/c/craneed01.shtml"">Ed Crane</a>",NY1,30,364&‌#8531;,16,24,1,350,276,154,10,189,174,3.804,3.384,1.479,.92,.00
"<a href=""https://www.baseball-reference.com/players/c/cuppyni01.shtml"">Nig Cuppy</a>",CL4,22,376,28,13,1,333,175,105,9,121,103,2.513,3.199,1.207,.85,6.76
"<a href=""https://www.baseball-reference.com/players/d/daubda01.shtml"">Dan Daub</a>",CIN,24,25,1,2,0,23,10,8,0,13,7,2.880,3.301,1.440,.54,.61
"<a href=""https://www.baseball-reference.com/players/d/daviege01.shtml"">George Davies</a>",CL4,24,215&‌#8532;,10,16,0,201,112,62,4,69,95,2.587,2.767,1.252,1.38,2.72
"<a href=""https://www.baseball-reference.com/players/d/demilha01.shtml"">Harry DeMiller</a>",CHN,24,24,1,1,0,29,22,17,1,16,15,6.375,3.613,1.875,.94,-.46
"<a href=""https://www.baseball-reference.com/players/d/dolanjo01.shtml"">John Dolan</a>",WAS,24,37,2,2,0,39,26,18,0,15,8,4.378,3.223,1.459,.53,.01
"<a href=""https://www.baseball-reference.com/players/d/duryeje01.shtml"">Jesse Duryea</a>",2,32,195,5,16,2,157,96,61,9,71,69,2.815,3.369,1.169,.97,3.59
"<a href=""https://www.baseball-reference.com/players/d/dwyerfr01.shtml"">Frank Dwyer</a>",2,24,332&‌#8531;,22,18,1,352,159,109,7,73,63,2.952,3.017,1.279,.86,-.70
"<a href=""https://www.baseball-reference.com/players/e/eastoja01.shtml"">Jack Easton</a>",SLN,27,31,2,0,0,38,31,22,2,26,4,6.387,5.250,2.065,.15,-.55
"<a href=""https://www.baseball-reference.com/players/e/ehretre01.shtml"">Red Ehret</a>",PIT,23,316,16,20,0,290,183,93,7,83,101,2.649,2.762,1.180,1.22,1.72
"<a href=""https://www.baseball-reference.com/players/e/elyha01.shtml"">Harry Ely</a>",BLN,23,7,0,1,0,14,9,6,0,7,0,7.714,4.277,3.000,.00,-.21
"<a href=""https://www.baseball-reference.com/players/e/esperdu01.shtml"">Duke Esper</a>",2,24,178&‌#8532;,13,6,1,189,97,72,2,72,50,3.627,3.295,1.461,.69,.00
"<a href=""https://www.baseball-reference.com/players/f/fersoal01.shtml"">Alex Ferson</a>",BLN,25,9,0,1,0,17,13,11,1,6,8,11.000,3.863,2.556,1.33,-.40
"<a href=""https://www.baseball-reference.com/players/f/fitzgjo01.shtml"">Warren Fitzgerald</a>",LS3,24,34,1,3,0,45,27,16,2,11,3,4.235,3.926,1.647,.27,-.35
"<a href=""https://www.baseball-reference.com/players/f/foremfr01.shtml"">Frank Foreman</a>",2,29,85,2,7,0,93,68,41,7,48,21,4.341,4.577,1.659,.44,.00
"<a href=""https://www.baseball-reference.com/players/f/foutzda01.shtml"">Dave Foutz</a>",BRO,35,203,13,8,1,210,119,77,3,63,56,3.414,3.037,1.345,.89,.80
"<a href=""https://www.baseball-reference.com/players/g/galvipu01.shtml"">Pud Galvin</a>",2,35,188,10,12,0,206,98,61,4,54,56,2.920,3.012,1.383,1.04,3.18
"<a href=""https://www.baseball-reference.com/players/g/gastrha01.shtml"">Hank Gastright</a>",WAS,27,79&‌#8532;,3,3,0,94,54,45,3,38,32,5.084,3.485,1.657,.84,.00
"<a href=""https://www.baseball-reference.com/players/g/getzich01.shtml"">Pretzels Getzien</a>",SLN,28,108,5,8,0,159,87,68,5,31,32,5.667,3.163,1.759,1.03,-.32
"<a href=""https://www.baseball-reference.com/players/g/gilbebi01.shtml"">Bill Gilbert</a>",BLN,24,14,0,1,0,14,15,9,1,17,5,5.786,6.407,2.214,.29,-.29
