Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/aberal01.shtml"">Al Aber</a>",CLE,22,9,1,0,0,5,2,2,0,4,4,2.000,3.090,1.000,1.00,.28
"<a href=""https://www.baseball-reference.com/players/a/albreed01.shtml"">Ed Albrecht</a>",SLA,21,6&‌#8532;,0,1,0,6,7,4,0,7,1,5.400,5.554,1.950,.14,-.11
"<a href=""https://www.baseball-reference.com/players/a/alomalu01.shtml"">Luis Aloma</a>",CHA,27,87&‌#8532;,7,2,4,77,44,37,6,53,49,3.798,4.150,1.483,.92,1.12
"<a href=""https://www.baseball-reference.com/players/a/antonjo02.shtml"">Johnny Antonelli</a>",BSN,20,57&‌#8532;,2,3,0,81,46,38,2,22,33,5.931,2.799,1.786,1.50,-.93
"<a href=""https://www.baseball-reference.com/players/a/atkinja01.shtml"">James Atkins</a>",BOS,29,4&‌#8532;,0,0,0,4,2,2,1,4,0,3.857,8.025,1.714,.00,.11
"<a href=""https://www.baseball-reference.com/players/a/avreaja01.shtml"">Jay Avrea</a>",CIN,29,5&‌#8531;,0,0,0,6,2,2,0,3,2,3.375,3.458,1.688,.67,.12
"<a href=""https://www.baseball-reference.com/players/b/bankhda01.shtml"">Dan Bankhead</a>",BRO,30,129&‌#8531;,9,4,3,119,84,79,16,88,96,5.497,4.767,1.601,1.09,-.96
"<a href=""https://www.baseball-reference.com/players/b/bantaja01.shtml"">Jack Banta</a>",BRO,25,41&‌#8531;,4,4,2,39,22,20,2,36,15,4.355,4.952,1.815,.42,.26
"<a href=""https://www.baseball-reference.com/players/b/barnere02.shtml"">Rex Barney</a>",BRO,25,33&‌#8532;,2,1,0,25,26,24,6,48,23,6.416,8.269,2.168,.48,-.47
"<a href=""https://www.baseball-reference.com/players/b/barrefr01.shtml"">Frank Barrett</a>",PIT,36,4&‌#8531;,1,2,0,5,3,2,1,1,0,4.154,7.107,1.385,.00,-.10
"<a href=""https://www.baseball-reference.com/players/b/bauerru01.shtml"">Russ Bauers</a>",SLA,36,2,0,0,0,6,4,1,0,1,0,4.500,3.771,3.500,.00,-.11
"<a href=""https://www.baseball-reference.com/players/b/beardge01.shtml"">Gene Bearden</a>",2,29,113&‌#8532;,4,8,0,138,67,63,6,65,30,4.988,4.374,1.786,.46,.00
"<a href=""https://www.baseball-reference.com/players/b/bentoal01.shtml"">Al Benton</a>",CLE,39,63,4,2,4,57,32,25,7,30,26,3.571,4.668,1.381,.87,1.01
"<a href=""https://www.baseball-reference.com/players/b/bickfve01.shtml"">Vern Bickford</a>",BSN,29,311&‌#8532;,19,14,0,293,135,120,25,122,126,3.465,3.958,1.332,1.03,5.00
"<a href=""https://www.baseball-reference.com/players/b/blackew01.shtml"">Ewell Blackwell</a>",CIN,27,261,17,15,4,203,105,86,12,112,188,2.966,2.881,1.207,1.68,7.49
