Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/allenjo02.shtml"">Johnny Allen</a>",CLE,33,200,14,8,0,189,107,93,15,81,112,4.185,3.969,1.350,1.38,0.00
"<a href=""https://www.baseball-reference.com/players/a/andreiv01.shtml"">Ivy Andrews</a>",NYA,31,48,1,3,1,51,25,16,3,17,13,3.000,4.258,1.417,0.76,0.56
"<a href=""https://www.baseball-reference.com/players/a/applepe01.shtml"">P. Appleton</a>",WS1,34,164&frac13;,7,9,5,175,99,84,12,61,62,4.600,4.207,1.436,1.02,1.09
"<a href=""https://www.baseball-reference.com/players/a/aukerel01.shtml"">Elden Auker</a>",DET,27,160&frac23;,11,10,0,184,97,94,14,56,46,5.266,4.421,1.494,0.82,1.72
"<a href=""https://www.baseball-reference.com/players/b/bagbyji02.shtml"">Jim Bagby</a>",BOS,21,198&frac23;,15,11,2,218,110,93,9,90,73,4.213,4.105,1.550,0.81,3.06
"<a href=""https://www.baseball-reference.com/players/b/bakeral01.shtml"">Al Baker</a>",BOS,32,7&frac23;,0,0,0,13,8,8,2,2,2,9.391,5.932,1.957,1.00,-0.16
"<a href=""https://www.baseball-reference.com/players/b/bakerto01.shtml"">Tom Baker</a>",NY1,25,4,0,0,0,5,3,3,0,3,0,6.750,5.071,2.000,0.00,-0.08
"<a href=""https://www.baseball-reference.com/players/b/balasmi01.shtml"">Mike Balas</a>",BSN,28,1&frac13;,0,0,0,3,3,1,0,0,0,6.750,2.924,2.250,&infin;,-0.09
"<a href=""https://www.baseball-reference.com/players/b/barrere01.shtml"">Red Barrett</a>",CIN,23,28&frac23;,2,0,0,28,13,10,2,15,5,3.140,5.157,1.500,0.33,0.25
"<a href=""https://www.baseball-reference.com/players/b/bauerru01.shtml"">Russ Bauers</a>",PIT,24,243,13,14,3,207,102,83,7,99,117,3.074,3.512,1.259,1.18,3.05
"<a href=""https://www.baseball-reference.com/players/b/beggsjo01.shtml"">Joe Beggs</a>",NYA,27,58&frac13;,3,2,0,69,41,35,7,20,8,5.400,5.275,1.526,0.40,-0.27
"<a href=""https://www.baseball-reference.com/players/b/bengera01.shtml"">Ray Benge</a>",CIN,36,15&frac13;,1,1,2,13,8,7,1,6,5,4.109,4.398,1.239,0.83,0.03
"<a href=""https://www.baseball-reference.com/players/b/bentoal01.shtml"">Al Benton</a>",DET,27,95&frac13;,5,3,0,93,40,35,10,39,33,3.304,4.871,1.385,0.85,2.64
"<a href=""https://www.baseball-reference.com/players/b/bildiem01.shtml"">E. Bildilli</a>",SLA,25,21&frac23;,1,2,0,33,18,17,3,11,11,7.062,5.061,2.031,1.00,-0.12
"<a href=""https://www.baseball-reference.com/players/b/blantcy01.shtml"">Cy Blanton</a>",PIT,29,172&frac23;,11,7,0,190,84,71,13,46,80,3.701,3.745,1.367,1.74,1.24
"<a href=""https://www.baseball-reference.com/players/b/bonetju01.shtml"">J. Bonetti</a>",SLA,26,28&frac13;,2,3,0,41,21,20,1,13,7,6.353,4.214,1.906,0.54,0.15
"<a href=""https://www.baseball-reference.com/players/b/bowmajo01.shtml"">Joe Bowman</a>",PIT,28,60,3,4,1,68,33,31,2,20,25,4.650,3.504,1.467,1.25,-0.18
"<a href=""https://www.baseball-reference.com/players/b/boyleha01.shtml"">Harry Boyles</a>",CHA,26,29&frac13;,0,4,1,31,27,17,2,25,18,5.216,4.848,1.909,0.72,-0.63
"<a href=""https://www.baseball-reference.com/players/b/branded01.shtml"">Ed Brandt</a>",PIT,33,96&frac13;,5,4,0,93,44,37,3,35,38,3.457,3.634,1.329,1.09,0.74
"<a href=""https://www.baseball-reference.com/players/b/bridgto01.shtml"">T. Bridges</a>",DET,31,151,13,9,1,171,83,77,14,58,101,4.589,3.882,1.517,1.74,2.30
"<a href=""https://www.baseball-reference.com/players/b/browncl01.shtml"">Clint Brown</a>",CHA,34,13&frac23;,1,3,2,16,8,7,0,9,2,4.610,4.661,1.829,0.22,0.16
"<a href=""https://www.baseball-reference.com/players/b/brownju01.shtml"">Jumbo Brown</a>",NY1,31,90,5,3,5,65,26,18,5,28,42,1.800,3.668,1.033,1.50,2.59
"<a href=""https://www.baseball-reference.com/players/b/brownma01.shtml"">Mace Brown</a>",PIT,29,132&frac23;,15,9,5,155,68,56,5,44,55,3.799,3.559,1.500,1.25,0.00
"<a href=""https://www.baseball-reference.com/players/b/bryancl01.shtml"">Clay Bryant</a>",CHN,26,270&frac13;,19,11,2,235,105,93,6,125,135,3.096,3.612,1.332,1.08,5.09
"<a href=""https://www.baseball-reference.com/players/b/burkael01.shtml"">E. Burkart</a>",PHI,21,10,0,1,0,12,5,5,0,3,1,4.500,3.307,1.500,0.33,0.03
"<a href=""https://www.baseball-reference.com/players/b/bushgu01.shtml"">Guy Bush</a>",SLN,36,6,0,1,1,6,3,3,1,3,1,4.500,6.909,1.500,0.33,0.05
"<a href=""https://www.baseball-reference.com/players/b/butchma01.shtml"">Max Butcher</a>",2,27,171,9,12,2,198,106,85,15,70,50,4.474,4.642,1.567,0.71,0.75
"<a href=""https://www.baseball-reference.com/players/b/buxtora01.shtml"">Ralph Buxton</a>",PHA,27,9&frac13;,0,1,0,12,7,5,1,5,9,4.821,3.934,1.821,1.80,0.02
"<a href=""https://www.baseball-reference.com/players/c/cainsu01.shtml"">Sugar Cain</a>",CHA,31,19&frac23;,0,1,0,26,17,10,0,18,6,4.576,4.925,2.237,0.33,-0.21
"<a href=""https://www.baseball-reference.com/players/c/carlete01.shtml"">Tex Carleton</a>",CHN,31,167&frac23;,10,9,0,213,118,101,11,74,80,5.421,3.943,1.712,1.08,-2.16
"<a href=""https://www.baseball-reference.com/players/c/cascajo01.shtml"">J. Cascarella</a>",CIN,31,61,4,7,4,66,33,31,2,22,30,4.574,3.432,1.443,1.36,-0.22
"<a href=""https://www.baseball-reference.com/players/c/castege01.shtml"">G. Caster</a>",PHA,30,281&frac13;,16,20,1,310,156,136,25,117,112,4.351,4.494,1.518,0.96,0.00
"<a href=""https://www.baseball-reference.com/players/c/castlsl01.shtml"">S. Castleman</a>",NY1,24,90&frac23;,4,5,0,108,55,42,4,37,18,4.169,4.206,1.599,0.49,-0.43
"<a href=""https://www.baseball-reference.com/players/c/chandsp01.shtml"">S. Chandler</a>",NYA,30,172,14,5,0,183,86,77,7,47,36,4.029,3.824,1.337,0.77,2.14
"<a href=""https://www.baseball-reference.com/players/c/chaseke01.shtml"">Ken Chase</a>",WS1,24,150,9,10,1,151,99,93,4,113,64,5.580,4.647,1.760,0.57,0.12
"<a href=""https://www.baseball-reference.com/players/c/coffmdi01.shtml"">Dick Coffman</a>",NY1,31,111&frac13;,8,4,12,116,50,43,3,21,21,3.476,3.390,1.231,1.00,1.32
"<a href=""https://www.baseball-reference.com/players/c/coffmsl01.shtml"">S. Coffman</a>",DET,27,95&frac23;,4,4,2,120,70,64,6,48,31,6.021,4.542,1.756,0.65,0.09
"<a href=""https://www.baseball-reference.com/players/c/coleed01.shtml"">Ed Cole</a>",SLA,29,88&frac23;,1,5,3,116,69,51,8,48,26,5.177,4.855,1.850,0.54,0.02
"<a href=""https://www.baseball-reference.com/players/c/coopemo01.shtml"">Mort Cooper</a>",SLN,25,23&frac23;,2,1,1,17,11,8,1,12,11,3.042,3.983,1.225,0.92,0.00
"<a href=""https://www.baseball-reference.com/players/c/coxbi01.shtml"">Bill Cox</a>",2,25,74&frac23;,1,6,0,92,67,58,8,48,21,6.991,5.659,1.875,0.44,-0.67
"<a href=""https://www.baseball-reference.com/players/c/cramedo01.shtml"">Doc Cramer</a>",BOS,32,4,0,0,0,3,2,2,0,3,1,4.500,4.902,1.500,0.33,0.05
"<a href=""https://www.baseball-reference.com/players/d/daviscu01.shtml"">Curt Davis</a>",SLN,34,173&frac13;,12,8,3,187,80,70,9,27,36,3.635,3.637,1.235,1.33,0.00
"<a href=""https://www.baseball-reference.com/players/d/davispe01.shtml"">P. Davis</a>",CIN,33,167&frac23;,7,12,1,193,86,74,9,40,28,3.972,3.987,1.390,0.70,-0.03
"<a href=""https://www.baseball-reference.com/players/d/daviswo01.shtml"">Woody Davis</a>",DET,25,6,0,0,0,3,1,1,0,4,1,1.500,5.019,1.167,0.25,0.18
"<a href=""https://www.baseball-reference.com/players/d/deanch01.shtml"">Chubby Dean</a>",PHA,22,23,2,1,0,22,10,9,3,15,3,3.522,6.599,1.609,0.20,0.00
"<a href=""https://www.baseball-reference.com/players/d/deandi01.shtml"">Dizzy Dean</a>",CHN,28,74&frac23;,7,1,0,63,20,15,2,8,22,1.808,2.967,.951,2.75,2.51
"<a href=""https://www.baseball-reference.com/players/d/deanpa01.shtml"">Paul Dean</a>",SLN,25,31,3,1,0,37,12,9,3,5,14,2.613,3.748,1.355,2.80,0.71
"<a href=""https://www.baseball-reference.com/players/d/derripa01.shtml"">P. Derringer</a>",CIN,31,307,21,14,3,315,110,100,20,49,132,2.932,3.391,1.186,2.69,5.45
"<a href=""https://www.baseball-reference.com/players/d/deshoji01.shtml"">J. DeShong</a>",WS1,28,131&frac13;,5,8,0,160,104,96,11,83,41,6.579,5.262,1.850,0.49,-1.44
"<a href=""https://www.baseball-reference.com/players/d/dickmem01.shtml"">E. Dickman</a>",BOS,23,104,5,5,0,117,74,61,9,54,22,5.279,5.125,1.644,0.41,0.22
"<a href=""https://www.baseball-reference.com/players/d/dietrbi01.shtml"">B. Dietrich</a>",CHA,28,48,2,4,0,49,33,29,7,31,11,5.438,6.384,1.667,0.35,0.16
"<a href=""https://www.baseball-reference.com/players/d/dollar01.shtml"">Art Doll</a>",BSN,25,4,0,0,0,4,1,1,0,3,1,2.250,4.902,1.750,0.33,0.08
"<a href=""https://www.baseball-reference.com/players/d/donalat01.shtml"">Atley Donald</a>",NYA,27,12,0,1,0,7,8,7,0,14,6,5.250,5.524,1.750,0.43,0.07
"<a href=""https://www.baseball-reference.com/players/e/earleto01.shtml"">Tom Earley</a>",BSN,21,11,1,0,0,8,9,4,2,1,4,3.273,4.605,.818,4.00,-0.32
"<a href=""https://www.baseball-reference.com/players/e/eisenha01.shtml"">H. Eisenstat</a>",DET,22,125&frac13;,9,6,4,131,60,52,7,29,37,3.734,3.738,1.277,1.28,0.00
"<a href=""https://www.baseball-reference.com/players/e/epperal01.shtml"">Al Epperly</a>",CHN,20,27,2,0,0,28,11,11,1,15,10,3.667,4.331,1.593,0.67,0.34
