Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/b/bechtge01.shtml"">G. Bechtel</a>",PH1,22,26,1,2,0,43,42,23,0,11,1,7.962,4.686,2.077,0.09,0.00
"<a href=""https://www.baseball-reference.com/players/b/brainas01.shtml"">Asa Brainard</a>",WS3,?,264,12,15,0,361,292,132,4,37,13,4.500,4.107,1.508,0.35,0.00
"<a href=""https://www.baseball-reference.com/players/f/fergubo01.shtml"">Bob Ferguson</a>",NY2,26,1,0,0,0,8,9,3,0,0,0,27.000,3.580,8.000,&infin;,-0.31
"<a href=""https://www.baseball-reference.com/players/f/fishech01.shtml"">C. Fisher</a>",RC1,26,213,4,16,0,295,257,103,3,31,15,4.352,4.048,1.531,0.48,2.12
"<a href=""https://www.baseball-reference.com/players/f/fleetfr01.shtml"">Frank Fleet</a>",NY2,?,9,0,1,0,20,21,10,0,3,0,10.000,4.386,2.556,0.00,0.00
"<a href=""https://www.baseball-reference.com/players/f/flowedi01.shtml"">D. Flowers</a>",TRO,?,1,0,0,0,1,0,0,0,0,0,.000,3.580,1.000,&infin;,0.08
"<a href=""https://www.baseball-reference.com/players/m/mackde01.shtml"">Denny Mack</a>",RC1,21,13,0,1,0,20,30,5,0,3,1,3.462,4.081,1.769,0.33,-0.53
"<a href=""https://www.baseball-reference.com/players/m/mathebo01.shtml"">B. Mathews</a>",FW1,19,169,6,11,0,261,243,97,5,21,17,5.166,4.108,1.669,0.81,0.00
"<a href=""https://www.baseball-reference.com/players/m/mcbridi01.shtml"">Dick McBride</a>",PH1,24,222,18,5,0,285,223,113,3,40,15,4.581,4.189,1.464,0.38,3.70
"<a href=""https://www.baseball-reference.com/players/m/mcmuljo01.shtml"">J. McMullin</a>",TRO,22,249,12,15,0,430,362,153,4,75,12,5.530,4.549,2.028,0.16,-0.77
"<a href=""https://www.baseball-reference.com/players/m/meyerle01.shtml"">Levi Meyerle</a>",PH1,21,1,0,0,0,1,1,1,0,2,0,9.000,10.835,3.000,0.00,0.02
"<a href=""https://www.baseball-reference.com/players/p/paborch01.shtml"">C. Pabor</a>",CL1,24,29&frac13;,0,2,0,50,53,22,4,6,0,6.750,5.837,1.909,0.00,-0.54
"<a href=""https://www.baseball-reference.com/players/p/pinkhed01.shtml"">Ed Pinkham</a>",CH1,24,10&frac13;,1,0,1,10,8,4,0,3,0,3.484,4.487,1.258,0.00,0.34
"<a href=""https://www.baseball-reference.com/players/p/prattal01.shtml"">Al Pratt</a>",CL1,23,224&frac23;,10,17,0,296,288,94,9,47,34,3.766,4.429,1.527,0.72,1.85
"<a href=""https://www.baseball-reference.com/players/s/spaldal01.shtml"">Al Spalding</a>",BS1,20,257&frac13;,19,10,0,333,272,96,2,38,23,3.358,3.943,1.442,0.61,3.64
"<a href=""https://www.baseball-reference.com/players/s/stearbi01.shtml"">Bill Stearns</a>",WS3,18,18,2,0,0,10,11,5,0,8,0,2.500,5.312,1.000,0.00,0.72
"<a href=""https://www.baseball-reference.com/players/w/woltery01.shtml"">R. Wolters</a>",NY2,29,283,16,16,0,345,283,108,7,39,22,3.435,4.183,1.357,0.56,3.10
"<a href=""https://www.baseball-reference.com/players/w/wrighha01.shtml"">Harry Wright</a>",BS1,36,18&frac23;,1,0,3,34,31,13,0,4,0,6.268,4.155,2.036,0.00,-0.35
"<a href=""https://www.baseball-reference.com/players/z/zettlge01.shtml"">G. Zettlein</a>",CH1,26,240&frac23;,18,9,0,298,233,73,6,25,22,2.730,4.048,1.342,0.88,0.00
