Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abernte02.shtml"">T. Abernathy</a>",CLE,30,178,7,2,12,54,25,19,3,29,47,2.882,3.026,1.399,1.62,0.00
"<a href=""https://www.baseball-reference.com/players/a/acklefr01.shtml"">Fritz Ackley</a>",CHA,26,39,1,0,0,7,4,3,2,7,11,2.077,4.655,1.077,1.57,0.27
"<a href=""https://www.baseball-reference.com/players/a/aguirha01.shtml"">Hank Aguirre</a>",DET,32,677,14,15,0,222,96,92,25,68,134,3.669,3.527,1.285,1.97,2.93
"<a href=""https://www.baseball-reference.com/players/a/allenbo04.shtml"">Bob Allen</a>",CLE,25,168,1,2,2,58,37,29,5,29,51,4.661,3.267,1.554,1.76,-0.85
"<a href=""https://www.baseball-reference.com/players/a/anderbo01.shtml"">Bob Anderson</a>",DET,27,180,3,1,0,58,28,22,5,21,38,3.300,3.040,1.317,1.81,0.23
"<a href=""https://www.baseball-reference.com/players/a/andercr01.shtml"">C. Anderson</a>",NYN,24,28,0,2,0,17,15,9,0,3,6,8.679,2.241,2.143,2.00,-0.74
"<a href=""https://www.baseball-reference.com/players/a/arrigge01.shtml"">Gerry Arrigo</a>",MIN,22,47,1,2,0,12,5,5,2,4,13,2.872,3.257,1.021,3.25,0.35
"<a href=""https://www.baseball-reference.com/players/a/arroylu01.shtml"">Luis Arroyo</a>",NYA,36,18,1,1,0,12,9,9,0,3,5,13.500,2.349,2.500,1.67,-0.80
"<a href=""https://www.baseball-reference.com/players/b/bairdbo01.shtml"">Bob Baird</a>",WS2,23,35,0,3,0,12,15,10,1,7,7,7.714,3.820,1.629,1.00,-0.70
"<a href=""https://www.baseball-reference.com/players/b/bakerto02.shtml"">Tom Baker</a>",CHN,29,54,0,1,0,20,12,6,2,7,14,3.000,3.319,1.500,2.00,-0.19
"<a href=""https://www.baseball-reference.com/players/b/baldsja01.shtml"">J. Baldschun</a>",PHI,26,341,11,7,16,99,37,29,7,42,89,2.296,2.741,1.240,2.12,1.95
"<a href=""https://www.baseball-reference.com/players/b/barbest01.shtml"">Steve Barber</a>",BAL,25,776,20,13,0,253,99,79,12,92,180,2.749,2.706,1.334,1.96,0.00
"<a href=""https://www.baseball-reference.com/players/b/bassno01.shtml"">Norm Bass</a>",KC1,24,23,0,0,0,11,11,10,2,9,4,11.739,7.682,2.609,0.44,-0.49
"<a href=""https://www.baseball-reference.com/players/b/baumafr01.shtml"">F. Baumann</a>",CHA,29,151,2,1,1,52,22,17,2,17,31,3.040,2.768,1.371,1.82,0.22
"<a href=""https://www.baseball-reference.com/players/b/bautaed01.shtml"">Ed Bauta</a>",2,28,215,3,4,3,77,37,34,2,30,43,4.270,2.805,1.493,1.43,-0.01
"<a href=""https://www.baseball-reference.com/players/b/bearnla01.shtml"">L. Bearnarth</a>",NYN,21,379,3,8,4,127,61,48,7,47,48,3.420,3.438,1.377,1.02,1.52
"<a href=""https://www.baseball-reference.com/players/b/belinbo01.shtml"">Bo Belinsky</a>",LAA,26,230,2,9,0,78,54,49,12,35,60,5.752,4.132,1.474,1.71,-1.41
"<a href=""https://www.baseball-reference.com/players/b/bellga01.shtml"">Gary Bell</a>",CLE,26,357,8,5,5,91,48,39,13,52,98,2.950,3.478,1.202,1.88,0.00
"<a href=""https://www.baseball-reference.com/players/b/bennede01.shtml"">D. Bennett</a>",PHI,23,358,9,5,1,102,44,35,12,33,82,2.640,3.152,1.131,2.48,1.50
"<a href=""https://www.baseball-reference.com/players/b/blasiwa01.shtml"">W. Blasingame</a>",ML1,19,9,0,0,0,7,4,4,0,2,6,12.000,1.152,3.000,3.00,-0.12
"<a href=""https://www.baseball-reference.com/players/b/bolinbo01.shtml"">Bobby Bolin</a>",SFN,24,412,10,6,7,128,73,50,13,57,134,3.277,2.834,1.347,2.35,0.00
"<a href=""https://www.baseball-reference.com/players/b/boozejo01.shtml"">John Boozer</a>",PHI,24,249,3,4,1,67,31,27,11,33,69,2.928,3.757,1.205,2.09,0.94
"<a href=""https://www.baseball-reference.com/players/b/bouldca01.shtml"">Carl Bouldin</a>",WS2,23,70,2,2,0,31,18,15,3,8,10,5.786,4.131,1.671,1.25,-0.50
"<a href=""https://www.baseball-reference.com/players/b/boutoji01.shtml"">Jim Bouton</a>",NYA,24,748,21,7,1,191,79,70,18,87,148,2.527,3.277,1.115,1.70,0.00
"<a href=""https://www.baseball-reference.com/players/b/bowsfte01.shtml"">T. Bowsfield</a>",KC1,28,334,5,7,3,115,60,55,14,47,67,4.446,4.081,1.455,1.43,0.43
"<a href=""https://www.baseball-reference.com/players/b/breweji01.shtml"">Jim Brewer</a>",CHN,25,149,3,2,0,59,32,27,10,15,35,4.893,4.468,1.490,2.33,0.00
"<a href=""https://www.baseball-reference.com/players/b/bridgma01.shtml"">M. Bridges</a>",NYA,32,99,2,0,1,27,18,14,2,30,35,3.818,3.788,1.727,1.17,-0.36
"<a href=""https://www.baseball-reference.com/players/b/brogler01.shtml"">E. Broglio</a>",SLN,27,750,18,8,0,202,97,83,24,90,145,2.988,3.624,1.168,1.61,0.00
"<a href=""https://www.baseball-reference.com/players/b/bronsji01.shtml"">Jim Bronstad</a>",WS2,27,172,1,3,1,66,38,36,9,22,22,5.651,4.885,1.535,1.00,-0.62
"<a href=""https://www.baseball-reference.com/players/b/brosnji01.shtml"">Jim Brosnan</a>",2,33,233,3,9,14,79,28,27,9,25,50,3.129,3.671,1.339,2.00,-0.20
"<a href=""https://www.baseball-reference.com/players/b/brownha01.shtml"">Hal Brown</a>",HOU,38,424,5,11,0,137,54,52,14,8,68,3.311,2.972,1.026,8.50,2.88
"<a href=""https://www.baseball-reference.com/players/b/brownpa01.shtml"">Paul Brown</a>",PHI,22,46,0,1,0,15,10,7,2,5,11,4.109,3.265,1.304,2.20,-0.22
"<a href=""https://www.baseball-reference.com/players/b/brucebo01.shtml"">Bob Bruce</a>",HOU,30,511,5,9,0,162,73,68,7,60,123,3.593,2.485,1.303,2.05,2.42
"<a href=""https://www.baseball-reference.com/players/b/brunege01.shtml"">G. Brunet</a>",2,28,98,0,4,1,49,26,22,5,15,24,6.061,4.062,1.959,1.60,0.00
"<a href=""https://www.baseball-reference.com/players/b/buhlbo01.shtml"">Bob Buhl</a>",CHN,34,678,11,14,0,219,96,85,24,62,108,3.385,3.729,1.243,1.74,2.61
"<a href=""https://www.baseball-reference.com/players/b/bunkewa01.shtml"">Wally Bunker</a>",BAL,18,12,0,1,0,10,6,6,1,3,1,13.500,6.198,3.250,0.33,-0.28
"<a href=""https://www.baseball-reference.com/players/b/bunniji01.shtml"">Jim Bunning</a>",DET,31,745,12,13,1,245,119,107,38,69,196,3.878,3.642,1.264,2.84,0.00
"<a href=""https://www.baseball-reference.com/players/b/burdefr01.shtml"">F. Burdette</a>",CHN,26,14,0,0,0,5,2,2,1,2,1,3.857,6.608,1.500,0.50,0.06
"<a href=""https://www.baseball-reference.com/players/b/burdele01.shtml"">Lew Burdette</a>",2,36,546,9,13,2,177,90,75,21,40,73,3.709,3.720,1.192,1.82,0.00
"<a href=""https://www.baseball-reference.com/players/b/burnspe01.shtml"">P. Burnside</a>",2,32,224,0,2,0,95,53,50,12,26,29,6.027,4.682,1.621,1.12,-0.82
"<a href=""https://www.baseball-reference.com/players/b/butteto01.shtml"">Tom Butters</a>",PIT,25,49,0,0,0,15,8,8,1,8,11,4.408,3.032,1.408,1.38,-0.01
"<a href=""https://www.baseball-reference.com/players/b/buzhajo01.shtml"">J. Buzhardt</a>",CHA,26,379,9,4,0,100,35,34,8,31,59,2.422,3.010,1.037,1.90,0.00
"<a href=""https://www.baseball-reference.com/players/c/calmudi01.shtml"">Dick Calmus</a>",LAN,19,132,3,1,0,32,14,13,3,16,25,2.659,3.384,1.091,1.56,0.70
"<a href=""https://www.baseball-reference.com/players/c/cardico01.shtml"">C. Cardinal</a>",HOU,21,40,0,1,0,15,14,9,0,7,7,6.075,2.955,1.650,1.00,-0.51
"<a href=""https://www.baseball-reference.com/players/c/cardwdo01.shtml"">Don Cardwell</a>",PIT,27,641,13,15,0,195,92,73,21,52,112,3.075,3.230,1.156,2.15,0.00
"<a href=""https://www.baseball-reference.com/players/c/chancde01.shtml"">Dean Chance</a>",LAA,22,744,13,18,3,229,109,88,10,90,168,3.194,2.614,1.286,1.87,1.89
"<a href=""https://www.baseball-reference.com/players/c/cheneto01.shtml"">Tom Cheney</a>",WS2,28,409,8,9,0,99,51,41,14,40,97,2.707,3.282,1.020,2.42,3.05
"<a href=""https://www.baseball-reference.com/players/c/ciscoga01.shtml"">Galen Cisco</a>",NYN,27,467,7,15,0,165,88,75,15,64,81,4.336,3.767,1.471,1.27,0.30
"<a href=""https://www.baseball-reference.com/players/c/clonito01.shtml"">T. Cloninger</a>",ML1,22,436,9,11,1,131,68,61,17,63,100,3.778,3.892,1.335,1.59,-0.25
"<a href=""https://www.baseball-reference.com/players/c/coateji01.shtml"">Jim Coates</a>",2,30,182,2,4,0,72,39,36,6,28,42,5.341,3.562,1.648,1.50,-0.77
"<a href=""https://www.baseball-reference.com/players/c/conlege01.shtml"">Gene Conley</a>",BOS,32,122,3,4,0,51,31,30,4,21,14,6.639,4.444,1.770,0.67,-0.87
"<a href=""https://www.baseball-reference.com/players/c/constji01.shtml"">J. Constable</a>",SFN,30,7,0,0,0,3,1,1,0,1,1,3.857,2.863,1.714,1.00,0.02
"<a href=""https://www.baseball-reference.com/players/c/coombda01.shtml"">Danny Coombs</a>",HOU,21,1,0,0,0,3,1,1,0,0,0,27.000,2.479,9.000,&infin;,-0.06
"<a href=""https://www.baseball-reference.com/players/c/craigro01.shtml"">Roger Craig</a>",NYN,33,708,5,22,2,249,117,99,28,58,108,3.775,3.739,1.301,1.86,2.26
"<a href=""https://www.baseball-reference.com/players/c/culpra01.shtml"">Ray Culp</a>",PHI,21,610,14,11,0,148,76,67,15,102,176,2.966,3.150,1.230,1.73,2.59
"<a href=""https://www.baseball-reference.com/players/c/curtija01.shtml"">Jack Curtis</a>",CLE,26,15,0,0,0,8,10,10,0,5,3,18.000,3.432,2.600,0.60,-0.70
"<a href=""https://www.baseball-reference.com/players/d/dahlja01.shtml"">Jay Dahl</a>",HOU,17,8,0,1,0,7,7,5,0,0,0,16.875,2.479,2.625,&infin;,-0.35
"<a href=""https://www.baseball-reference.com/players/d/dailebi01.shtml"">Bill Dailey</a>",MIN,28,326,6,3,21,80,26,24,9,19,72,1.988,2.770,.911,3.79,3.63
"<a href=""https://www.baseball-reference.com/players/d/daleybu01.shtml"">Bud Daley</a>",NYA,30,3,0,0,1,2,0,0,0,0,0,.000,2.479,2.000,&infin;,0.07
"<a href=""https://www.baseball-reference.com/players/d/daniebe02.shtml"">B. Daniels</a>",WS2,31,506,5,10,1,163,90,82,19,58,88,4.375,3.902,1.310,1.52,0.79
"<a href=""https://www.baseball-reference.com/players/d/debusda01.shtml"">D. DeBusschere</a>",CHA,22,253,3,4,0,80,35,29,9,34,53,3.095,3.674,1.352,1.56,0.59
"<a href=""https://www.baseball-reference.com/players/d/delocik01.shtml"">Ike Delock</a>",2,33,187,2,5,0,56,35,33,11,28,34,4.765,5.151,1.348,1.21,-0.04
"<a href=""https://www.baseball-reference.com/players/d/dicksji01.shtml"">Jim Dickson</a>",HOU,25,44,0,1,2,22,13,10,0,2,6,6.136,2.134,1.636,3.00,-0.59
"<a href=""https://www.baseball-reference.com/players/d/dillost01.shtml"">Steve Dillon</a>",NYN,20,5,0,0,0,3,2,2,0,0,1,10.800,1.396,1.800,&infin;,-0.07
"<a href=""https://www.baseball-reference.com/players/d/donovdi01.shtml"">Dick Donovan</a>",CLE,35,618,11,13,0,211,106,97,27,28,84,4.238,3.714,1.160,3.00,1.11
"<a href=""https://www.baseball-reference.com/players/d/dottega01.shtml"">Gary Dotter</a>",MIN,20,6,0,0,0,0,0,0,0,0,2,.000,.092,.000,&infin;,0.07
"<a href=""https://www.baseball-reference.com/players/d/downial01.shtml"">Al Downing</a>",NYA,22,527,13,5,0,114,52,50,7,80,171,2.562,2.414,1.104,2.14,0.00
"<a href=""https://www.baseball-reference.com/players/d/drabomo01.shtml"">M. Drabowsky</a>",KC1,27,523,7,13,0,135,62,59,16,64,109,3.046,3.437,1.141,1.70,0.00
"<a href=""https://www.baseball-reference.com/players/d/drottdi01.shtml"">Dick Drott</a>",HOU,26,293,2,12,0,95,61,54,13,49,58,4.976,4.345,1.474,1.18,-0.79
"<a href=""https://www.baseball-reference.com/players/d/drysddo01.shtml"">Don Drysdale</a>",LAN,26,946,19,17,0,287,114,92,25,57,251,2.626,2.365,1.091,4.40,4.33
"<a href=""https://www.baseball-reference.com/players/d/duckwji01.shtml"">J. Duckworth</a>",WS2,24,362,4,12,0,131,89,81,13,67,66,6.041,4.147,1.641,0.99,0.00
"<a href=""https://www.baseball-reference.com/players/d/duffaji01.shtml"">Jim Duffalo</a>",SFN,27,226,4,2,2,56,26,24,3,37,55,2.867,2.944,1.235,1.49,0.00
"<a href=""https://www.baseball-reference.com/players/d/dulibbo01.shtml"">Bob Duliba</a>",LAA,28,23,1,1,1,3,1,1,0,6,4,1.174,3.987,1.174,0.67,0.41
"<a href=""https://www.baseball-reference.com/players/d/durenry01.shtml"">Ryne Duren</a>",PHI,34,262,6,2,2,65,33,32,6,52,84,3.298,3.081,1.340,1.62,0.00
"<a href=""https://www.baseball-reference.com/players/d/dustabo01.shtml"">Bob Dustal</a>",DET,27,18,0,1,0,10,9,6,0,5,4,9.000,3.366,2.500,0.80,-0.54
"<a href=""https://www.baseball-reference.com/players/e/earlear01.shtml"">A. Earley</a>",BOS,30,347,3,7,1,124,73,61,13,43,97,4.746,3.126,1.444,2.26,-1.29
