Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/alexape01.shtml"">Pete Alexander</a>",PHI,43,21&‌#8532;,0,3,0,40,24,22,5,6,6,9.138,6.436,2.123,1.00,-.51
"<a href=""https://www.baseball-reference.com/players/a/applepe01.shtml"">Pete Appleton</a>",CLE,26,118&‌#8532;,8,7,1,122,71,53,8,53,45,4.020,4.871,1.475,.85,.00
"<a href=""https://www.baseball-reference.com/players/a/ashke01.shtml"">Ken Ash</a>",CIN,28,39&‌#8531;,2,0,0,37,22,15,1,16,15,3.432,4.365,1.347,.94,.64
"<a href=""https://www.baseball-reference.com/players/b/barnefr01.shtml"">Frank Barnes</a>",NYA,30,12&‌#8531;,0,1,0,13,11,11,0,13,2,8.027,6.222,2.108,.15,-.10
"<a href=""https://www.baseball-reference.com/players/b/barnhle01.shtml"">Les Barnhart</a>",CLE,25,8&‌#8531;,1,0,0,12,7,6,0,4,1,6.480,4.641,1.920,.25,-.08
"<a href=""https://www.baseball-reference.com/players/b/baynebi01.shtml"">Bill Bayne</a>",BOS,31,4,0,0,0,5,2,2,1,1,1,4.500,7.044,1.500,1.00,.07
"<a href=""https://www.baseball-reference.com/players/b/beanbe01.shtml"">Belve Bean</a>",CLE,25,74&‌#8531;,3,3,2,99,58,45,7,32,19,5.448,5.505,1.762,.59,-.10
"<a href=""https://www.baseball-reference.com/players/b/bednaan01.shtml"">Andy Bednar</a>",PIT,21,1&‌#8531;,0,0,0,4,4,4,0,1,1,27.000,3.943,3.750,1.00,-.13
"<a href=""https://www.baseball-reference.com/players/b/bellhi01.shtml"">Hi Bell</a>",SLN,32,115&‌#8531;,4,3,8,143,65,50,4,23,42,3.902,3.759,1.439,1.83,1.51
"<a href=""https://www.baseball-reference.com/players/b/bengera01.shtml"">Ray Benge</a>",PHI,28,225&‌#8532;,11,15,1,305,178,143,22,81,70,5.703,5.138,1.710,.86,1.08
"<a href=""https://www.baseball-reference.com/players/b/bentola01.shtml"">Larry Benton</a>",2,32,207&‌#8532;,8,15,2,288,155,127,15,59,63,5.504,4.637,1.671,1.07,-.84
"<a href=""https://www.baseball-reference.com/players/b/blaehge01.shtml"">George Blaeholder</a>",SLA,26,191&‌#8531;,11,13,4,235,119,98,20,46,70,4.610,4.806,1.469,1.52,.00
"<a href=""https://www.baseball-reference.com/players/b/blakesh01.shtml"">Sheriff Blake</a>",CHN,30,186&‌#8532;,10,14,0,213,127,100,14,99,80,4.821,5.169,1.671,.81,.36
"<a href=""https://www.baseball-reference.com/players/b/blankte01.shtml"">Ted Blankenship</a>",CHA,29,14&‌#8532;,2,1,0,23,15,15,0,7,2,9.205,4.370,2.045,.29,-.34
