cx,cy,nameascii,adm0name,adm0_a3
132.782,80.9379,Wenatchee,United States of America,USA
156.703,116.6505,Douglas,United States of America,USA
135.6475,107.7333,Bakersfield,United States of America,USA
128.5314,102.4004,Oakland,United States of America,USA
137.613,109.227,Lancaster,United States of America,USA
129.3866,98.044,Chico,United States of America,USA
129.2595,104.9984,Monterey,United States of America,USA
129.8195,104.8162,Salinas,United States of America,USA
163.9292,106.5748,Los Alamos,United States of America,USA
126.5776,88.4375,Eugene,United States of America,USA
124.0954,89.9567,Coos Bay,United States of America,USA
130.5568,88.3888,Bend,United States of America,USA
157.7951,87.3856,Cody,United States of America,USA
196.4689,93.0614,Cedar Rapids,United States of America,USA
192.7787,103.7096,Springfield,United States of America,USA
185.3094,95.6179,Lincoln,United States of America,USA
194.7238,116.7562,Alexandria,United States of America,USA
178.5231,114.2275,Abilene,United States of America,USA
