cx,cy,nameascii,adm0name,adm0_a3
127.8381,55.611,Fort Nelson,Canada,CAN
226.8351,24.7818,Pond Inlet,Canada,CAN
230.0839,43.3938,Cape Dorset,Canada,CAN
244.8786,46.645,Kimmirut,Canada,CAN
187.0063,33.7887,Gjoa Haven,Canada,CAN
215.8313,16.4307,Grise Fiord,Canada,CAN
261.8476,3.0,Alert,Canada,CAN
175.9654,50.4613,Ennadai,Canada,CAN
195.5012,46.7191,Rankin Inlet,Canada,CAN
147.5117,50.3872,Fort Resolution,Canada,CAN
130.505,48.8681,Fort Simpson,Canada,CAN
103.0138,34.4185,Inuvik,Canada,CAN
104.4605,31.9626,Tuktoyaktuk,Canada,CAN
113.9064,52.7213,Watson Lake,Canada,CAN
283.5663,188.2506,Laranjal do Jari,Brazil,BRA
287.301,181.8038,Amapa,Brazil,BRA
286.3748,179.2103,Vila Velha,Brazil,BRA
204.8645,70.283,Lansdowne House,Canada,CAN
220.9265,72.3639,Moosonee,Canada,CAN
220.2403,82.9912,Sudbury,Canada,CAN
190.2297,75.7293,Kenora,Canada,CAN
256.8605,77.7953,Gaspe,Canada,CAN
257.9189,74.5398,Mingan,Canada,CAN
239.6546,77.7302,Dolbeau,Canada,CAN
227.354,79.3974,Val d'Or,Canada,CAN
227.0575,47.6084,Ivugivik,Canada,CAN
226.5329,56.3818,Inukjuak,Canada,CAN
242.248,78.6934,Chicoutimi,Canada,CAN
256.253,83.9174,Moncton,Canada,CAN
252.1034,84.2138,Fredericton,Canada,CAN
254.2894,80.5459,Bathurst,Canada,CAN
253.261,88.9248,Yarmouth,Canada,CAN
278.9647,77.5448,Gander,Canada,CAN
273.4914,66.9824,Cartwright,Canada,CAN
270.3009,65.926,Rigolet,Canada,CAN
256.3098,52.3882,Port Burwell,Canada,CAN
434.9086,173.1341,Bouar,Central African Republic,CAF
249.6952,295.9552,Puerto San Julian,Argentina,ARG
242.5444,289.9531,Perito Moreno,Argentina,ARG
249.7344,305.9397,Rio Grande,Argentina,ARG
248.3761,308.1595,Ushuaia,Argentina,ARG
246.6571,287.7301,Sarmiento,Argentina,ARG
248.3243,263.2771,San Rafael,Argentina,ARG
269.6281,272.0801,Necochea,Argentina,ARG
257.7722,272.9839,Rio Colorado,Argentina,ARG
254.0003,249.65,Catamarca,Argentina,ARG
251.6218,251.7395,La Rioja,Argentina,ARG
257.3645,248.1235,Santiago del Estero,Argentina,ARG
269.0945,247.4047,Resistencia,Argentina,ARG
270.1394,259.7647,Gualeguaychu,Argentina,ARG
297.227,239.6059,Santos,Brazil,BRA
291.1245,236.0008,Bauru,Brazil,BRA
294.4814,241.3137,Iguape,Brazil,BRA
294.8814,231.9994,Franca,Brazil,BRA
319.0899,206.1235,Garanhuns,Brazil,BRA
320.2459,204.7675,Caruaru,Brazil,BRA
538.2714,114.3539,Farah,Afghanistan,AFG
446.5349,202.7668,Dundo,Angola,AGO
429.4067,203.8227,Ambriz,Angola,AGO
432.3077,207.9019,Dondo,Angola,AGO
431.0184,211.2809,Sumbe,Angola,AGO
433.6859,203.3003,Uige,Angola,AGO
437.8874,213.8819,Kuito,Angola,AGO
430.332,213.8596,Lobito,Angola,AGO
433.5081,223.5742,Xangongo,Angola,AGO
444.4676,212.5703,Luena,Angola,AGO
426.5946,221.4846,Tombua,Angola,AGO
270.3616,222.7294,San Matias,Bolivia,BOL
265.1154,226.0417,San Jose,Bolivia,BOL
399.5851,124.4058,Adrar,Algeria,DZA
400.6002,127.0067,Reggane,Algeria,DZA
395.2724,116.0893,Bechar,Algeria,DZA
382.1171,124.8411,Tindouf,Algeria,DZA
419.051,127.4883,Illizi,Algeria,DZA
408.566,130.1634,Arak,Algeria,DZA
405.713,125.8582,I-n-Salah,Algeria,DZA
406.6394,118.4112,El Golea,Algeria,DZA
406.632,111.2011,Laghouat,Algeria,DZA
413.7011,112.7795,Touggourt,Algeria,DZA
412.1006,115.2915,Ouargla,Algeria,DZA
412.9676,108.867,Biskra,Algeria,DZA
407.4545,109.2671,Djelfa,Algeria,DZA
412.2339,105.9325,Setif,Algeria,DZA
413.9457,107.2887,Batna,Algeria,DZA
461.306,91.8507,Burgas,Bulgaria,BGR
467.3319,63.6761,Vitsyebsk,Belarus,BLR
456.9386,240.6023,Molepolole,Botswana,BWA
619.4437,158.6755,Myeik,Myanmar,MMR
751.7982,170.9852,Palikir,Federated States of Micronesia,FSM
781.2086,170.571,Majuro,Marshall Islands,MHL
722.01,156.417,Agana,Guam,GUM
251.8885,145.3687,Arecibo,Puerto Rico,PRI
798.6295,205.2936,Funafuti,Tuvalu,TUV
699.5054,169.7164,Melekeok,Palau,PLW
378.7721,128.2979,Bir Lehlou,Western Sahara,SAH
416.6953,89.1275,Monaco,Monaco,MCO
784.8489,183.3862,Tarawa,Kiribati,KIR
316.5697,40.5276,Tasiilaq,Greenland,GRL
496.3531,212.3794,Moroni,Comoros,COM
652.6411,137.0036,Macau,Macau S.A.R,MAC
403.6009,91.8832,Andorra,Andorra,AND
255.4842,17.3692,Savissivik,Greenland,GRL
276.7437,25.4606,Kangersuatsiaq,Greenland,GRL
284.3601,29.2499,Uummannaq,Greenland,GRL
364.1059,123.072,Santa Cruz de Tenerife,Spain,ESP
