cx,cy,nameascii,adm0name,adm0_a3
225.177416,116.87279999999998,Dalton,United States of America,USA
226.20266,118.82181538461538,Marietta,United States of America,USA
231.456536,125.38576923076923,Waycross,United States of America,USA
225.02956400000002,121.0222923076923,La Grange,United States of America,USA
213.093512,116.39604615384614,Southaven,United States of America,USA
216.21428,122.63175384615384,Meridian,United States of America,USA
215.1683,124.22807692307691,Laurel,United States of America,USA
232.47119600000002,116.44267692307692,Spartanburg,United States of America,USA
235.040192,119.92027692307693,Orangeburg,United States of America,USA
212.210936,102.08255384615384,Galesburg,United States of America,USA
217.64744,100.6886923076923,Joliet,United States of America,USA
214.258832,110.80143076923076,Cape Girardeau,United States of America,USA
215.335376,98.9178,Rockford,United States of America,USA
218.623868,99.44775384615384,Evanston,United States of America,USA
211.818356,100.77635384615385,Rock Island,United States of America,USA
217.207448,99.46907692307691,Elgin,United States of America,USA
225.369548,104.76118461538461,Richmond,United States of America,USA
219.310748,105.62843076923076,Terre Haute,United States of America,USA
220.59670400000002,103.3527846153846,Lafayette,United States of America,USA
223.523504,103.01484615384615,Marion,United States of America,USA
222.105032,100.32167692307692,South Bend,United States of America,USA
223.13427199999998,108.39526153846153,New Albany,United States of America,USA
222.78014,100.32253846153846,Elkhart,United States of America,USA
219.131252,111.85563076923076,Hopkinsville,United States of America,USA
227.306852,111.22498461538461,London,United States of America,USA
219.098636,110.73692307692308,Madisonville,United States of America,USA
242.414324,114.07603076923077,Rocky Mount,United States of America,USA
235.971152,114.71572307692307,Salisbury,United States of America,USA
239.70319999999998,113.92763076923077,Durham,United States of America,USA
239.482556,117.21407692307692,Lumberton,United States of America,USA
232.276688,104.49453846153845,Zanesville,United States of America,USA
231.070868,102.53604615384616,Mansfield,United States of America,USA
228.343868,101.06033846153846,Bowling Green,United States of America,USA
227.987144,104.54299999999999,Springfield,United States of America,USA
230.855408,105.02373846153844,Lancaster,United States of America,USA
231.45966800000002,113.17744615384615,Johnson City,United States of America,USA
230.95952,112.61486153846153,Kingsport,United States of America,USA
220.219676,114.84926153846152,Columbia,United States of America,USA
213.483392,115.78790769230768,Barlett,United States of America,USA
236.115872,110.9842923076923,Blacksburg,United States of America,USA
239.82523999999998,108.06367692307691,Harrisonburg,United States of America,USA
243.34712,110.98827692307691,Petersburg,United States of America,USA
245.873564,111.4616923076923,Hampton,United States of America,USA
218.5892,95.37203076923076,Sheboygan,United States of America,USA
217.348064,97.14163076923077,Waukesha,United States of America,USA
210.12621199999998,95.25098461538461,La Crosse,United States of America,USA
209.50456400000002,92.83307692307692,Eau Claire,United States of America,USA
211.89211999999998,94.81127692307692,Tomah,United States of America,USA
215.450936,97.9292923076923,Janesville,United States of America,USA
216.941984,94.13227692307693,Appleton,United States of America,USA
233.361008,106.10712307692306,Parkersburg,United States of America,USA
